variant	date	location	median_R	R_lower_95	R_upper_95	R_lower_80	R_upper_80	R_lower_50	R_upper_50	model	analysis_date
4	2053-10-05	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-06	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-07	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-08	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-09	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-10	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-11	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-12	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-13	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-14	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-15	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-16	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-17	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-18	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-19	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-20	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-21	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-22	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-23	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-24	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-25	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-26	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-27	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-28	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-29	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-30	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-10-31	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-01	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-02	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-03	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-04	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-05	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-06	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-07	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-08	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-09	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-10	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-11	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-12	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-13	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-14	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-15	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-16	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-17	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-18	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-19	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-20	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-21	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-22	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-23	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-24	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-25	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-26	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-27	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-28	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-29	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
4	2053-11-30	tropics	33813.32	1.0	25298661.10000001	1.0	8918499.6	2236.0394897460938	502225.7578125	MLR	2054-10-01
