variant	country	date	freq	median_freq_nowcast	median_freq_forecast	model
1	tropics	2036-06-08	0.2	0.2		NAIVE
1	tropics	2036-06-15	0.2	0.2		NAIVE
1	tropics	2036-06-22	0.225	0.225		NAIVE
1	tropics	2036-06-29	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-07-06	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-07-13	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-07-20	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-07-27	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-08-03	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-08-10	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-08-17	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-08-31	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-09-07	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-09-21	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-09-28	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-10-12	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-10-19	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-10-26	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-11-16	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2036-12-07	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2037-01-25	0.19166666666666665	0.19166666666666665		NAIVE
1	tropics	2037-02-22	0.19166666666666665	0.19166666666666665		NAIVE
5	tropics	2036-05-11	0.25	0.25		NAIVE
5	tropics	2036-05-18	0.25	0.25		NAIVE
5	tropics	2036-05-25	0.25	0.25		NAIVE
5	tropics	2036-06-01	0.25	0.25		NAIVE
5	tropics	2036-06-08	0.25	0.25		NAIVE
5	tropics	2036-06-15	0.25	0.25		NAIVE
5	tropics	2036-06-22	0.25	0.25		NAIVE
5	tropics	2036-06-29	0.25	0.25		NAIVE
5	tropics	2036-07-06	0.25	0.25		NAIVE
5	tropics	2036-07-13	0.25	0.25		NAIVE
5	tropics	2036-07-20	0.25	0.25		NAIVE
5	tropics	2036-07-27	0.25	0.25		NAIVE
5	tropics	2036-08-03	0.25	0.25		NAIVE
5	tropics	2036-08-10	0.25	0.25		NAIVE
5	tropics	2036-08-17	0.25	0.25		NAIVE
5	tropics	2036-08-31	0.25	0.25		NAIVE
5	tropics	2036-09-07	0.25	0.25		NAIVE
5	tropics	2036-09-21	0.25	0.25		NAIVE
5	tropics	2036-09-28	0.25	0.25		NAIVE
5	tropics	2036-10-12	0.25	0.25		NAIVE
5	tropics	2036-10-19	0.25	0.25		NAIVE
5	tropics	2036-10-26	0.25	0.25		NAIVE
5	tropics	2036-11-16	0.25	0.25		NAIVE
5	tropics	2036-12-07	0.25	0.25		NAIVE
5	tropics	2037-01-25	0.25	0.25		NAIVE
5	tropics	2037-02-22	0.25	0.25		NAIVE
7	tropics	2036-04-20	0.1111111111111111	0.1111111111111111		NAIVE
7	tropics	2036-04-27	0.1111111111111111	0.1111111111111111		NAIVE
7	tropics	2036-05-04	0.1111111111111111	0.1111111111111111		NAIVE
7	tropics	2036-05-11	0.1111111111111111	0.1111111111111111		NAIVE
7	tropics	2036-05-18	0.1111111111111111	0.1111111111111111		NAIVE
