country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
north	7	2036-03-31	2036-13	0.0	2036-03-31	0.0	-0.0018182333709753772	0.0	771	0.0	0.0					
north	7	2036-04-07	2036-14	0.0	2036-04-07	0.0	0.01301377516397445	0.0	801	0.0	0.0			FGA	2037-04-01	
north	7	2036-04-14	2036-15	0.0	2036-04-14	0.0	-0.04851700243784873	0.01282468587455119	805	0.0	10.323872129013708			FGA	2037-04-01	
north	7	2036-04-21	2036-16	0.0	2036-04-21	0.0	0.12785720407909773	0.0	787	0.0	0.0			FGA	2037-04-01	
north	7	2036-04-28	2036-17	0.0	2036-04-28	0.0	-0.2573083897762469	0.0	736	0.0	0.0			FGA	2037-04-01	
north	7	2036-05-05	2036-18	0.0	2036-05-05	0.0	0.3951527344298569	0.16056450351514948	675	0.0	108.38103987272589			FGA	2037-04-01	
north	7	2036-05-12	2036-19	104.0	2036-05-12	0.9369369369369369	103.5418943756003	0.6057464439635659	599	561.2252252252252	362.84211993417597	0.17261637765142585	0.12689817	FGA	2037-04-01	0.04571820765142584
north	7	2036-05-19	2036-20	0.0	2036-05-19	0.0	0.4022398613374638	0.35533343814334284	527	0.0	187.26072190154167			FGA	2037-04-01	0.14966829253780278
north	7	2036-05-26	2036-21	0.0	2036-05-26	0.0	-0.27945839276899076	0.0	450	0.0	0.0			FGA	2037-04-01	
north	7	2036-06-02	2036-22	0.0	2036-06-02	0.0	0.18326809280962197	0.0	375	0.0	0.0			FGA	2037-04-01	
north	7	2036-06-09	2036-23	0.0	2036-06-09	0.0	-0.15915268131566318	0.0	314	0.0	0.0			FGA	2037-04-01	
north	7	2036-06-16	2036-24	0.0	2036-06-16	0.0	0.18128751051491143	0.18808722642246106	261	0.0	49.090766096262335			FGA	2037-04-01	
north	7	2036-06-23	2036-25	43.0	2036-06-23	0.9555555555555556	42.80691789790962	0.7840596238881199	214	204.4888888888889	167.78875951205765	0.17557640721061615	-0.018864036	FGA	2037-04-01	0.19444044321061615
north	7	2036-06-30	2036-26	0.0	2036-06-30	0.0	0.1613395589522001	0.10407044482627906	174	0.0	18.108257399772555			FGA	2037-04-01	0.29986430445775025
north	7	2036-07-07	2036-27	0.0	2036-07-07	0.0	-0.09701357933645699	0.1826162099034018	144	0.0	26.29673422608986			FGA	2037-04-01	0.0706544993412448
north	7	2036-07-14	2036-28	1.0	2036-07-14	0.5	1.0336979627910399	0.28828907332737236	119	59.5	34.30639972595731		-0.016220808	FGA	2037-04-01	0.05420468801985283
north	7	2036-08-04	2036-31	0.0	2036-08-04	0.0	-0.009251984450049378	0.0	79	0.0	0.0			FGA	2037-04-01	
north	7	2036-08-18	2036-33	0.0	2036-08-18	0.0	0.02688787702379969	0.24387760061079503	69	0.0	16.827554442144855			FGA	2037-04-01	
north	7	2036-08-25	2036-34	22.0	2036-08-25	0.88	21.959908797777384	0.6495180837992628	63	55.44	40.919639279353554	0.12694177679629132	-0.0035737753	FGA	2037-04-01	0.13051555209629132
north	7	2036-09-01	2036-35	4.0	2036-09-01	1.0	4.022030792534326	0.8802208357958228	62	62.0	54.573691819341015		-0.00039041042	FGA	2037-04-01	0.041524954140150686
north	7	2036-09-22	2036-38	9.0	2036-09-22	0.36	8.992879720650976	0.30839458492781846	62	22.32	19.120464265524745		0.009651184	FGA	2037-04-01	0.05959369556297127
north	7	2036-09-29	2036-39	0.0	2036-09-29	0.0	0.0044744561556499945	0.01760706930359471	66	0.0	1.1620665740372509			FGA	2037-04-01	0.41302256336836857
north	7	2036-10-27	2036-43	1.0	2036-10-27	0.5	0.9992391441568911	0.7145109948757122	94	47.0	67.16403351831696		0.023523808	FGA	2037-04-01	0.12136683269033363
north	7	2036-11-10	2036-45	6.0	2036-11-10	0.09375	6.003447080819555	0.1935263711571708	128	12.0	24.771375508117863		0.026109457	FGA	2037-04-01	0.09735582239839966
north	7	2036-11-17	2036-46	0.0	2036-11-17	0.0	-0.009206085973339828	0.0	154	0.0	0.0			FGA	2037-04-01	
north	7	2036-11-24	2036-47	0.0	2036-11-24	0.0	0.009134714434686497	0.10031587729568986	187	0.0	18.759069054294002			FGA	2037-04-01	
north	7	2036-12-01	2036-48	19.0	2036-12-01	0.8636363636363636	19.00631022984234	0.7257740838496018	232	200.36363636363637	168.37958745310763	0.31350622306241416	0.02740717	FGA	2037-04-01	0.2860990530624142
north	7	2036-12-08	2036-49	21.0	2036-12-08	0.7777777777777778	20.970505224180805	0.8351426389637356	290	225.55555555555557	242.19136529948332	0.05192961422206123	0.027499914	FGA	2037-04-01	0.02442970022206123
