country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
south	10	2050-05-02	2050-18	0.0	2050-05-02	0.0	0.09262730099883563	0.0054890414370665054	10	0.0	0.05489041437066505			FGA	2051-04-01	
south	10	2050-05-16	2050-20	0.0	2050-05-16	0.0	-0.2986469662067055	0.008004537250232396	12	0.0	0.09605444700278876			FGA	2051-04-01	0.03996974680935238
south	10	2050-05-30	2050-22	0.0	2050-05-30	0.0	0.2792838803180036	0.0	15	0.0	0.0			FGA	2051-04-01	
south	10	2050-07-04	2050-27	0.0	2050-07-04	0.0	-0.17074871960468108	0.0	34	0.0	0.0			FGA	2051-04-01	
south	10	2050-07-18	2050-29	0.0	2050-07-18	0.0	0.19551072506824707	0.0	49	0.0	0.0			FGA	2051-04-01	
south	10	2050-07-25	2050-30	0.0	2050-07-25	0.0	-0.20437109219706162	0.037539095410982604	59	0.0	2.2148066292479736			FGA	2051-04-01	
south	10	2050-08-01	2050-31	0.0	2050-08-01	0.0	0.2426186966717392	0.09560767149836225	68	0.0	6.501321661888633			FGA	2051-04-01	0.15383434138709112
south	10	2050-08-08	2050-32	0.0	2050-08-08	0.0	-0.21564789928837058	0.12613505613322212	80	0.0	10.09080449065777			FGA	2051-04-01	0.06280272483414219
south	10	2050-08-22	2050-34	0.0	2050-08-22	0.0	0.1995723753642551	0.2785908956257249	105	0.0	29.252044040701115			FGA	2051-04-01	14.655273793549995
south	10	2050-08-29	2050-35	1073.0	2050-08-29	0.998139534883721	1072.870558561006	0.42636134518382646	117	116.78232558139536	49.8842773865077	0.0762509168148908	0.1374433	FGA	2051-04-01	0.061192383185109195
south	10	2050-10-10	2050-41	0.0	2050-10-10	0.0	0.05228672301603865	0.17266777102258005	142	0.0	24.518823485206365			FGA	2051-04-01	0.007294452300003484
south	10	2050-10-17	2050-42	0.0	2050-10-17	0.0	-0.06018159227506176	0.06714299536450663	135	0.0	9.064304374208396			FGA	2051-04-01	0.12971842076434797
south	10	2050-11-07	2050-45	0.0	2050-11-07	0.0	0.2093114502600778	0.0	103	0.0	0.0			FGA	2051-04-01	
south	10	2050-11-14	2050-46	0.0	2050-11-14	0.0	-0.4055451501284366	0.0	89	0.0	0.0			FGA	2051-04-01	
south	10	2050-11-28	2050-48	0.0	2050-11-28	0.0	0.5059614506756427	0.0	65	0.0	0.0			FGA	2051-04-01	
south	10	2050-12-05	2050-49	0.0	2050-12-05	0.0	-0.2800547961751361	0.0	56	0.0	0.0			FGA	2051-04-01	
