country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
tropics	3	2041-10-14	2041-41	0.0	2041-10-14	0.0	0.03386628083090573	0.0	58	0.0	0.0			FGA	2042-10-01	
tropics	3	2041-10-21	2041-42	0.0	2041-10-21	0.0	-0.08027565066869032	0.02225794830607803	54	0.0	1.2019292085282136			FGA	2042-10-01	
tropics	3	2041-11-11	2041-45	0.0	2041-11-11	0.0	0.43089522316585427	0.14411957703361963	45	0.0	6.485380966512883			FGA	2042-10-01	14.651029256085737
tropics	3	2041-11-18	2041-46	1.0	2041-11-18	0.5	0.2721786088359759	0.1803527434466755	42	21.0	7.574815224760371		0.13483202	FGA	2042-10-01	0.11264939193084371
tropics	3	2041-11-25	2041-47	0.0	2041-11-25	0.0	0.3581034217138158	0.214428096985934	39	0.0	8.362695782451427			FGA	2042-10-01	0.05019161731348383
tropics	3	2042-01-06	2042-01	4.0	2042-01-06	0.8	3.9717687810216664	0.43147719667577644	25	20.0	10.786929916894412		-0.0017530918	FGA	2042-10-01	0.007813910162920346
tropics	3	2042-01-20	2042-03	0.0	2042-01-20	0.0	0.011697586632627766	0.5452973705847203	23	0.0	12.541839523448566			FGA	2042-10-01	0.012444061023658366
tropics	3	2042-02-10	2042-06	7.0	2042-02-10	1.0	7.004351585645209	0.7633032005787028	21	21.0	16.02936721215276		-0.0018314123	FGA	2042-10-01	0.013514853905304117
tropics	3	2042-04-28	2042-17	1.0	2042-04-28	1.0	0.874641220059658	1.0	16	16.0	16.0		0.0025234222	FGA	2042-10-01	0.002547237373741642
tropics	3	2042-05-12	2042-19	1.0	2042-05-12	1.0	1.2959597186019138	1.0	17	17.0	17.0		0.004389167	FGA	2042-10-01	5.88368702546414e-05
tropics	3	2042-05-26	2042-21	282.0	2042-05-26	1.0	281.8082031694991	0.8396336994665915	19	19.0	15.953040289865239	-0.004540279943229094	0.006772518	FGA	2042-10-01	0.011312797943229095
tropics	3	2042-08-04	2042-31	0.0	2042-08-04	0.0	0.060393905353521404	0.4338893786518453	54	0.0	23.430026447199644			FGA	2042-10-01	0.011974605907955458
tropics	3	2042-08-18	2042-33	34.0	2042-08-18	1.0	33.93887135546015	0.7027051803589207	71	71.0	49.89206780548337	0.0539888319295441	0.018671274	FGA	2042-10-01	0.0353175579295441
tropics	3	2042-08-25	2042-34	1830.0	2042-08-25	1.0	1830.019453266229	0.8569803553049329	84	84.0	71.98634984561436	0.05237349817959063	0.019130945	FGA	2042-10-01	0.03324255317959063
tropics	3	2042-09-22	2042-38	1.0	2042-09-22	1.0	0.9998915276211516	1.0	169	169.0	169.0		0.020355463	FGA	2042-10-01	0.010123901262792678
tropics	7	2041-10-14	2041-41	2.0	2041-10-14	1.0	1.7161724041237283	1.0	58	58.0	58.0		0.12150073	FGA	2042-10-01	
tropics	7	2041-10-21	2041-42	1.0	2041-10-21	1.0	1.2775910608399292	0.977742051693922	54	54.0	52.79807079147179		0.04895377	FGA	2042-10-01	0.06237782122029154
tropics	7	2041-11-11	2041-45	1.0	2041-11-11	1.0	0.9897256485690822	0.8558804229663803	45	45.0	38.514619033487115		-0.033469558	FGA	2042-10-01	0.018448759541491166
tropics	7	2041-11-18	2041-46	1.0	2041-11-18	0.5	1.0670103046983945	0.8196472565533246	42	21.0	34.425184775239636		-0.03331995	FGA	2042-10-01	0.01728431109958385
tropics	7	2041-11-25	2041-47	1.0	2041-11-25	1.0	1.1462216514505428	0.785571903014066	39	39.0	30.637304217548575		-0.03326273	FGA	2042-10-01	0.01660986521042013
tropics	7	2042-01-06	2042-01	1.0	2042-01-06	0.2	0.8678440922744498	0.5685228033242236	25	5.0	14.213070083105588		-0.033019662	FGA	2042-10-01	0.014732605121779752
tropics	7	2042-01-20	2042-03	1.0	2042-01-20	1.0	0.6143801254054648	0.45470262941527967	23	23.0	10.458160476551432		-0.03320086	FGA	2042-10-01	0.011288046489162009
tropics	7	2042-02-10	2042-06	0.0	2042-02-10	0.0	0.2533002240871314	0.23669679942129712	21	0.0	4.970632787847239			FGA	2042-10-01	0.0022630286193550744
tropics	7	2042-04-28	2042-17	0.0	2042-04-28	0.0	0.008532418404560281	0.0	16	0.0	0.0			FGA	2042-10-01	
tropics	7	2042-05-12	2042-19	0.0	2042-05-12	0.0	0.07863276068014002	0.0	17	0.0	0.0			FGA	2042-10-01	
tropics	7	2042-05-26	2042-21	0.0	2042-05-26	0.0	0.1585124447829892	0.16036630053340853	19	0.0	3.046959710134762			FGA	2042-10-01	
tropics	7	2042-08-04	2042-31	1.0	2042-08-04	1.0	0.3478348196992079	0.5661106213481547	54	54.0	30.569973552800356		-0.014069915	FGA	2042-10-01	0.04701097205211984
tropics	7	2042-08-18	2042-33	0.0	2042-08-18	0.0	0.2765191724926855	0.29729481964107923	71	0.0	21.107932194516625			FGA	2042-10-01	0.013488798824317461
tropics	7	2042-08-25	2042-34	0.0	2042-08-25	0.0	0.2262613244220194	0.143019644695067	84	0.0	12.013650154385628			FGA	2042-10-01	0.06821790179289539
tropics	7	2042-09-22	2042-38	0.0	2042-09-22	0.0	-0.028538451930325094	0.0	169	0.0	0.0			FGA	2042-10-01	
