country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
north	2	2028-09-25	2028-39	0.0	2028-09-25	0.0	0.002875627859272427	0.0								
north	2	2028-10-02	2028-40	0.0	2028-10-02	0.0	-0.0012991139852095563	0.0	35.0	0.0	0.0			GARW	2029-10-01	
north	2	2028-10-09	2028-41	0.0	2028-10-09	0.0	-0.0028731675706225005	0.0	54.0	0.0	0.0			GARW	2029-10-01	
north	2	2028-10-16	2028-42	0.0	2028-10-16	0.0	-0.0025507630460643565	0.0	69.0	0.0	0.0			GARW	2029-10-01	
north	2	2028-10-30	2028-44	0.0	2028-10-30	0.0	0.0009664997365734034	0.0	91.0	0.0	0.0			GARW	2029-10-01	
north	2	2028-11-06	2028-45	0.0	2028-11-06	0.0	0.002752897696457125	0.0	119.0	0.0	0.0			GARW	2029-10-01	
north	2	2028-11-13	2028-46	0.0	2028-11-13	0.0	0.0036188331699201406	0.0	162.0	0.0	0.0			GARW	2029-10-01	
north	2	2028-11-20	2028-47	0.0	2028-11-20	0.0	0.002860076007864502	0.00069039000978158	322.0	0.0	0.22230558314966875			GARW	2029-10-01	
north	2	2028-11-27	2028-48	0.0	2028-11-27	0.0	-0.00022760393880774145	0.0021033279763825507	458.0	0.0	0.9633242131832082			GARW	2029-10-01	0.20947672701025657
north	2	2028-12-04	2028-49	0.0	2028-12-04	0.0	-0.006348436819194525	0.0035473055869911277	650.0	0.0	2.305748631544233			GARW	2029-10-01	0.12468152335842005
north	2	2028-12-11	2028-50	0.0	2028-12-11	0.0	-0.011547989888614173	0.004842644716893874	650.0	0.0	3.1477190659810184			GARW	2029-10-01	0.04446752498169685
north	2	2028-12-18	2028-51	0.0	2028-12-18	0.0	0.006762821172733583	0.006686583252942377	916.0	0.0	6.124910259695218			GARW	2029-10-01	0.09509800290525108
north	2	2028-12-25	2028-52	0.0	2028-12-25	0.0	0.036110896932525526	0.010343260994531027	1281.0	0.0	13.249717333994246			GARW	2029-10-01	0.1102303020108708
north	2	2029-01-01	2029-00	0.0	2029-01-01	0.0	-0.09486024862517403	0.01439932330453419	1755.0	0.0	25.270812399457505			GARW	2029-10-01	0.09223912153338411
north	2	2029-01-08	2029-01	0.0	2029-01-08	0.0	0.160900849619025	0.013476246832702885	2873.0	0.0	38.71725715035539			GARW	2029-10-01	14.670349592544953
north	2	2029-01-15	2029-02	2.0	2029-01-15	0.07692307692307693	1.7898130312948481	0.012699096409662231	2873.0	221.0	36.48450398495959		0.14225698	GARW	2029-10-01	0.1507423799650334
north	2	2029-01-22	2029-03	0.0	2029-01-22	0.0	0.22160603761749198	0.014811313808635667	3331.0	0.0	49.336486296565404			GARW	2029-10-01	0.0259928239449116
north	2	2029-01-29	2029-04	1.0	2029-01-29	0.003003003003003003	0.7783539939822022	0.018566625431109943	3573.0	10.72972972972973	66.33855266535582		0.0036654472	GARW	2029-10-01	0.03863559878395806
north	2	2029-02-05	2029-05	0.0	2029-02-05	0.0	0.32088935326673884	0.020791311257799365	3553.0	0.0	73.87152889896115			GARW	2029-10-01	0.022267399732110702
north	2	2029-02-12	2029-06	1.0	2029-02-12	0.0625	0.46778137605947423	0.02116256201431614	3273.0	204.5625	69.26506547285673		-0.016338348	GARW	2029-10-01	0.007140231553993915
north	2	2029-02-19	2029-07	0.0	2029-02-19	0.0	0.41816756345345396	0.021212914569887983	2276.0	0.0	48.280593561065054			GARW	2029-10-01	0.02575156986679966
north	2	2029-02-26	2029-08	0.0	2029-02-26	0.0	0.09323144064233407	0.02235473499671986	2276.0	0.0	50.8793768525344			GARW	2029-10-01	0.043286591609749174
north	2	2029-03-05	2029-09	0.0	2029-03-05	0.0	-0.1376886479203753	0.025857985875196783	1758.0	0.0	45.45833916859594			GARW	2029-10-01	0.02889712804121252
north	2	2029-03-12	2029-10	0.0	2029-03-12	0.0	-0.18490332984579297	0.03201609170035714	1305.0	0.0	41.78099966896606			GARW	2029-10-01	0.04065939870939911
north	2	2029-03-19	2029-11	0.0	2029-03-19	0.0	-0.028635475761195323	0.040112170138308784	941.0	0.0	37.745552100148565			GARW	2029-10-01	0.04441660296792656
north	2	2029-03-26	2029-12	0.0	2029-03-26	0.0	0.35089204370614147	0.0459432053218567	659.0	0.0	30.276572307103567			GARW	2029-10-01	0.03240247981038211
north	2	2029-04-02	2029-13	1.0	2029-04-02	0.3333333333333333	0.7748931490204682	0.041455888977530116	450.0	150.0	18.655150039888554		-0.06735098	GARW	2029-10-01	0.001827873249343262
north	2	2029-04-16	2029-15	0.0	2029-04-16	0.0	0.1226465354242499	0.027139441630295517	199.0	0.0	5.400748884428808			GARW	2029-10-01	0.017431092804456455
north	2	2029-04-23	2029-16	0.0	2029-04-23	0.0	-0.06556301155296322	0.0341838321957564	125.0	0.0	4.27297902446955			GARW	2029-10-01	0.03870874879144445
north	2	2029-04-30	2029-17	0.0	2029-04-30	0.0	-0.05198546647697986	0.03396407950682542	78.0	0.0	2.649198201532383			GARW	2029-10-01	0.004110984137145668
north	2	2029-05-21	2029-20	0.0	2029-05-21	0.0	0.037673650803058074	0.03245278358020946	17.0	0.0	0.5516973208635608			GARW	2029-10-01	0.005652778553299279
north	2	2029-08-13	2029-32	0.0	2029-08-13	0.0	-0.008540573501349862	0.007752533425253201	5.0	0.0	0.038762667126266005			GARW	2029-10-01	0.04441452685901182
north	2	2029-08-27	2029-34	0.0	2029-08-27	0.0	-0.003432200539470149	0.0	8.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-09-03	2029-35	0.0	2029-09-03	0.0	0.007659352006979996	0.0	8.0	0.0	0.0			GARW	2029-10-01	
north	13	2028-09-25	2028-39	1.0	2028-09-25	0.14285714285714285	1.0000530287035538	0.45538237295860934								
north	13	2028-10-02	2028-40	4.0	2028-10-02	1.0	4.0009315370172915	0.730158704045952	35.0	35.0	25.555554641608317		0.06724298	GARW	2029-10-01	
north	13	2028-10-09	2028-41	0.0	2028-10-09	0.0	-0.008270327591669235	0.171994184704478	54.0	0.0	9.287685974041812			GARW	2029-10-01	0.17475176940821208
north	13	2028-10-16	2028-42	0.0	2028-10-16	0.0	0.01844016236088064	0.0	69.0	0.0	0.0			GARW	2029-10-01	
north	13	2028-10-30	2028-44	0.0	2028-10-30	0.0	-0.06927425080635974	0.0	91.0	0.0	0.0			GARW	2029-10-01	
