date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2033-04-03	north	9	0.5362103	0.62722874	0.4340654	0.5910389	0.4749581	0.5642192	0.5032092								FGA	2034-04-01
2033-04-04	north	9	0.537048	0.62784034	0.4350311	0.59176856	0.47585872	0.56499773	0.5041572								FGA	2034-04-01
2033-04-05	north	9	0.54740715	0.6361063	0.44737983	0.60147816	0.48737222	0.5751198	0.5166785								FGA	2034-04-01
2033-04-06	north	9	0.5562384	0.6430375	0.45749694	0.6086054	0.49748358	0.5837329	0.5264258								FGA	2034-04-01
2033-04-07	north	9	0.5604942	0.6468097	0.46274158	0.6126541	0.50192106	0.5881114	0.5311507								FGA	2034-04-01
2033-04-08	north	9	0.56710696	0.6515036	0.47022477	0.6186663	0.5089016	0.5940465	0.53784645								FGA	2034-04-01
2033-04-09	north	9	0.57521176	0.6570678	0.4791805	0.62574774	0.5179137	0.60097045	0.54598635								FGA	2034-04-01
2033-04-10	north	9	0.5813489	0.6620731	0.48691177	0.6317674	0.5245587	0.6070068	0.55258393								FGA	2034-04-01
2033-04-11	north	9	0.5875376	0.6673229	0.49435747	0.6373779	0.53067523	0.6129585	0.5586698								FGA	2034-04-01
2033-04-12	north	9	0.5945678	0.67295724	0.5023802	0.64339393	0.53739125	0.61933076	0.56563056								FGA	2034-04-01
2033-04-13	north	9	0.60090244	0.67796564	0.51029044	0.64921314	0.5440953	0.6254028	0.57249457								FGA	2034-04-01
2033-04-14	north	9	0.6075164	0.68282825	0.5177038	0.6548138	0.5506882	0.63173413	0.579357								FGA	2034-04-01
2033-04-15	north	9	0.6140981	0.6877278	0.52514714	0.6604045	0.55714333	0.6380907	0.58624184								FGA	2034-04-01
2033-04-16	north	9	0.620467	0.6929579	0.5326531	0.66600716	0.56408495	0.6442752	0.59301555								FGA	2034-04-01
2033-04-17	north	9	0.62628126	0.6980991	0.5400995	0.6715254	0.5714933	0.6503042	0.599692								FGA	2034-04-01
2033-04-18	north	9	0.6326046	0.7031615	0.5474816	0.67704904	0.5791023	0.65659976	0.6059356								FGA	2034-04-01
2033-04-19	north	9	0.63873816	0.7079695	0.55434763	0.6824725	0.58699614	0.66260165	0.61275786								FGA	2034-04-01
2033-04-20	north	9	0.6445661	0.71296763	0.56150675	0.688262	0.5934267	0.66797733	0.619125								FGA	2034-04-01
2033-04-21	north	9	0.6503978	0.717894	0.5687613	0.694051	0.5996194	0.673789	0.6254375								FGA	2034-04-01
2033-04-22	north	9	0.6562424	0.7227999	0.5758832	0.69970983	0.6059631	0.6796903	0.63191116								FGA	2034-04-01
2033-04-23	north	9	0.6621151	0.7277313	0.58322793	0.7053191	0.6127824	0.6853924	0.6383263								FGA	2034-04-01
2033-04-24	north	9	0.6680343	0.7328264	0.5906987	0.7107445	0.6194825	0.6911353	0.6441184								FGA	2034-04-01
2033-04-25	north	9	0.67370224	0.73749775	0.59852093	0.71609807	0.62537223	0.6969354	0.6500438								FGA	2034-04-01
2033-04-26	north	9	0.67936206	0.7421223	0.6062776	0.72149473	0.6331204	0.702157	0.6561435								FGA	2034-04-01
2033-04-27	north	9	0.68526936	0.7467155	0.61325085	0.7264677	0.63990426	0.7075081	0.662429								FGA	2034-04-01
2033-04-28	north	9	0.6911047	0.7512413	0.61997896	0.7313723	0.64603037	0.7127261	0.6683731								FGA	2034-04-01
2033-04-29	north	9	0.69641054	0.7551036	0.626397	0.7361866	0.6526946	0.7176393	0.67440534								FGA	2034-04-01
2033-04-30	north	9	0.702282	0.7586101	0.6319039	0.74100125	0.65909624	0.722647	0.68038315								FGA	2034-04-01
