date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model
2024-12-29	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2024-12-30	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2024-12-31	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-01	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-02	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-03	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-04	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-05	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-06	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-07	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-08	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-09	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-10	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-11	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-12	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-13	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-14	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-15	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-16	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-17	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-18	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-19	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-20	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-21	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-22	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-23	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-24	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-25	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-26	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-27	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-28	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-29	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-30	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-01-31	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-01	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-02	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-03	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-04	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-05	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-06	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-07	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-08	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-09	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-10	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-11	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-12	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-13	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-14	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-15	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-16	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-17	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-18	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-19	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-20	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-21	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-22	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-23	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-24	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-25	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-26	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-27	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-28	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
