date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model
2038-10-06	north	0	1.0045836	1.0200036	0.99017787	1.0151306	0.99507654	1.0097938	0.9997821	FGA
2038-10-07	north	0	1.0047615	1.0195605	0.99098897	1.0148131	0.99560744	1.0101163	0.9999596	FGA
2038-10-08	north	0	1.0049763	1.0194755	0.9915684	1.0146859	0.99613446	1.0102252	1.0004419	FGA
2038-10-09	north	0	1.0051286	1.0192444	0.9923003	1.0147734	0.9965528	1.0101643	1.0006862	FGA
2038-10-10	north	0	1.0054464	1.0191828	0.9928499	1.0146409	0.99686253	1.010341	1.0009751	FGA
2038-10-11	north	0	1.0056357	1.0193545	0.9934431	1.0144372	0.99712676	1.0104711	1.0012962	FGA
2038-10-12	north	0	1.0057819	1.019574	0.99371034	1.0147532	0.9975962	1.0106448	1.0015212	FGA
2038-10-13	north	0	1.0061011	1.0196002	0.9941658	1.015214	0.99797255	1.0109835	1.0018371	FGA
2038-10-14	north	0	1.0062087	1.0195389	0.99469656	1.015292	0.9980828	1.0111189	1.0020384	FGA
2038-10-15	north	0	1.0064602	1.0198545	0.99520445	1.0156176	0.9985018	1.0113751	1.0024505	FGA
2038-10-16	north	0	1.0067651	1.0202584	0.9954498	1.0157323	0.99874514	1.0116403	1.0027267	FGA
2038-10-17	north	0	1.0070578	1.0204229	0.9955389	1.0161203	0.999168	1.0119095	1.002944	FGA
2038-10-18	north	0	1.0073348	1.0205625	0.99567014	1.0164334	0.999335	1.0119997	1.0030378	FGA
2038-10-19	north	0	1.0076401	1.0208023	0.99595654	1.0165691	0.99969673	1.0123826	1.0034175	FGA
2038-10-20	north	0	1.0080678	1.020962	0.9961467	1.0168715	1.0000696	1.0128001	1.0038284	FGA
2038-10-21	north	0	1.0083873	1.0213964	0.99636364	1.0173444	1.000609	1.0131443	1.0041595	FGA
2038-10-22	north	0	1.0088634	1.021847	0.99676806	1.0176839	1.0010568	1.0134974	1.0046781	FGA
2038-10-23	north	0	1.0092888	1.0221786	0.9972502	1.0181789	1.0014435	1.0140162	1.0051187	FGA
2038-10-24	north	0	1.0097086	1.0225487	0.997771	1.0185715	1.0017927	1.0144925	1.005671	FGA
2038-10-25	north	0	1.010056	1.0230606	0.99823076	1.0189772	1.0023732	1.014918	1.0061692	FGA
2038-10-26	north	0	1.0105007	1.0233854	0.9987142	1.0194026	1.0029647	1.0154521	1.0066383	FGA
2038-10-27	north	0	1.0109968	1.0237906	0.99931407	1.0198473	1.0034968	1.0158575	1.0070698	FGA
2038-10-28	north	0	1.0114839	1.0242279	0.9999968	1.0203778	1.0038675	1.0163996	1.0076853	FGA
2038-10-29	north	0	1.0121207	1.0248293	1.0005502	1.020886	1.0043371	1.0167911	1.0082672	FGA
2038-10-30	north	0	1.0127747	1.0254402	1.0010779	1.0215422	1.00492	1.0172842	1.0089519	FGA
2038-10-31	north	0	1.013432	1.0259414	1.0017531	1.0220845	1.0055513	1.0178816	1.0096164	FGA
2038-11-01	north	0	1.0140749	1.0264992	1.0023805	1.0227109	1.006235	1.0184906	1.0102187	FGA
2038-11-02	north	0	1.0148443	1.0270846	1.0030504	1.0233577	1.0071026	1.019158	1.0110309	FGA
2038-11-03	north	0	1.015692	1.0277829	1.0038053	1.0241718	1.0079623	1.0198832	1.0118746	FGA
2038-11-04	north	0	1.0164528	1.0285087	1.0046417	1.0248672	1.0088317	1.0207022	1.0126014	FGA
2038-11-05	north	0	1.017231	1.0292565	1.0055357	1.02556	1.0096474	1.0214508	1.0133864	FGA
2038-11-06	north	0	1.0180744	1.0300287	1.0065142	1.0262988	1.0106863	1.0223113	1.014226	FGA
2038-11-07	north	0	1.0189912	1.030828	1.0075401	1.0271902	1.0117058	1.0231789	1.0151995	FGA
2038-11-08	north	0	1.0199497	1.0316566	1.0086138	1.0281812	1.0127815	1.0241269	1.0162901	FGA
2038-11-09	north	0	1.0210228	1.0325524	1.009735	1.0291237	1.0138073	1.0251299	1.0173585	FGA
2038-11-10	north	0	1.0221016	1.0335466	1.0109675	1.0300016	1.0148787	1.026165	1.0183669	FGA
2038-11-11	north	0	1.0231771	1.0346425	1.0122786	1.0310272	1.0160325	1.0271991	1.0195045	FGA
2038-11-12	north	0	1.024296	1.0357879	1.013637	1.0320953	1.0171802	1.0283197	1.0206666	FGA
2038-11-13	north	0	1.0254922	1.0369842	1.0150456	1.0331221	1.0182182	1.0294268	1.0219634	FGA
2038-11-14	north	0	1.0267808	1.0381666	1.0164268	1.0340989	1.0194626	1.0306431	1.0232438	FGA
2038-11-15	north	0	1.0281365	1.0393431	1.0178707	1.0353817	1.0208374	1.0318366	1.0245982	FGA
2038-11-16	north	0	1.029464	1.0405774	1.019431	1.0365984	1.0222697	1.0331247	1.0259435	FGA
2038-11-17	north	0	1.0308675	1.0418692	1.0209335	1.0379906	1.0237584	1.0344546	1.0273309	FGA
2038-11-18	north	0	1.0323622	1.0432398	1.0224781	1.0395198	1.0253254	1.0358411	1.0287677	FGA
2038-11-19	north	0	1.0339358	1.0446001	1.0241569	1.040952	1.0268767	1.0372841	1.0302522	FGA
2038-11-20	north	0	1.0354959	1.0459979	1.0258738	1.0423056	1.0285	1.0387276	1.0318835	FGA
2038-11-21	north	0	1.0371017	1.0473875	1.0276	1.0437884	1.0301788	1.0403099	1.0335636	FGA
2038-11-22	north	0	1.0387651	1.0487607	1.0293933	1.0453541	1.031943	1.0419741	1.0352567	FGA
2038-11-23	north	0	1.040493	1.0501616	1.0312717	1.0470892	1.0337291	1.0435863	1.0370362	FGA
2038-11-24	north	0	1.0422299	1.0518029	1.0329704	1.0488441	1.0355247	1.0452055	1.038831	FGA
2038-11-25	north	0	1.0439095	1.0533664	1.0347114	1.0504915	1.0373563	1.0468591	1.0405787	FGA
2038-11-26	north	0	1.0456016	1.0548337	1.0365132	1.0521654	1.0392333	1.0485976	1.0423993	FGA
2038-11-27	north	0	1.0474143	1.0564142	1.0383873	1.0538075	1.0411557	1.0502324	1.0442189	FGA
2038-11-28	north	0	1.0492244	1.0580655	1.0402637	1.0555288	1.0430127	1.0520004	1.0460391	FGA
2038-11-29	north	0	1.0509713	1.0597835	1.0422213	1.0572662	1.0449183	1.0537603	1.0478208	FGA
2038-11-30	north	0	1.0528383	1.0614651	1.0441741	1.058982	1.0467597	1.0556332	1.0496315	FGA
2038-12-01	north	0	1.0546856	1.063199	1.0460513	1.060703	1.0486271	1.0574676	1.0514777	FGA
2038-12-02	north	0	1.0565388	1.065009	1.0479734	1.0625364	1.05063	1.0593567	1.0534197	FGA
2038-12-03	north	0	1.058384	1.0667942	1.049952	1.0642732	1.0524895	1.0612038	1.0553043	FGA
2038-12-04	north	0	1.0603108	1.0686052	1.0519528	1.0660379	1.0544442	1.0630544	1.0571725	FGA
2038-12-05	north	0	1.0622115	1.0704451	1.0539212	1.0678228	1.0564215	1.0649474	1.0590569	FGA
2038-12-06	north	0	1.0640085	1.0721551	1.055897	1.0695028	1.0583309	1.0667746	1.0610113	FGA
2038-12-07	north	0	1.0659512	1.0738609	1.05788	1.0713122	1.0602884	1.0686684	1.0629451	FGA
2038-12-08	north	0	1.0678508	1.0756227	1.0599304	1.0730801	1.062148	1.0706455	1.0647645	FGA
2038-12-09	north	0	1.0696464	1.0774567	1.0619798	1.0747006	1.0640181	1.0724313	1.0666537	FGA
2038-12-10	north	0	1.0714073	1.0792431	1.0640066	1.0765749	1.0659542	1.0742942	1.068417	FGA
2038-12-11	north	0	1.0731397	1.0808932	1.065959	1.0783854	1.0677854	1.0760763	1.0703292	FGA
2038-12-12	north	0	1.0748818	1.0826068	1.0678447	1.0801717	1.0695678	1.07777	1.0721055	FGA
2038-12-13	north	0	1.0766948	1.0843285	1.069724	1.0819573	1.0713596	1.0795765	1.0739789	FGA
2038-12-14	north	0	1.0783715	1.0860416	1.0714225	1.0837023	1.0731316	1.0813289	1.0758343	FGA
2038-12-15	north	0	1.0800971	1.0876974	1.0732696	1.0853386	1.0749205	1.0829833	1.077594	FGA
2038-12-16	north	0	1.0818424	1.0892279	1.0750678	1.0870272	1.0766796	1.0846834	1.0792999	FGA
2038-12-17	north	0	1.0835199	1.0908093	1.0767711	1.0886791	1.0783844	1.0862999	1.0809586	FGA
2038-12-18	north	0	1.0850962	1.0924765	1.0784097	1.0902709	1.0800464	1.0878478	1.0825292	FGA
2038-12-19	north	0	1.0867019	1.0941011	1.0799074	1.0917723	1.0816585	1.089437	1.0840753	FGA
2038-12-20	north	0	1.0882559	1.0956495	1.0813367	1.093262	1.083193	1.0909352	1.0856234	FGA
2038-12-21	north	0	1.0897864	1.0971303	1.0828671	1.0947603	1.0848155	1.0924755	1.0871139	FGA
2038-12-22	north	0	1.091214	1.0985161	1.0843543	1.0961853	1.0862391	1.0939058	1.0885277	FGA
2038-12-23	north	0	1.0926201	1.0998411	1.085787	1.0975243	1.0876943	1.095268	1.0899005	FGA
2038-12-24	north	0	1.09389	1.1011604	1.0871583	1.098813	1.089098	1.0965846	1.0912161	FGA
2038-12-25	north	0	1.0950887	1.1023902	1.0883627	1.100034	1.0904804	1.0978613	1.0924566	FGA
2038-12-26	north	0	1.0962296	1.1036395	1.089492	1.1012181	1.09167	1.0990279	1.0937227	FGA
2038-12-27	north	0	1.0973935	1.1047747	1.0906005	1.1024054	1.0927858	1.1000633	1.0948122	FGA
2038-12-28	north	0	1.0984355	1.1058048	1.0916729	1.1034685	1.0939486	1.1011453	1.0957946	FGA
2038-12-29	north	0	1.0994525	1.1068453	1.0926334	1.1044184	1.0949757	1.1020786	1.0967519	FGA
2038-12-30	north	0	1.1003814	1.1078323	1.0935798	1.1054233	1.0959588	1.1029739	1.0976846	FGA
