date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model	analysis_date
2041-04-04	north	6	0.93854606	0.9758593	0.9061415	0.96264184	0.9166636	0.95129514	0.9264993	FGA	2042-04-01
2041-04-05	north	6	0.9368173	0.9727499	0.9045961	0.9608678	0.9149891	0.9501166	0.92514676	FGA	2042-04-01
2041-04-06	north	6	0.93478477	0.970714	0.9031302	0.95924246	0.9126895	0.9482807	0.92262834	FGA	2042-04-01
2041-04-07	north	6	0.93277276	0.9699217	0.8998263	0.95775414	0.910296	0.94655764	0.9206695	FGA	2042-04-01
2041-04-08	north	6	0.9308841	0.9677508	0.89607835	0.95654446	0.90740407	0.94460946	0.91825163	FGA	2042-04-01
2041-04-09	north	6	0.928806	0.96606433	0.8933174	0.95492005	0.9048528	0.94267535	0.9156031	FGA	2042-04-01
2041-04-10	north	6	0.9263923	0.9639005	0.8895308	0.95234096	0.9019716	0.9404449	0.9131186	FGA	2042-04-01
2041-04-11	north	6	0.9234706	0.96182305	0.88591146	0.9505143	0.8983057	0.9377451	0.91013795	FGA	2042-04-01
2041-04-12	north	6	0.9210674	0.9600343	0.8817914	0.94851065	0.89491373	0.9353787	0.9076245	FGA	2042-04-01
2041-04-13	north	6	0.91764617	0.9583415	0.8781339	0.946411	0.8912047	0.9330249	0.90425324	FGA	2042-04-01
2041-04-14	north	6	0.91511035	0.9562577	0.87451017	0.9439307	0.88811755	0.9306054	0.90153074	FGA	2042-04-01
2041-04-15	north	6	0.91205496	0.95403135	0.8705719	0.9412828	0.88461536	0.927513	0.89794844	FGA	2042-04-01
2041-04-16	north	6	0.9088644	0.95178384	0.86654186	0.9383607	0.8812481	0.92501485	0.89514446	FGA	2042-04-01
2041-04-17	north	6	0.9057313	0.9483182	0.86297286	0.935001	0.87816954	0.9214059	0.8918602	FGA	2042-04-01
2041-04-18	north	6	0.90297973	0.944661	0.8595585	0.93170583	0.8751922	0.9181149	0.88861656	FGA	2042-04-01
2041-04-19	north	6	0.8996976	0.9415005	0.8560456	0.9291156	0.8717895	0.9148654	0.8859556	FGA	2042-04-01
2041-04-20	north	6	0.89640725	0.93806136	0.852564	0.9258338	0.8684557	0.911233	0.8827272	FGA	2042-04-01
2041-04-21	north	6	0.89303	0.9340868	0.8492516	0.92293453	0.8654251	0.9076533	0.8798083	FGA	2042-04-01
2041-04-22	north	6	0.88965595	0.93021166	0.84598494	0.9193763	0.8625076	0.90419465	0.8766124	FGA	2042-04-01
2041-04-23	north	6	0.8861598	0.92712206	0.8429496	0.9157608	0.8594552	0.9010012	0.8735197	FGA	2042-04-01
2041-04-24	north	6	0.88279164	0.92348635	0.8398963	0.9123182	0.85602933	0.8975432	0.8703792	FGA	2042-04-01
2041-04-25	north	6	0.8796371	0.9190701	0.8368455	0.90878993	0.85326743	0.8941686	0.8674361	FGA	2042-04-01
