date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2053-04-05	north	23	0.8555585	0.89101154	0.8230118	0.8798797	0.83371234	0.8666391	0.8445594	2053-04-05	north	23	0.8555585	0.89101154	0.8230118	0.8798797	0.83371234	0.8666391	0.8445594	2053-04-05	north	23	nan	nan	nan	nan	nan	nan	nan	2053-04-05	north	23	nan	nan	nan	nan	nan	nan	nan	FGA	2054-04-01
2053-04-06	north	23	0.8551432	0.88941115	0.8240227	0.8780626	0.83447516	0.86679447	0.84506965	2053-04-06	north	23	0.8551432	0.88941115	0.8240227	0.8780626	0.83447516	0.86679447	0.84506965	2053-04-06	north	23	0.07370567	0.0743509	0.07311396	0.074147515	0.07330885	0.07390785	0.07350564	2053-04-06	north	23	0.07370567	0.0743509	0.07311396	0.074147515	0.07330885	0.07390785	0.07350564	FGA	2054-04-01
2053-04-07	north	23	0.85558087	0.88901055	0.82515776	0.8770891	0.8355916	0.86657894	0.8453983	2053-04-07	north	23	0.85558087	0.88901055	0.82515776	0.8770891	0.8355916	0.86657894	0.8453983	2053-04-07	north	23	0.026121616	0.0358943	0.017077804	0.032822132	0.020025825	0.029195786	0.023068666	2053-04-07	north	23	0.026121616	0.0358943	0.017077804	0.032822132	0.020025825	0.029195786	0.023068666	FGA	2054-04-01
2053-04-08	north	23	0.85544735	0.8897428	0.82604223	0.8769397	0.83620006	0.8670195	0.84501874	2053-04-08	north	23	0.85544735	0.8897428	0.82604223	0.8769397	0.83620006	0.8670195	0.84501874	2053-04-08	north	23	-0.074888706	-0.060867213	-0.08856583	-0.065364175	-0.08395271	-0.07015562	-0.07926726	2053-04-08	north	23	-0.074888706	-0.060867213	-0.08856583	-0.065364175	-0.08395271	-0.07015562	-0.07926726	FGA	2054-04-01
2053-04-09	north	23	0.85581046	0.88888	0.82644176	0.87694824	0.83725846	0.8669844	0.8450287	2053-04-09	north	23	0.85581046	0.88888	0.82644176	0.87694824	0.83725846	0.8669844	0.8450287	2053-04-09	north	23	-0.083182335	-0.072239965	-0.0929842	-0.07629576	-0.08960819	-0.079389095	-0.08663726	2053-04-09	north	23	-0.083182335	-0.072239965	-0.0929842	-0.07629576	-0.08960819	-0.079389095	-0.08663726	FGA	2054-04-01
2053-04-10	north	23	0.8562335	0.88856745	0.82695913	0.87717277	0.8375099	0.86767155	0.84529454	2053-04-10	north	23	0.8562335	0.88856745	0.82695913	0.87717277	0.8375099	0.86767155	0.84529454	2053-04-10	north	23	-0.02136612	-0.013208029	-0.028999615	-0.016020013	-0.026217556	-0.018488169	-0.02417612	2053-04-10	north	23	-0.02136612	-0.013208029	-0.028999615	-0.016020013	-0.026217556	-0.018488169	-0.02417612	FGA	2054-04-01
2053-04-11	north	23	0.85688084	0.8890415	0.82775724	0.8767495	0.83732533	0.8676411	0.845482	2053-04-11	north	23	0.85688084	0.8890415	0.82775724	0.8767495	0.83732533	0.8676411	0.845482	2053-04-11	north	23	-0.02377081	-0.01461825	-0.032277726	-0.01786747	-0.029256439	-0.020617485	-0.026908636	2053-04-11	north	23	-0.02377081	-0.01461825	-0.032277726	-0.01786747	-0.029256439	-0.020617485	-0.026908636	FGA	2054-04-01
2053-04-12	north	23	0.8572487	0.8891678	0.82832915	0.87701917	0.8372844	0.86756045	0.8457181	2053-04-12	north	23	0.8572487	0.8891678	0.82832915	0.87701917	0.8372844	0.86756045	0.8457181	2053-04-12	north	23	-0.047004223	-0.03709037	-0.056295466	-0.040586665	-0.052878857	-0.043500423	-0.050475836	2053-04-12	north	23	-0.047004223	-0.03709037	-0.056295466	-0.040586665	-0.052878857	-0.043500423	-0.050475836	FGA	2054-04-01
2053-04-13	north	23	0.8575712	0.8894808	0.8286686	0.8774119	0.8376375	0.8680754	0.8460974	2053-04-13	north	23	0.8575712	0.8894808	0.8286686	0.8774119	0.8376375	0.8680754	0.8460974	2053-04-13	north	23	-0.04644537	-0.036892317	-0.055481244	-0.04042845	-0.052619457	-0.043193817	-0.050068617	2053-04-13	north	23	-0.04644537	-0.036892317	-0.055481244	-0.04042845	-0.052619457	-0.043193817	-0.050068617	FGA	2054-04-01
2053-04-14	north	23	0.8577789	0.8895002	0.82908005	0.87798566	0.83733344	0.8687866	0.846284	2053-04-14	north	23	0.8577789	0.8895002	0.82908005	0.87798566	0.83733344	0.8687866	0.846284	2053-04-14	north	23	-0.037053585	-0.027759995	-0.04574916	-0.031248953	-0.042990398	-0.03396344	-0.040451765	2053-04-14	north	23	-0.037053585	-0.027759995	-0.04574916	-0.031248953	-0.042990398	-0.03396344	-0.040451765	FGA	2054-04-01
