date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model
2037-10-04	south	0	1.0617023	1.0757496	1.0481551	1.0710137	1.0525672	1.066622	1.0575185	FGA
2037-10-05	south	0	1.0623217	1.0758775	1.0494003	1.0713433	1.0535455	1.0672487	1.0580411	FGA
2037-10-06	south	0	1.0629507	1.0761527	1.0500813	1.0716314	1.0545615	1.0675461	1.0587199	FGA
2037-10-07	south	0	1.0633079	1.0764297	1.050861	1.0719923	1.055337	1.0677371	1.0591891	FGA
2037-10-08	south	0	1.0636736	1.0765249	1.0515302	1.0720272	1.0559739	1.068011	1.059401	FGA
2037-10-09	south	0	1.0639541	1.0763965	1.0520928	1.072114	1.056491	1.0683461	1.0597111	FGA
2037-10-10	south	0	1.0642631	1.076323	1.0525528	1.0719981	1.0569232	1.0686316	1.0598365	FGA
2037-10-11	south	0	1.0643313	1.076114	1.0529139	1.0720733	1.0571533	1.0686364	1.0600374	FGA
2037-10-12	south	0	1.0640848	1.0758818	1.0530792	1.072011	1.0570297	1.0685844	1.059994	FGA
2037-10-13	south	0	1.0640557	1.0757746	1.0530463	1.0717702	1.0571742	1.0684952	1.0600305	FGA
2037-10-14	south	0	1.0638891	1.0756785	1.0529888	1.0714186	1.056822	1.0683156	1.0599179	FGA
2037-10-15	south	0	1.0635391	1.0756613	1.0527916	1.0713556	1.0566357	1.0680579	1.0596195	FGA
2037-10-16	south	0	1.0633471	1.0749829	1.0523779	1.0710487	1.0561684	1.0676479	1.0593231	FGA
2037-10-17	south	0	1.0628998	1.07446	1.0519319	1.0708655	1.055704	1.0672579	1.0588537	FGA
2037-10-18	south	0	1.0625522	1.0738121	1.0515257	1.0704197	1.0551057	1.0667284	1.0583999	FGA
2037-10-19	south	0	1.0621173	1.0731238	1.0512397	1.069927	1.0545082	1.0661703	1.0580082	FGA
2037-10-20	south	0	1.0614412	1.072398	1.0507547	1.0693837	1.0539753	1.0654955	1.0573847	FGA
2037-10-21	south	0	1.0608765	1.0717767	1.0503329	1.0685655	1.0534519	1.0647724	1.05682	FGA
2037-10-22	south	0	1.0602429	1.0711462	1.0499724	1.0678954	1.052833	1.0640907	1.0562179	FGA
2037-10-23	south	0	1.0595318	1.0705155	1.049355	1.0670561	1.0522058	1.0634681	1.0555348	FGA
2037-10-24	south	0	1.0588584	1.0698122	1.0487324	1.0662909	1.0515306	1.062767	1.054853	FGA
2037-10-25	south	0	1.0579998	1.0689341	1.0482517	1.0653336	1.0507402	1.0620115	1.0541602	FGA
2037-10-26	south	0	1.0572567	1.068038	1.0476551	1.0644305	1.0501609	1.0610543	1.0533127	FGA
2037-10-27	south	0	1.0563916	1.0671052	1.0469187	1.0636655	1.049373	1.0602111	1.0525717	FGA
2037-10-28	south	0	1.0555954	1.0660774	1.0460802	1.0626795	1.0486314	1.0592675	1.0517703	FGA
2037-10-29	south	0	1.0547254	1.0652511	1.0452353	1.0616616	1.0478406	1.0583812	1.0509567	FGA
2037-10-30	south	0	1.0538807	1.0642267	1.0444604	1.0605239	1.047067	1.0575429	1.0500828	FGA
2037-10-31	south	0	1.0529283	1.0631796	1.0437015	1.059438	1.0461873	1.0566745	1.04908	FGA
2037-11-01	south	0	1.0519927	1.0621676	1.0429156	1.0584054	1.0453068	1.0556642	1.0482429	FGA
2037-11-02	south	0	1.0511098	1.0610795	1.0420114	1.0574224	1.0444957	1.0545901	1.04741	FGA
2037-11-03	south	0	1.0501614	1.0600097	1.0410428	1.0565047	1.0436403	1.0536666	1.0466313	FGA
2037-11-04	south	0	1.0491974	1.0589942	1.0400589	1.055638	1.0427891	1.0527371	1.0457884	FGA
2037-11-05	south	0	1.0482544	1.0579675	1.0392853	1.0546757	1.0419611	1.0517695	1.0449369	FGA
2037-11-06	south	0	1.0473437	1.0568635	1.0386127	1.0537405	1.0411566	1.0508142	1.0441067	FGA
2037-11-07	south	0	1.0465147	1.0558721	1.0378125	1.0527408	1.0403601	1.0498915	1.0433577	FGA
2037-11-08	south	0	1.0456634	1.0548316	1.0370272	1.0518103	1.03951	1.0489076	1.0425799	FGA
2037-11-09	south	0	1.0448371	1.0538065	1.0362895	1.0508808	1.038706	1.0480437	1.0418651	FGA
2037-11-10	south	0	1.0440195	1.0527991	1.0355774	1.0499068	1.0379968	1.047066	1.0411243	FGA
