date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2049-10-02	south	3	0.8599446	0.88009006	0.84081155	0.8733993	0.8476278	0.86734694	0.8533437	2049-10-02	south	3	0.8599446	0.88009006	0.84081155	0.8733993	0.8476278	0.86734694	0.8533437	2049-10-02	south	3	nan	nan	nan	nan	nan	nan	nan	2049-10-02	south	3	nan	nan	nan	nan	nan	nan	nan	FGA	2050-10-01
2049-10-03	south	3	0.8593651	0.8783281	0.84118223	0.872258	0.8476914	0.8664534	0.85310704	2049-10-03	south	3	0.8593651	0.8783281	0.84118223	0.872258	0.8476914	0.8664534	0.85310704	2049-10-03	south	3	0.07378578	0.074151814	0.07343777	0.0740304	0.07356157	0.07392049	0.07366574	2049-10-03	south	3	0.07378578	0.074151814	0.07343777	0.0740304	0.07356157	0.07392049	0.07366574	FGA	2050-10-01
2049-10-04	south	3	0.8588726	0.8767694	0.8411934	0.8709054	0.8476487	0.8656315	0.8527278	2049-10-04	south	3	0.8588726	0.8767694	0.8411934	0.8709054	0.8476487	0.8656315	0.8527278	2049-10-04	south	3	0.027338266	0.032890715	0.022031402	0.031047106	0.023920966	0.02938044	0.025502205	2049-10-04	south	3	0.027338266	0.032890715	0.022031402	0.031047106	0.023920966	0.02938044	0.025502205	FGA	2050-10-01
2049-10-05	south	3	0.8583832	0.8752535	0.8414303	0.8699282	0.84732217	0.86469054	0.8523723	2049-10-05	south	3	0.8583832	0.8752535	0.8414303	0.8699282	0.84732217	0.86469054	0.8523723	2049-10-05	south	3	-0.07318616	-0.065262675	-0.08094351	-0.067838095	-0.07819867	-0.070256114	-0.07588637	2049-10-05	south	3	-0.07318616	-0.065262675	-0.08094351	-0.067838095	-0.07819867	-0.070256114	-0.07588637	FGA	2050-10-01
2049-10-06	south	3	0.8578754	0.8740527	0.8421265	0.86858743	0.8471377	0.86368024	0.8521677	2049-10-06	south	3	0.8578754	0.8740527	0.8421265	0.86858743	0.8471377	0.86368024	0.8521677	2049-10-06	south	3	-0.08214617	-0.07668096	-0.08778936	-0.07839203	-0.08576293	-0.080082655	-0.08410728	2049-10-06	south	3	-0.08214617	-0.07668096	-0.08778936	-0.07839203	-0.08576293	-0.080082655	-0.08410728	FGA	2050-10-01
2049-10-07	south	3	0.85721445	0.87307036	0.84209675	0.8675856	0.8468492	0.86275196	0.8518579	2049-10-07	south	3	0.85721445	0.87307036	0.84209675	0.8675856	0.8468492	0.86275196	0.8518579	2049-10-07	south	3	-0.021021366	-0.016978512	-0.024946736	-0.018347217	-0.023701955	-0.019595623	-0.022419453	2049-10-07	south	3	-0.021021366	-0.016978512	-0.024946736	-0.018347217	-0.023701955	-0.019595623	-0.022419453	FGA	2050-10-01
2049-10-08	south	3	0.85656095	0.87227595	0.8419821	0.86640453	0.8467412	0.8620529	0.85147953	2049-10-08	south	3	0.85656095	0.87227595	0.8419821	0.86640453	0.8467412	0.8620529	0.85147953	2049-10-08	south	3	-0.02340579	-0.018898593	-0.027785385	-0.020449687	-0.026441049	-0.02180481	-0.024997115	2049-10-08	south	3	-0.02340579	-0.018898593	-0.027785385	-0.020449687	-0.026441049	-0.02180481	-0.024997115	FGA	2050-10-01
2049-10-09	south	3	0.8559077	0.87121856	0.84202105	0.86559755	0.8463746	0.8613331	0.85099185	2049-10-09	south	3	0.8559077	0.87121856	0.84202105	0.86559755	0.8463746	0.8613331	0.85099185	2049-10-09	south	3	-0.046764135	-0.041866824	-0.051522255	-0.043579772	-0.050003864	-0.045060396	-0.048438787	2049-10-09	south	3	-0.046764135	-0.041866824	-0.051522255	-0.043579772	-0.050003864	-0.045060396	-0.048438787	FGA	2050-10-01
2049-10-10	south	3	0.8554902	0.87017316	0.84161425	0.8648005	0.8459385	0.86079633	0.8506227	2049-10-10	south	3	0.8554902	0.87017316	0.84161425	0.8648005	0.8459385	0.86079633	0.8506227	2049-10-10	south	3	-0.04673052	-0.04204961	-0.05109092	-0.043707278	-0.04970994	-0.045031667	-0.04825449	2049-10-10	south	3	-0.04673052	-0.04204961	-0.05109092	-0.043707278	-0.04970994	-0.045031667	-0.04825449	FGA	2050-10-01
2049-10-11	south	3	0.85489047	0.86942774	0.8413571	0.86408377	0.84558594	0.8601125	0.8502909	2049-10-11	south	3	0.85489047	0.86942774	0.8413571	0.86408377	0.84558594	0.8601125	0.8502909	2049-10-11	south	3	-0.037603617	-0.03327889	-0.041767884	-0.034863666	-0.040462684	-0.03604114	-0.039073825	2049-10-11	south	3	-0.037603617	-0.03327889	-0.041767884	-0.034863666	-0.040462684	-0.03604114	-0.039073825	FGA	2050-10-01
