date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model	analysis_date
2051-04-02	south	3	0.99428403	1.0260814	0.96252435	1.0158867	0.9706252	1.0053316	0.9807226	FGA	2052-04-01
2051-04-03	south	3	0.9994333	1.0308731	0.9686197	1.02064	0.9762339	1.0103668	0.98627305	FGA	2052-04-01
2051-04-04	south	3	1.0043825	1.0354842	0.9731273	1.0257498	0.9817568	1.0152948	0.991429	FGA	2052-04-01
2051-04-05	south	3	1.0091488	1.0397123	0.97806364	1.0303178	0.98692733	1.0204245	0.996946	FGA	2052-04-01
2051-04-06	south	3	1.0140746	1.0444031	0.98298967	1.0351337	0.991764	1.0248551	1.001549	FGA	2052-04-01
2051-04-07	south	3	1.0185412	1.0480562	0.9879077	1.0397563	0.99660814	1.0296503	1.0065085	FGA	2052-04-01
2051-04-08	south	3	1.0231307	1.0521772	0.99216044	1.0442026	1.0007719	1.0342267	1.0109217	FGA	2052-04-01
2051-04-09	south	3	1.0272267	1.0567002	0.99697936	1.0480292	1.0054908	1.0383139	1.0151951	FGA	2052-04-01
2051-04-10	south	3	1.0315378	1.0608091	1.001367	1.0518881	1.0099307	1.0425444	1.0195496	FGA	2052-04-01
2051-04-11	south	3	1.0352249	1.0647334	1.0054262	1.0557853	1.0138985	1.0467207	1.0239208	FGA	2052-04-01
2051-04-12	south	3	1.0387685	1.0685681	1.0088849	1.0592984	1.0178387	1.0501549	1.0276887	FGA	2052-04-01
2051-04-13	south	3	1.0423932	1.072242	1.0122293	1.0625736	1.0216417	1.0536218	1.0310653	FGA	2052-04-01
2051-04-14	south	3	1.0459267	1.0758824	1.0155259	1.0663139	1.0253175	1.0570259	1.0346508	FGA	2052-04-01
2051-04-15	south	3	1.0493919	1.0794648	1.0190262	1.0695667	1.0288361	1.0602722	1.038059	FGA	2052-04-01
2051-04-16	south	3	1.0529399	1.0830514	1.0222044	1.0728444	1.0317774	1.0634329	1.0411973	FGA	2052-04-01
2051-04-17	south	3	1.0562394	1.0862756	1.0254999	1.0758473	1.0349529	1.0664234	1.0443351	FGA	2052-04-01
2051-04-18	south	3	1.0593137	1.0893365	1.0283544	1.0790224	1.0380436	1.0693082	1.0476974	FGA	2052-04-01
2051-04-19	south	3	1.0623283	1.0925003	1.0312325	1.0818055	1.0413145	1.0721172	1.0509787	FGA	2052-04-01
2051-04-20	south	3	1.0650553	1.0954528	1.0340806	1.084407	1.0440738	1.0749277	1.0536094	FGA	2052-04-01
2051-04-21	south	3	1.0677588	1.0980998	1.0367752	1.0868622	1.0466949	1.0775449	1.0562735	FGA	2052-04-01
2051-04-22	south	3	1.0703167	1.1005795	1.0393409	1.0895272	1.0494392	1.0802045	1.0587716	FGA	2052-04-01
2051-04-23	south	3	1.0725437	1.1028025	1.0418609	1.0921295	1.0519654	1.0827227	1.0614027	FGA	2052-04-01
2051-04-24	south	3	1.074683	1.1048892	1.0442883	1.0946529	1.0543019	1.0849891	1.0638777	FGA	2052-04-01
2051-04-25	south	3	1.0767584	1.1070436	1.0466264	1.0967044	1.0565331	1.0870484	1.066265	FGA	2052-04-01
2051-04-26	south	3	1.0791395	1.1091172	1.0488791	1.0985177	1.0588448	1.0892932	1.0683658	FGA	2052-04-01
2051-04-27	south	3	1.0812671	1.1109558	1.0511903	1.1006143	1.0609033	1.0911691	1.0703623	FGA	2052-04-01
2051-04-28	south	3	1.0833218	1.1126432	1.0533999	1.1026359	1.0629162	1.0931526	1.0719819	FGA	2052-04-01
2051-04-29	south	3	1.0852652	1.1142534	1.0552531	1.1045407	1.064895	1.095147	1.0737212	FGA	2052-04-01
2051-04-30	south	3	1.087153	1.115743	1.0571122	1.106343	1.0668626	1.0967383	1.0754406	FGA	2052-04-01
2051-05-01	south	3	1.088672	1.1170851	1.0589956	1.1080207	1.0684384	1.0984676	1.0771155	FGA	2052-04-01
2051-05-02	south	3	1.0901952	1.1184577	1.0608172	1.1096091	1.0702596	1.1001579	1.0792807	FGA	2052-04-01
2051-05-03	south	3	1.0916858	1.1197629	1.0625181	1.1112012	1.071967	1.10168	1.0811942	FGA	2052-04-01
2051-05-04	south	3	1.0932758	1.1213288	1.0640373	1.1126573	1.073326	1.1030666	1.0828094	FGA	2052-04-01
2051-05-05	south	3	1.0947111	1.1229225	1.0654371	1.1139989	1.074824	1.1045128	1.0845197	FGA	2052-04-01
2051-05-06	south	3	1.0961986	1.1242828	1.0668663	1.115335	1.0762599	1.1058867	1.0859809	FGA	2052-04-01
2051-05-07	south	3	1.0977725	1.125575	1.0684847	1.1170535	1.0777665	1.1072607	1.0872185	FGA	2052-04-01
2051-05-08	south	3	1.0990115	1.1268432	1.0700071	1.1185082	1.0791782	1.108703	1.0884768	FGA	2052-04-01
2051-05-09	south	3	1.1002684	1.1280578	1.071327	1.1200658	1.0804621	1.1098076	1.0896223	FGA	2052-04-01
2051-05-10	south	3	1.101582	1.129163	1.0726253	1.1215395	1.0816326	1.110958	1.0906401	FGA	2052-04-01
2051-05-11	south	3	1.1028473	1.1304065	1.0739049	1.1227909	1.0827198	1.1122005	1.091776	FGA	2052-04-01
2051-05-12	south	3	1.1041708	1.1318601	1.0751685	1.124099	1.0838649	1.1131909	1.0933857	FGA	2052-04-01
2051-05-13	south	3	1.1053221	1.1329947	1.0764189	1.1251612	1.0852568	1.1145008	1.0946372	FGA	2052-04-01
2051-05-14	south	3	1.1064591	1.1341007	1.0776569	1.1261832	1.086326	1.1157681	1.0956875	FGA	2052-04-01
2051-05-15	south	3	1.1075252	1.1352712	1.0787319	1.1272962	1.0873512	1.1169618	1.0967314	FGA	2052-04-01
2051-05-16	south	3	1.1086375	1.1365161	1.079985	1.1284995	1.0884318	1.118329	1.0977614	FGA	2052-04-01
2051-05-17	south	3	1.1097304	1.1377398	1.0812616	1.1296661	1.0896548	1.119448	1.098949	FGA	2052-04-01
2051-05-18	south	3	1.1108608	1.1389437	1.0824238	1.1306247	1.0908368	1.1207948	1.1000795	FGA	2052-04-01
2051-05-19	south	3	1.111868	1.1401021	1.083563	1.1316997	1.0917425	1.1217527	1.1011888	FGA	2052-04-01
2051-05-20	south	3	1.112929	1.1411864	1.0846771	1.1329495	1.0926231	1.1227889	1.1020837	FGA	2052-04-01
2051-05-21	south	3	1.1140112	1.1422441	1.0857655	1.1338503	1.0934787	1.1238027	1.102971	FGA	2052-04-01
2051-05-22	south	3	1.1150757	1.1433009	1.0868597	1.1348885	1.0942466	1.1248517	1.1042216	FGA	2052-04-01
2051-05-23	south	3	1.1160629	1.1443158	1.0880909	1.135741	1.0950552	1.1257834	1.105223	FGA	2052-04-01
2051-05-24	south	3	1.1170437	1.1452873	1.0892327	1.1367483	1.0959169	1.1268549	1.1063181	FGA	2052-04-01
2051-05-25	south	3	1.1179717	1.1462134	1.0901693	1.1377676	1.0968515	1.127872	1.1070721	FGA	2052-04-01
2051-05-26	south	3	1.1189477	1.1470927	1.090676	1.1386495	1.0977706	1.1286571	1.107793	FGA	2052-04-01
2051-05-27	south	3	1.1196108	1.1479231	1.0911866	1.1393973	1.0984987	1.129315	1.108612	FGA	2052-04-01
2051-05-28	south	3	1.1202232	1.1487032	1.0918748	1.1399721	1.0993439	1.1299547	1.1091468	FGA	2052-04-01
2051-05-29	south	3	1.1210375	1.149431	1.0926605	1.1405815	1.1001548	1.130698	1.1097662	FGA	2052-04-01
2051-05-30	south	3	1.1216296	1.150105	1.0934571	1.1411762	1.1009339	1.1312639	1.1103855	FGA	2052-04-01
2051-05-31	south	3	1.1220837	1.1507233	1.0942034	1.1418743	1.1015711	1.1319927	1.1109867	FGA	2052-04-01
2051-06-01	south	3	1.1227684	1.1512845	1.0948985	1.1423163	1.1020659	1.1326389	1.1115595	FGA	2052-04-01
2051-06-02	south	3	1.1233537	1.1517867	1.095283	1.1426215	1.1026462	1.1330042	1.1120822	FGA	2052-04-01
2051-06-03	south	3	1.1238432	1.1522281	1.095502	1.1430117	1.1033353	1.133502	1.1123948	FGA	2052-04-01
2051-06-04	south	3	1.1242585	1.1526167	1.0958809	1.143472	1.1038496	1.1339507	1.1128883	FGA	2052-04-01
2051-06-05	south	3	1.1246021	1.1529598	1.0962533	1.1436797	1.1042093	1.1344604	1.1132923	FGA	2052-04-01
2051-06-06	south	3	1.124861	1.1532464	1.0965669	1.1439638	1.1044693	1.1348449	1.1135485	FGA	2052-04-01
2051-06-07	south	3	1.1251678	1.1534977	1.0968297	1.1441337	1.1046699	1.1351188	1.1136744	FGA	2052-04-01
2051-06-08	south	3	1.12528	1.1536819	1.0970393	1.1444068	1.1048669	1.1353486	1.113596	FGA	2052-04-01
2051-06-09	south	3	1.1255941	1.1538359	1.0971643	1.1445252	1.105016	1.1355937	1.1137369	FGA	2052-04-01
2051-06-10	south	3	1.1257315	1.153929	1.0972066	1.1446769	1.1053387	1.135675	1.1136217	FGA	2052-04-01
2051-06-11	south	3	1.1258392	1.1539448	1.097182	1.1447505	1.1054156	1.1357012	1.1135173	FGA	2052-04-01
2051-06-12	south	3	1.1257367	1.1538812	1.097089	1.1447123	1.1054164	1.135609	1.1134212	FGA	2052-04-01
2051-06-13	south	3	1.1255251	1.153702	1.0969213	1.1445961	1.1053237	1.1353765	1.1130991	FGA	2052-04-01
2051-06-14	south	3	1.1252768	1.1534213	1.0966136	1.1443903	1.1050497	1.135021	1.1129417	FGA	2052-04-01
2051-06-15	south	3	1.1250005	1.1529491	1.0962441	1.1441474	1.1047287	1.134779	1.112471	FGA	2052-04-01
2051-06-16	south	3	1.1245329	1.1525358	1.0958489	1.1437707	1.1041827	1.134321	1.11223	FGA	2052-04-01
2051-06-17	south	3	1.1240363	1.1520208	1.0954921	1.1433297	1.1037167	1.1339808	1.1119175	FGA	2052-04-01
2051-06-18	south	3	1.1234671	1.1514487	1.095059	1.1428803	1.103181	1.1335268	1.1114345	FGA	2052-04-01
2051-06-19	south	3	1.1229013	1.1508229	1.0945477	1.1422956	1.102666	1.1328049	1.1106759	FGA	2052-04-01
2051-06-20	south	3	1.1221719	1.1502913	1.0939465	1.1416987	1.1019202	1.1321883	1.1100013	FGA	2052-04-01
2051-06-21	south	3	1.1213564	1.1496603	1.0932193	1.1409501	1.1011968	1.1313897	1.1093743	FGA	2052-04-01
2051-06-22	south	3	1.1204	1.1489273	1.0923703	1.1400386	1.1004056	1.130411	1.1085602	FGA	2052-04-01
2051-06-23	south	3	1.1193275	1.1480899	1.0913854	1.1390127	1.0995209	1.1294141	1.1077211	FGA	2052-04-01
2051-06-24	south	3	1.1182065	1.1470469	1.0903041	1.1378735	1.0985423	1.1282859	1.1066289	FGA	2052-04-01
2051-06-25	south	3	1.11707	1.1458768	1.0891271	1.1366854	1.0974691	1.1271112	1.1054289	FGA	2052-04-01
2051-06-26	south	3	1.1158193	1.144626	1.0878539	1.1356139	1.0963186	1.1259407	1.1040783	FGA	2052-04-01
2051-06-27	south	3	1.1144569	1.1433834	1.086484	1.1342344	1.0951371	1.1247392	1.1026564	FGA	2052-04-01
2051-06-28	south	3	1.1130344	1.1420479	1.085016	1.1327399	1.0937176	1.1233954	1.1012594	FGA	2052-04-01
2051-06-29	south	3	1.1115305	1.1405351	1.0834533	1.1311197	1.0922203	1.1219907	1.0999424	FGA	2052-04-01
2051-06-30	south	3	1.1099577	1.1390039	1.0817958	1.1294216	1.0907615	1.1204923	1.0983183	FGA	2052-04-01
2051-07-01	south	3	1.1080716	1.1373891	1.0800442	1.1276599	1.0891583	1.1188753	1.0965672	FGA	2052-04-01
2051-07-02	south	3	1.1062083	1.1356819	1.0781984	1.1258649	1.0872982	1.1170881	1.0947759	FGA	2052-04-01
2051-07-03	south	3	1.1042986	1.1338851	1.0762593	1.1240033	1.0853646	1.1151868	1.0929841	FGA	2052-04-01
2051-07-04	south	3	1.1022983	1.1320547	1.0742267	1.1218767	1.083414	1.1131872	1.091074	FGA	2052-04-01
2051-07-05	south	3	1.10021	1.130138	1.0721012	1.1196233	1.081426	1.1111609	1.0890863	FGA	2052-04-01
2051-07-06	south	3	1.0980549	1.1281267	1.0698835	1.1172609	1.0793724	1.1092501	1.0869391	FGA	2052-04-01
2051-07-07	south	3	1.0958421	1.12602	1.0675735	1.1151351	1.0772029	1.1071639	1.0848277	FGA	2052-04-01
2051-07-08	south	3	1.0935191	1.1238171	1.0652033	1.1130342	1.0749483	1.1047279	1.0825862	FGA	2052-04-01
2051-07-09	south	3	1.0911219	1.1215233	1.0627366	1.1105564	1.0725856	1.1022098	1.0802038	FGA	2052-04-01
2051-07-10	south	3	1.0886376	1.1191356	1.0601169	1.1080426	1.0701071	1.0996727	1.0778435	FGA	2052-04-01
2051-07-11	south	3	1.0859208	1.1166246	1.0576335	1.1054013	1.0674777	1.0970244	1.0753813	FGA	2052-04-01
2051-07-12	south	3	1.0831411	1.1139065	1.0549235	1.102572	1.064859	1.0942674	1.0727955	FGA	2052-04-01
2051-07-13	south	3	1.0803016	1.1111246	1.0521207	1.099882	1.0621598	1.0913657	1.0699583	FGA	2052-04-01
2051-07-14	south	3	1.0774848	1.1082364	1.0492222	1.0969788	1.0593705	1.088578	1.0671391	FGA	2052-04-01
2051-07-15	south	3	1.0745479	1.1052436	1.0462317	1.0939617	1.0565354	1.085498	1.0641466	FGA	2052-04-01
2051-07-16	south	3	1.0714536	1.1021503	1.0431504	1.0908384	1.0535628	1.0824716	1.0609009	FGA	2052-04-01
2051-07-17	south	3	1.0681529	1.0989504	1.0400184	1.0875226	1.0504812	1.079226	1.0577791	FGA	2052-04-01
2051-07-18	south	3	1.0648274	1.095654	1.0368159	1.0841273	1.0471976	1.0759403	1.054485	FGA	2052-04-01
2051-07-19	south	3	1.0614643	1.0922887	1.0335224	1.0808098	1.0439448	1.0725871	1.0511754	FGA	2052-04-01
2051-07-20	south	3	1.0580969	1.0888197	1.0301368	1.0773951	1.0405779	1.0691308	1.0478435	FGA	2052-04-01
2051-07-21	south	3	1.0546546	1.0852467	1.026658	1.0737861	1.0371124	1.0657043	1.0442877	FGA	2052-04-01
2051-07-22	south	3	1.0510648	1.0815699	1.0230887	1.069994	1.0335119	1.0620863	1.0407438	FGA	2052-04-01
2051-07-23	south	3	1.0474484	1.077789	1.0194787	1.066221	1.0298414	1.058244	1.0369612	FGA	2052-04-01
2051-07-24	south	3	1.043697	1.0739043	1.0158131	1.062353	1.0260888	1.0544083	1.0332017	FGA	2052-04-01
2051-07-25	south	3	1.0397934	1.0699159	1.0120387	1.0584664	1.0222574	1.0505288	1.0293136	FGA	2052-04-01
2051-07-26	south	3	1.0357587	1.0658114	1.0081031	1.0544676	1.018328	1.0465481	1.0254025	FGA	2052-04-01
2051-07-27	south	3	1.0315713	1.0614909	1.0041106	1.0502408	1.0142847	1.0423696	1.0214206	FGA	2052-04-01
2051-07-28	south	3	1.027362	1.0570712	1.0000685	1.0461463	1.0101162	1.0381854	1.0173059	FGA	2052-04-01
2051-07-29	south	3	1.0231743	1.052553	0.9959339	1.0418189	1.0058004	1.0338014	1.0129344	FGA	2052-04-01
2051-07-30	south	3	1.0188828	1.0479429	0.9917067	1.0372403	1.0014075	1.0293324	1.0086204	FGA	2052-04-01
2051-07-31	south	3	1.0144769	1.0433825	0.9873874	1.0326079	0.99703866	1.0247538	1.0041851	FGA	2052-04-01
2051-08-01	south	3	1.0099615	1.038846	0.98297614	1.0278851	0.99258864	1.0201328	0.9996486	FGA	2052-04-01
2051-08-02	south	3	1.0052519	1.0342244	0.97847337	1.023158	0.98797476	1.0153136	0.99503464	FGA	2052-04-01
2051-08-03	south	3	1.0004452	1.0293945	0.9738823	1.0183511	0.9834387	1.0105796	0.9903257	FGA	2052-04-01
2051-08-04	south	3	0.9956939	1.0244828	0.96921	1.0134438	0.9785823	1.00564	0.9856368	FGA	2052-04-01
2051-08-05	south	3	0.9907063	1.0194982	0.96446437	1.0084573	0.97381335	1.000578	0.9808525	FGA	2052-04-01
2051-08-06	south	3	0.9857279	1.0143248	0.9596527	1.0034883	0.96895784	0.99546796	0.9759753	FGA	2052-04-01
2051-08-07	south	3	0.98074424	1.0090716	0.95479226	0.9982735	0.9639783	0.99027216	0.9711617	FGA	2052-04-01
2051-08-08	south	3	0.975674	1.0037644	0.94997746	0.9932471	0.9589143	0.98495466	0.9662122	FGA	2052-04-01
2051-08-09	south	3	0.97062725	0.99841124	0.9450597	0.98821175	0.95362175	0.97972304	0.9612826	FGA	2052-04-01
2051-08-10	south	3	0.96554387	0.9930198	0.94009024	0.982857	0.9485564	0.9745463	0.95612556	FGA	2052-04-01
2051-08-11	south	3	0.96035486	0.98762095	0.93508565	0.9776424	0.94349456	0.96930933	0.9508808	FGA	2052-04-01
2051-08-12	south	3	0.95514476	0.9822148	0.93006617	0.9726102	0.9384322	0.96422803	0.9457352	FGA	2052-04-01
2051-08-13	south	3	0.9499203	0.9769541	0.9249974	0.9673275	0.93336684	0.95898527	0.9404762	FGA	2052-04-01
2051-08-14	south	3	0.9447377	0.9715278	0.919887	0.96198106	0.9282946	0.95373416	0.9353547	FGA	2052-04-01
2051-08-15	south	3	0.9394674	0.9660981	0.91468126	0.9566474	0.9231939	0.9485302	0.9301499	FGA	2052-04-01
2051-08-16	south	3	0.9343237	0.9606722	0.9095073	0.9514251	0.918111	0.9432656	0.9249254	FGA	2052-04-01
2051-08-17	south	3	0.92916673	0.9552575	0.90432525	0.9461649	0.91298985	0.9380597	0.9196468	FGA	2052-04-01
2051-08-18	south	3	0.9240338	0.9500029	0.8991541	0.94092834	0.9078065	0.93278986	0.91462266	FGA	2052-04-01
2051-08-19	south	3	0.9188973	0.9448992	0.8941371	0.9357003	0.90275085	0.9275398	0.9095824	FGA	2052-04-01
2051-08-20	south	3	0.9137145	0.93983954	0.88927877	0.9304864	0.89773726	0.9222851	0.9044988	FGA	2052-04-01
2051-08-21	south	3	0.9087043	0.93494225	0.8844519	0.9253025	0.8926513	0.9170975	0.89942646	FGA	2052-04-01
2051-08-22	south	3	0.9035803	0.9300758	0.8795932	0.92016244	0.88776785	0.912101	0.89433676	FGA	2052-04-01
