date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model
2038-04-04	tropics	0	0.9822905	0.9894813	0.9763689	0.98698777	0.9777418	0.9845543	0.9802909	FGA
2038-04-05	tropics	0	0.9822887	0.9891142	0.9765727	0.9868251	0.9779311	0.98448956	0.980295	FGA
2038-04-06	tropics	0	0.98227626	0.98880005	0.97671866	0.98660964	0.9781643	0.9845098	0.98033077	FGA
2038-04-07	tropics	0	0.98225844	0.98857445	0.9768879	0.9864094	0.9783522	0.9843783	0.9803067	FGA
2038-04-08	tropics	0	0.98214686	0.98841816	0.97704583	0.9862988	0.9785393	0.9842721	0.98026955	FGA
2038-04-09	tropics	0	0.9821374	0.988273	0.977146	0.9861119	0.978689	0.9842682	0.98022515	FGA
2038-04-10	tropics	0	0.9821078	0.98812294	0.97724324	0.98598665	0.97879547	0.9842424	0.9802304	FGA
2038-04-11	tropics	0	0.9820801	0.98787105	0.9772401	0.9859204	0.97879595	0.9841893	0.98027706	FGA
2038-04-12	tropics	0	0.9820679	0.98790294	0.9772853	0.98590755	0.97878224	0.9841768	0.98036754	FGA
2038-04-13	tropics	0	0.98204345	0.9878355	0.97737217	0.9859226	0.9787905	0.9841149	0.9804403	FGA
2038-04-14	tropics	0	0.9821	0.98775935	0.977404	0.98597777	0.9788848	0.98418313	0.9804978	FGA
2038-04-15	tropics	0	0.9821125	0.9876898	0.97756416	0.98587304	0.97889495	0.98415154	0.98056304	FGA
2038-04-16	tropics	0	0.98210704	0.9876046	0.97766894	0.985853	0.978938	0.9842002	0.98057055	FGA
2038-04-17	tropics	0	0.9821708	0.98753124	0.9777019	0.98588455	0.9789838	0.98417646	0.9805435	FGA
2038-04-18	tropics	0	0.9821489	0.98746973	0.97771436	0.98589253	0.9790844	0.98406315	0.98057777	FGA
2038-04-19	tropics	0	0.9821386	0.9874683	0.9777507	0.98584765	0.97913885	0.98405856	0.9806379	FGA
2038-04-20	tropics	0	0.9821275	0.9875276	0.97777843	0.98591375	0.97918195	0.9840649	0.9806403	FGA
2038-04-21	tropics	0	0.9821523	0.9875651	0.9777757	0.9858569	0.97921586	0.984008	0.9806889	FGA
2038-04-22	tropics	0	0.9821565	0.98758936	0.9777797	0.9857856	0.9792541	0.98404044	0.9807104	FGA
2038-04-23	tropics	0	0.9822242	0.98758024	0.9777802	0.98571765	0.97937334	0.9840068	0.9807513	FGA
2038-04-24	tropics	0	0.9822782	0.98757523	0.97781765	0.98566586	0.9794813	0.9839701	0.98080635	FGA
2038-04-25	tropics	0	0.9823036	0.9875651	0.9778318	0.9856208	0.9794951	0.98395574	0.9808492	FGA
2038-04-26	tropics	0	0.9823078	0.9875197	0.9778433	0.9855935	0.9795785	0.9839511	0.9808354	FGA
