date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2039-10-05	tropics	6	1.0271068	1.0462384	1.0097833	1.0394766	1.0153813	1.0328609	1.0206646	2039-10-05	tropics	6	1.0271068	1.0462384	1.0097833	1.0394766	1.0153813	1.0328609	1.0206646	2039-10-05	tropics	6	nan	nan	nan	nan	nan	nan	nan	2039-10-05	tropics	6	nan	nan	nan	nan	nan	nan	nan	FGA	2040-10-01
2039-10-06	tropics	6	1.0269092	1.0455987	1.0102893	1.0389496	1.0152135	1.0325658	1.020592	2039-10-06	tropics	6	1.0269092	1.0455987	1.0102893	1.0389496	1.0152135	1.0325658	1.020592	2039-10-06	tropics	6	0.10042715	0.10075764	0.10012784	0.100640744	0.10022447	0.10052645	0.10031587	2039-10-06	tropics	6	0.10042715	0.10075764	0.10012784	0.100640744	0.10022447	0.10052645	0.10031587	FGA	2040-10-01
2039-10-07	tropics	6	1.0269294	1.0453136	1.0104817	1.0383372	1.0151933	1.0324192	1.0204651	2039-10-07	tropics	6	1.0269294	1.0453136	1.0104817	1.0383372	1.0151933	1.0324192	1.0204651	2039-10-07	tropics	6	0.0960598	0.10074016	0.09181557	0.099087454	0.093186334	0.09747833	0.09448075	2039-10-07	tropics	6	0.0960598	0.10074016	0.09181557	0.099087454	0.093186334	0.09747833	0.09448075	FGA	2040-10-01
2039-10-08	tropics	6	1.0268784	1.0452859	1.0109632	1.0379453	1.0149398	1.0319908	1.0203643	2039-10-08	tropics	6	1.0268784	1.0452859	1.0109632	1.0379453	1.0149398	1.0319908	1.0203643	2039-10-08	tropics	6	0.089767575	0.095035	0.08501867	0.09318137	0.08644946	0.09137869	0.087970614	2039-10-08	tropics	6	0.089767575	0.095035	0.08501867	0.09318137	0.08644946	0.09137869	0.087970614	FGA	2040-10-01
2039-10-09	tropics	6	1.0265617	1.0452272	1.0107863	1.0377482	1.0145406	1.0318178	1.02031	2039-10-09	tropics	6	1.0265617	1.0452272	1.0107863	1.0377482	1.0145406	1.0318178	1.02031	2039-10-09	tropics	6	0.08032918	0.08310626	0.07796037	0.08199847	0.07853465	0.08111036	0.079402626	2039-10-09	tropics	6	0.08032918	0.08310626	0.07796037	0.08199847	0.07853465	0.08111036	0.079402626	FGA	2040-10-01
2039-10-10	tropics	6	1.0264355	1.045069	1.0109323	1.0377543	1.0143216	1.0318171	1.0202942	2039-10-10	tropics	6	1.0264355	1.045069	1.0109323	1.0377543	1.0143216	1.0318171	1.0202942	2039-10-10	tropics	6	0.06920004	0.07191383	0.06696322	0.07084639	0.06742134	0.069987476	0.06830633	2039-10-10	tropics	6	0.06920004	0.07191383	0.06696322	0.07084639	0.06742134	0.069987476	0.06830633	FGA	2040-10-01
2039-10-11	tropics	6	1.0263886	1.0452543	1.0106069	1.0379242	1.01407	1.0320711	1.0203484	2039-10-11	tropics	6	1.0263886	1.0452543	1.0106069	1.0379242	1.01407	1.0320711	1.0203484	2039-10-11	tropics	6	-0.011220455	-0.006302578	-0.015385473	-0.008257938	-0.014418125	-0.009842396	-0.0128650665	2039-10-11	tropics	6	-0.011220455	-0.006302578	-0.015385473	-0.008257938	-0.014418125	-0.009842396	-0.0128650665	FGA	2040-10-01
2039-10-12	tropics	6	1.0262096	1.045085	1.010461	1.0380661	1.0143212	1.0320292	1.0201195	2039-10-12	tropics	6	1.0262096	1.045085	1.010461	1.0380661	1.0143212	1.0320292	1.0201195	2039-10-12	tropics	6	-0.032043576	-0.026084732	-0.037089128	-0.028413797	-0.035951734	-0.030323684	-0.033991575	2039-10-12	tropics	6	-0.032043576	-0.026084732	-0.037089128	-0.028413797	-0.035951734	-0.030323684	-0.033991575	FGA	2040-10-01
2039-10-13	tropics	6	1.0262146	1.0446991	1.0104157	1.0377319	1.0143385	1.0318804	1.0199342	2039-10-13	tropics	6	1.0262146	1.0446991	1.0104157	1.0377319	1.0143385	1.0318804	1.0199342	2039-10-13	tropics	6	0.01935196	0.02399425	0.015389586	0.02228427	0.016383434	0.020792365	0.017830491	2039-10-13	tropics	6	0.01935196	0.02399425	0.015389586	0.02228427	0.016383434	0.020792365	0.017830491	FGA	2040-10-01
2039-10-14	tropics	6	1.0261364	1.0446523	1.0102766	1.0377694	1.0143392	1.0320858	1.0197153	2039-10-14	tropics	6	1.0261364	1.0446523	1.0102766	1.0377694	1.0143392	1.0320858	1.0197153	2039-10-14	tropics	6	0.021011591	0.025176823	0.017421883	0.023610542	0.018349718	0.022305548	0.019587696	2039-10-14	tropics	6	0.021011591	0.025176823	0.017421883	0.023610542	0.018349718	0.022305548	0.019587696	FGA	2040-10-01
2039-10-15	tropics	6	1.026099	1.0445147	1.0099142	1.0378944	1.0141474	1.0320339	1.0195413	2039-10-15	tropics	6	1.026099	1.0445147	1.0099142	1.0378944	1.0141474	1.0320339	1.0195413	2039-10-15	tropics	6	0.00169456	0.006384653	-0.0023523807	0.0046123005	-0.0013077735	0.00315547	8.440018e-05	2039-10-15	tropics	6	0.00169456	0.006384653	-0.0023523807	0.0046123005	-0.0013077735	0.00315547	8.440018e-05	FGA	2040-10-01
2039-10-16	tropics	6	1.0260396	1.044518	1.009274	1.0376979	1.0142874	1.0320418	1.0194675	2039-10-16	tropics	6	1.0260396	1.044518	1.009274	1.0376979	1.0142874	1.0320418	1.0194675	2039-10-16	tropics	6	0.0011922121	0.0060602743	-0.003078991	0.0043180464	-0.0020017624	0.0027624965	-0.0005429983	2039-10-16	tropics	6	0.0011922121	0.0060602743	-0.003078991	0.0043180464	-0.0020017624	0.0027624965	-0.0005429983	FGA	2040-10-01
2039-10-17	tropics	6	1.0260088	1.0445151	1.0089905	1.0376437	1.0142946	1.0320843	1.0191903	2039-10-17	tropics	6	1.0260088	1.0445151	1.0089905	1.0376437	1.0142946	1.0320843	1.0191903	2039-10-17	tropics	6	0.008807182	0.013478155	0.004539531	0.011775542	0.0057964805	0.010315359	0.00714159	2039-10-17	tropics	6	0.008807182	0.013478155	0.004539531	0.011775542	0.0057964805	0.010315359	0.00714159	FGA	2040-10-01
