date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model	analysis_date
2049-10-02	tropics	3	0.9928183	0.9966072	0.98927826	0.9952803	0.9903176	0.99398756	0.991659	FGA	2050-10-01
2049-10-03	tropics	3	0.99279034	0.9963907	0.9892743	0.99533564	0.99040705	0.99396306	0.9915959	FGA	2050-10-01
2049-10-04	tropics	3	0.99273556	0.996322	0.9893419	0.9952998	0.99039483	0.99396133	0.9915674	FGA	2050-10-01
2049-10-05	tropics	3	0.99271715	0.99633133	0.9893978	0.9952165	0.99041665	0.99397695	0.9915642	FGA	2050-10-01
2049-10-06	tropics	3	0.9927163	0.9962737	0.98938394	0.9952065	0.9904819	0.9940076	0.9915658	FGA	2050-10-01
2049-10-07	tropics	3	0.99268484	0.99632275	0.9893867	0.99515843	0.9904653	0.99406487	0.99153817	FGA	2050-10-01
2049-10-08	tropics	3	0.99266267	0.9962965	0.9893526	0.9951457	0.99034417	0.99405414	0.99153984	FGA	2050-10-01
2049-10-09	tropics	3	0.99264157	0.9962648	0.9892732	0.99514514	0.9903865	0.9940491	0.9915205	FGA	2050-10-01
2049-10-10	tropics	3	0.9926367	0.996252	0.98921555	0.9951217	0.990309	0.994014	0.99151206	FGA	2050-10-01
2049-10-11	tropics	3	0.9926364	0.99625134	0.9892193	0.9951229	0.99038327	0.9939919	0.99151164	FGA	2050-10-01
2049-10-12	tropics	3	0.992628	0.99625427	0.98922217	0.9951261	0.99036217	0.9939951	0.99150234	FGA	2050-10-01
2049-10-13	tropics	3	0.9925999	0.9962351	0.98913586	0.99507916	0.9903159	0.9939456	0.9914623	FGA	2050-10-01
2049-10-14	tropics	3	0.9925398	0.99626434	0.98911136	0.9950573	0.9903063	0.99390733	0.99147356	FGA	2050-10-01
2049-10-15	tropics	3	0.992554	0.9962687	0.98907685	0.9950744	0.990312	0.9939025	0.9914725	FGA	2050-10-01
2049-10-16	tropics	3	0.9925812	0.99628377	0.98903966	0.99507725	0.99033964	0.99390805	0.99144804	FGA	2050-10-01
2049-10-17	tropics	3	0.9925742	0.99630976	0.9890255	0.99508816	0.9903151	0.9938934	0.9914098	FGA	2050-10-01
2049-10-18	tropics	3	0.9925636	0.9963008	0.989012	0.9951069	0.9902975	0.99389136	0.9913572	FGA	2050-10-01
2049-10-19	tropics	3	0.99256754	0.9962867	0.9889991	0.99511904	0.9902961	0.9938793	0.99133027	FGA	2050-10-01
2049-10-20	tropics	3	0.9925631	0.9962922	0.98895204	0.9951166	0.99027884	0.99386615	0.9912977	FGA	2050-10-01
2049-10-21	tropics	3	0.99256873	0.99629766	0.9888832	0.99506676	0.990222	0.9938475	0.99131	FGA	2050-10-01
2049-10-22	tropics	3	0.9925475	0.9963033	0.9888489	0.9950497	0.99022233	0.9938416	0.99131584	FGA	2050-10-01
