date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2053-10-05	south	7	0.79225314	0.8258488	0.75173974	0.8155337	0.764502	0.8053546	0.7776964								GARW	2054-10-01
2053-10-06	south	7	0.79250133	0.82599443	0.75200975	0.81573874	0.7647664	0.8055801	0.77798975								GARW	2054-10-01
2053-10-07	south	7	0.7963935	0.8286192	0.7564271	0.81905174	0.76980984	0.8089886	0.78262806								GARW	2054-10-01
2053-10-08	south	7	0.8023143	0.83226424	0.7633578	0.8236223	0.77695376	0.81428635	0.7892723								GARW	2054-10-01
2053-10-09	south	7	0.80594504	0.83505875	0.7674526	0.8263213	0.7805084	0.81733024	0.7931333								GARW	2054-10-01
2053-10-10	south	7	0.80851483	0.83759993	0.77045107	0.8283895	0.78411573	0.8198012	0.7963624								GARW	2054-10-01
2053-10-11	south	7	0.8119274	0.84018177	0.7744885	0.8310378	0.7880623	0.82317024	0.80014485								GARW	2054-10-01
2053-10-12	south	7	0.8159614	0.8434111	0.77885246	0.8341356	0.79220295	0.8268125	0.80475175								GARW	2054-10-01
2053-10-13	south	7	0.81925225	0.84644705	0.78276473	0.83705175	0.7968752	0.82970834	0.80803347								GARW	2054-10-01
2053-10-14	south	7	0.8226179	0.84909403	0.7864903	0.8397621	0.80076456	0.8326002	0.8115158								GARW	2054-10-01
2053-10-15	south	7	0.82571465	0.8520494	0.79049736	0.84241545	0.8046901	0.8355345	0.81499654								GARW	2054-10-01
2053-10-16	south	7	0.8292136	0.85501033	0.79473096	0.8454243	0.80817825	0.83858573	0.81850636								GARW	2054-10-01
2053-10-17	south	7	0.83211195	0.8574029	0.79895735	0.8480657	0.8116001	0.8414849	0.8220372								GARW	2054-10-01
2053-10-18	south	7	0.8352301	0.8598929	0.8030615	0.85088634	0.8152949	0.84445584	0.8254807								GARW	2054-10-01
2053-10-19	south	7	0.8380866	0.86243325	0.8071345	0.8533246	0.8185881	0.8473635	0.828678								GARW	2054-10-01
2053-10-20	south	7	0.8409891	0.864922	0.81115633	0.8560042	0.82204336	0.85023683	0.83170235								GARW	2054-10-01
2053-10-21	south	7	0.8442615	0.8673645	0.81497747	0.8586776	0.82492465	0.85301626	0.8347819								GARW	2054-10-01
2053-10-22	south	7	0.8474605	0.869701	0.8185209	0.86173314	0.82798314	0.85583305	0.8379823								GARW	2054-10-01
2053-10-23	south	7	0.8506958	0.87230206	0.82182205	0.8644881	0.83110744	0.85856265	0.8409997								GARW	2054-10-01
2053-10-24	south	7	0.8535284	0.87496704	0.82472104	0.8672033	0.8340814	0.86143595	0.84416705								GARW	2054-10-01
2053-10-25	south	7	0.8560784	0.87759066	0.82808226	0.8698055	0.83710176	0.8641322	0.8470033								GARW	2054-10-01
2053-10-26	south	7	0.8588803	0.8800273	0.8314904	0.872436	0.8400355	0.8668621	0.84975713								GARW	2054-10-01
2053-10-27	south	7	0.86152196	0.88215387	0.8345532	0.87490904	0.8430343	0.86939555	0.85254014								GARW	2054-10-01
2053-10-28	south	7	0.8643664	0.8842567	0.83752847	0.8774641	0.8457096	0.8721221	0.8553062								GARW	2054-10-01
2053-10-29	south	7	0.86714673	0.8864482	0.84053385	0.88003254	0.8487506	0.87469596	0.8580373								GARW	2054-10-01
2053-10-30	south	7	0.8696795	0.88874906	0.84335685	0.8825352	0.85175145	0.8773665	0.8606511								GARW	2054-10-01
2053-10-31	south	7	0.872182	0.8911695	0.8461492	0.88507587	0.85411596	0.8798819	0.8632386								GARW	2054-10-01
2053-11-01	south	7	0.8744942	0.8937581	0.8491361	0.88749456	0.85663146	0.88232595	0.86591566								GARW	2054-10-01
2053-11-02	south	7	0.8768267	0.8963346	0.8520057	0.8898045	0.8592763	0.88483787	0.8683938								GARW	2054-10-01
2053-11-03	south	7	0.8791721	0.8987378	0.85489327	0.892132	0.8616155	0.88732314	0.87076175								GARW	2054-10-01
2053-11-04	south	7	0.8815542	0.9012428	0.85720426	0.8945374	0.86425346	0.889415	0.8732213								GARW	2054-10-01
2053-11-05	south	7	0.88396335	0.9038822	0.8595519	0.8971745	0.866714	0.89180756	0.87554127								GARW	2054-10-01
2053-11-06	south	7	0.8864612	0.90603817	0.86192185	0.8997229	0.86902624	0.8941261	0.87788534								GARW	2054-10-01
2053-11-07	south	7	0.88852876	0.90832096	0.86385334	0.90218157	0.87137944	0.89637417	0.8803988								GARW	2054-10-01
2053-11-08	south	7	0.89080715	0.9107074	0.86612856	0.90443975	0.8737975	0.898795	0.8825668								GARW	2054-10-01
2053-11-09	south	7	0.89327	0.9129888	0.8681814	0.90666145	0.8762262	0.90115654	0.8848343								GARW	2054-10-01
2053-11-10	south	7	0.89530027	0.915226	0.87020683	0.9089122	0.8785702	0.9031666	0.88703036								GARW	2054-10-01
2053-11-11	south	7	0.89739037	0.91741186	0.8724431	0.9112031	0.8807699	0.9053058	0.88918495								GARW	2054-10-01
2053-11-12	south	7	0.8993503	0.9195645	0.87480706	0.9134845	0.8830919	0.9074218	0.8911451								GARW	2054-10-01
2053-11-13	south	7	0.9014572	0.9214588	0.87708867	0.9154448	0.88487077	0.9092878	0.8931434								GARW	2054-10-01
2053-11-14	south	7	0.9034098	0.92350656	0.8792715	0.9175583	0.8868042	0.9111606	0.89493185								GARW	2054-10-01
2053-11-15	south	7	0.9052086	0.9255297	0.8810788	0.9195221	0.8887012	0.91318315	0.89689434								GARW	2054-10-01
2053-11-16	south	7	0.907114	0.92750907	0.8831107	0.9213358	0.89037466	0.91498005	0.8989225								GARW	2054-10-01
2053-11-17	south	7	0.9090501	0.92940295	0.8849195	0.9231108	0.8923991	0.9168795	0.9007499								GARW	2054-10-01
2053-11-18	south	7	0.91081953	0.9312463	0.88665205	0.92495793	0.8943344	0.91881555	0.9026097								GARW	2054-10-01
2053-11-19	south	7	0.91255015	0.9331752	0.8883734	0.9268455	0.8962594	0.9206219	0.9043828								GARW	2054-10-01
2053-11-20	south	7	0.9142339	0.93524265	0.890244	0.92849296	0.8979268	0.9222953	0.906118								GARW	2054-10-01
2053-11-21	south	7	0.9160154	0.9371976	0.8921128	0.9302196	0.89960575	0.9241657	0.9078922								GARW	2054-10-01
2053-11-22	south	7	0.9178589	0.9389277	0.8941091	0.9320034	0.9014313	0.9260617	0.9096538								GARW	2054-10-01
2053-11-23	south	7	0.91953933	0.9405292	0.89607316	0.9336559	0.90296745	0.92769927	0.9114316								GARW	2054-10-01
2053-11-24	south	7	0.9212105	0.9421259	0.8980054	0.9352063	0.90486676	0.9294418	0.9133754								GARW	2054-10-01
2053-11-25	south	7	0.9229639	0.94369966	0.8997803	0.9369208	0.9066292	0.931103	0.91492254								GARW	2054-10-01
2053-11-26	south	7	0.9245553	0.94509995	0.9013809	0.93859357	0.9081911	0.9327503	0.91651374								GARW	2054-10-01
2053-11-27	south	7	0.9259682	0.94644755	0.9028499	0.94022536	0.9098945	0.93437976	0.91808474								GARW	2054-10-01
2053-11-28	south	7	0.92753446	0.9478029	0.9044428	0.9417455	0.9112663	0.93596363	0.9196905								GARW	2054-10-01
2053-11-29	south	7	0.92908597	0.9492221	0.9060684	0.94320196	0.9126577	0.9374739	0.92123777								GARW	2054-10-01
2053-11-30	south	7	0.93055665	0.9506077	0.907573	0.94464993	0.91405314	0.93897057	0.92270374								GARW	2054-10-01
2053-12-01	south	7	0.931997	0.95197105	0.90893155	0.94602746	0.9153972	0.9404549	0.9242926								GARW	2054-10-01
2053-12-02	south	7	0.9334703	0.9533133	0.91026014	0.9474683	0.91681844	0.9418526	0.9257399								GARW	2054-10-01
2053-12-03	south	7	0.9348202	0.954665	0.91167843	0.9489667	0.9183766	0.9432359	0.92717344								GARW	2054-10-01
2053-12-04	south	7	0.9360527	0.9559801	0.9131625	0.95032245	0.9198571	0.9445982	0.92856485								GARW	2054-10-01
2053-12-05	south	7	0.93736255	0.9572138	0.914624	0.9516275	0.92129475	0.9459499	0.9299166								GARW	2054-10-01
2053-12-06	south	7	0.9387325	0.9583928	0.9160631	0.95293146	0.9226496	0.94720334	0.93114126								GARW	2054-10-01
2053-12-07	south	7	0.9399873	0.9595405	0.9173594	0.9542183	0.9238875	0.94846904	0.9323559								GARW	2054-10-01
2053-12-08	south	7	0.94124043	0.9606578	0.9185684	0.9553367	0.92517304	0.94971377	0.93352854								GARW	2054-10-01
2053-12-09	south	7	0.9426058	0.9617454	0.91976047	0.9565097	0.92653364	0.9509191	0.9347725								GARW	2054-10-01
2053-12-10	south	7	0.9437753	0.96280414	0.9209137	0.9576653	0.9277793	0.9521003	0.93596524								GARW	2054-10-01
2053-12-11	south	7	0.94492364	0.9638443	0.92203	0.95873386	0.92895824	0.95327264	0.9371365								GARW	2054-10-01
2053-12-12	south	7	0.9460511	0.9648735	0.92319965	0.959878	0.9302079	0.95440346	0.9383778								GARW	2054-10-01
2053-12-13	south	7	0.94722337	0.9658748	0.92435324	0.9608939	0.9316032	0.9555085	0.9395761								GARW	2054-10-01
2053-12-14	south	7	0.94835854	0.9668492	0.9254909	0.96186215	0.93295217	0.9565661	0.9407342								GARW	2054-10-01
2053-12-15	south	7	0.9494622	0.96779716	0.9266129	0.9628186	0.93401915	0.95763534	0.94196546								GARW	2054-10-01
2053-12-16	south	7	0.95056343	0.96871936	0.9277192	0.9637502	0.93513846	0.95864576	0.94321585								GARW	2054-10-01
2053-12-17	south	7	0.9515964	0.9696166	0.92881054	0.96465695	0.93620265	0.95965636	0.94444174								GARW	2054-10-01
2053-12-18	south	7	0.9526161	0.9704892	0.92997557	0.9655422	0.93723327	0.9606303	0.94557494								GARW	2054-10-01
2053-12-19	south	7	0.9536366	0.97134054	0.93112236	0.9664066	0.9382829	0.9615819	0.94663423								GARW	2054-10-01
2053-12-20	south	7	0.9545896	0.9721689	0.9322513	0.9672811	0.93935245	0.96252173	0.94765514								GARW	2054-10-01
2053-12-21	south	7	0.95560604	0.9729746	0.9333535	0.96825796	0.9404052	0.9634415	0.94863397								GARW	2054-10-01
2053-12-22	south	7	0.9565387	0.97375315	0.93431836	0.96920794	0.9412722	0.9643488	0.94958174								GARW	2054-10-01
2053-12-23	south	7	0.9575256	0.9744895	0.9352169	0.97002864	0.94222224	0.9652413	0.9505329								GARW	2054-10-01
2053-12-24	south	7	0.95845175	0.9752058	0.9360976	0.9708282	0.9433181	0.96612716	0.9514314								GARW	2054-10-01
2053-12-25	south	7	0.9593408	0.97590244	0.9370039	0.97161216	0.9443403	0.9670247	0.9523693								GARW	2054-10-01
2053-12-26	south	7	0.9602583	0.97658	0.93796384	0.9724666	0.94537336	0.96784484	0.9533176								GARW	2054-10-01
2053-12-27	south	7	0.9611624	0.9772462	0.93890953	0.9732971	0.94640005	0.96858597	0.95424914								GARW	2054-10-01
2053-12-28	south	7	0.96199405	0.9779136	0.939838	0.9740794	0.94728786	0.9693575	0.95513946								GARW	2054-10-01
2053-12-29	south	7	0.9628061	0.97856265	0.9407529	0.97479045	0.94812614	0.97013164	0.9560396								GARW	2054-10-01
2053-12-30	south	7	0.9636556	0.97919375	0.94165456	0.97550386	0.948952	0.970896	0.95688885								GARW	2054-10-01
2053-12-31	south	7	0.9644879	0.9798161	0.9425305	0.9761531	0.9498362	0.97163796	0.9577036								GARW	2054-10-01
2054-01-01	south	7	0.9652845	0.9804519	0.9433463	0.9767982	0.95073164	0.97237194	0.9585081								GARW	2054-10-01
2054-01-02	south	7	0.9660084	0.9810704	0.9441503	0.9774372	0.9516256	0.973044	0.9593788								GARW	2054-10-01
2054-01-03	south	7	0.96672106	0.98166287	0.94494283	0.97806305	0.95250493	0.9737031	0.9602002								GARW	2054-10-01
2054-01-04	south	7	0.9674568	0.9822183	0.94572395	0.9786723	0.95337	0.9743688	0.96096265								GARW	2054-10-01
2054-01-05	south	7	0.9681829	0.9827598	0.94649374	0.9792694	0.9541761	0.97501314	0.9617258								GARW	2054-10-01
2054-01-06	south	7	0.9689209	0.98328644	0.9472525	0.9798803	0.9550228	0.97562546	0.96248555								GARW	2054-10-01
2054-01-07	south	7	0.96962893	0.9837985	0.9480002	0.98046845	0.95586485	0.97628444	0.9632313								GARW	2054-10-01
2054-01-08	south	7	0.97030485	0.9842788	0.948737	0.9810585	0.9566775	0.9768909	0.9639318								GARW	2054-10-01
2054-01-09	south	7	0.9709748	0.9847268	0.94946325	0.9816304	0.95747685	0.97745997	0.9646242								GARW	2054-10-01
2054-01-10	south	7	0.97163916	0.9851764	0.95019835	0.9821477	0.958251	0.97801554	0.9653435								GARW	2054-10-01
2054-01-11	south	7	0.9722924	0.98561424	0.9509923	0.9826813	0.9589956	0.97856826	0.9660337								GARW	2054-10-01
2054-01-12	south	7	0.9728962	0.9860347	0.95177275	0.98319954	0.9597224	0.9791111	0.96676785								GARW	2054-10-01
2054-01-13	south	7	0.97348934	0.9864434	0.95254123	0.98370296	0.9604361	0.979638	0.96749973								GARW	2054-10-01
2054-01-14	south	7	0.97411364	0.9868413	0.9532446	0.9841919	0.96113694	0.9801523	0.96817535								GARW	2054-10-01
2054-01-15	south	7	0.9746973	0.9872282	0.95395964	0.9846645	0.961825	0.9806544	0.9688088								GARW	2054-10-01
2054-01-16	south	7	0.97526014	0.98760426	0.95466495	0.98511976	0.96250045	0.9811454	0.96947646								GARW	2054-10-01
2054-01-17	south	7	0.97580695	0.98796964	0.95536065	0.98556197	0.96316373	0.98162913	0.9700501								GARW	2054-10-01
2054-01-18	south	7	0.97635376	0.9883246	0.9560469	0.9859914	0.96381485	0.9820962	0.9706823								GARW	2054-10-01
2054-01-19	south	7	0.97689074	0.98866963	0.9567237	0.9864078	0.96446896	0.98253584	0.9713168								GARW	2054-10-01
2054-01-20	south	7	0.977428	0.98900473	0.95738596	0.9868122	0.96512127	0.98296446	0.97191936								GARW	2054-10-01
2054-01-21	south	7	0.97796535	0.9893303	0.95800936	0.98720497	0.9657625	0.98338854	0.97249657								GARW	2054-10-01
2054-01-22	south	7	0.97846466	0.98964655	0.9585805	0.9876169	0.9663958	0.9838116	0.9730487								GARW	2054-10-01
2054-01-23	south	7	0.9789597	0.98995376	0.95914406	0.9880003	0.96701986	0.9842318	0.97359025								GARW	2054-10-01
2054-01-24	south	7	0.9794447	0.9902522	0.9597026	0.9883748	0.9676333	0.9846534	0.9741216								GARW	2054-10-01
2054-01-25	south	7	0.97991276	0.99054205	0.96032125	0.988718	0.9682362	0.9850639	0.9746529								GARW	2054-10-01
2054-01-26	south	7	0.980369	0.9908235	0.96094054	0.9890443	0.9688124	0.9854636	0.97518015								GARW	2054-10-01
2054-01-27	south	7	0.9808259	0.991097	0.96155083	0.9893585	0.96939975	0.9858487	0.97569704								GARW	2054-10-01
2054-01-28	south	7	0.98128486	0.9913625	0.9620921	0.9896654	0.96996295	0.9862196	0.9762039								GARW	2054-10-01
2054-01-29	south	7	0.98172	0.9916203	0.9625918	0.9899737	0.9705165	0.9865732	0.9766696								GARW	2054-10-01
2054-01-30	south	7	0.9821453	0.9918707	0.9630854	0.99027306	0.9710674	0.98690355	0.9771096								GARW	2054-10-01
2054-01-31	south	7	0.982561	0.9921139	0.9635728	0.99054044	0.9716104	0.98726064	0.9775415								GARW	2054-10-01
2054-02-01	south	7	0.9829674	0.9923517	0.9640543	0.99080515	0.97214395	0.9875983	0.97797257								GARW	2054-10-01
2054-02-02	south	7	0.9833645	0.99259204	0.9645263	0.99107033	0.97266805	0.9879427	0.9783795								GARW	2054-10-01
2054-02-03	south	7	0.9837526	0.9928252	0.9649918	0.9913279	0.973183	0.9882814	0.9787986								GARW	2054-10-01
2054-02-04	south	7	0.9841319	0.99305135	0.9654516	0.99157834	0.9736887	0.98861116	0.97926503								GARW	2054-10-01
2054-02-05	south	7	0.98449343	0.99327064	0.96590567	0.99181473	0.9741857	0.9889315	0.9797225								GARW	2054-10-01
2054-02-06	south	7	0.98484063	0.99348336	0.96635395	0.9920568	0.9746738	0.9892407	0.9801417								GARW	2054-10-01
2054-02-07	south	7	0.98517984	0.99368966	0.9668057	0.9922924	0.97515327	0.98954177	0.980573								GARW	2054-10-01
2054-02-08	south	7	0.98551136	0.99388963	0.96728045	0.9925176	0.97562414	0.9898327	0.9809948								GARW	2054-10-01
2054-02-09	south	7	0.98583114	0.9940836	0.96774876	0.9927342	0.97608674	0.9901095	0.981381								GARW	2054-10-01
2054-02-10	south	7	0.9861326	0.99427164	0.96821064	0.99294156	0.9765411	0.9903772	0.98175985								GARW	2054-10-01
