date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2034-10-01	tropics	0	0.09504387	0.12088742	0.07132734	0.11060101	0.07983926	0.10437852	0.08629087								GARW	2035-10-01
2034-10-02	tropics	0	0.09508367	0.12092233	0.07136607	0.11064245	0.07987929	0.1044161	0.08633142								GARW	2035-10-01
2034-10-03	tropics	0	0.09570161	0.12148451	0.07199319	0.11130949	0.080524586	0.10506843	0.08696468								GARW	2035-10-01
2034-10-04	tropics	0	0.0965831	0.12229524	0.072943546	0.112076014	0.08142081	0.10585952	0.08786632								GARW	2035-10-01
2034-10-05	tropics	0	0.09708892	0.122756355	0.07347594	0.11249501	0.08190339	0.10630149	0.08832734								GARW	2035-10-01
2034-10-06	tropics	0	0.09754798	0.12314485	0.07392629	0.112919755	0.08233571	0.10664709	0.08872126								GARW	2035-10-01
2034-10-07	tropics	0	0.09809969	0.12366569	0.0745382	0.113493636	0.08298265	0.10718179	0.08927661								GARW	2035-10-01
2034-10-08	tropics	0	0.09878202	0.124223866	0.07519191	0.11410595	0.08363107	0.107789025	0.08989734								GARW	2035-10-01
2034-10-09	tropics	0	0.099317394	0.12472989	0.07577823	0.1146813	0.08414715	0.10829461	0.09045831								GARW	2035-10-01
2034-10-10	tropics	0	0.09989308	0.12521851	0.0763134	0.115256	0.08464581	0.10883765	0.09100087								GARW	2035-10-01
2034-10-11	tropics	0	0.100513004	0.12572698	0.07685681	0.11584692	0.085166186	0.10939224	0.09156552								GARW	2035-10-01
2034-10-12	tropics	0	0.101058535	0.12624241	0.07740797	0.1164326	0.08569393	0.10994963	0.092106655								GARW	2035-10-01
2034-10-13	tropics	0	0.10166228	0.1267486	0.0779492	0.11691026	0.08621219	0.11048844	0.0926279								GARW	2035-10-01
2034-10-14	tropics	0	0.102271914	0.12724179	0.07848614	0.117356166	0.086726196	0.11101815	0.093157254								GARW	2035-10-01
2034-10-15	tropics	0	0.10286957	0.12767573	0.07902605	0.11790263	0.08724287	0.111525446	0.093675174								GARW	2035-10-01
2034-10-16	tropics	0	0.10336934	0.12810928	0.079566576	0.11844848	0.08776269	0.11201555	0.09417494								GARW	2035-10-01
2034-10-17	tropics	0	0.1038578	0.12853841	0.08010448	0.11898343	0.08829041	0.11254219	0.094671994								GARW	2035-10-01
2034-10-18	tropics	0	0.104318514	0.12896356	0.080646046	0.11951203	0.08887947	0.113044314	0.095167								GARW	2035-10-01
2034-10-19	tropics	0	0.104812056	0.12940878	0.081204966	0.12005449	0.08951441	0.113641314	0.095665686								GARW	2035-10-01
2034-10-20	tropics	0	0.10530862	0.12998407	0.08176355	0.12060278	0.0901504	0.11422898	0.09619039								GARW	2035-10-01
2034-10-21	tropics	0	0.10576904	0.13056396	0.0823211	0.121147744	0.09078666	0.11473637	0.09671351								GARW	2035-10-01
2034-10-22	tropics	0	0.10624788	0.13114527	0.08287759	0.12163494	0.09142318	0.11523497	0.09723504								GARW	2035-10-01
2034-10-23	tropics	0	0.1067119	0.13169974	0.083433144	0.12212948	0.0920601	0.11571797	0.09775505								GARW	2035-10-01
2034-10-24	tropics	0	0.107168354	0.13213214	0.08398652	0.12265043	0.09261387	0.116197355	0.098228365								GARW	2035-10-01
2034-10-25	tropics	0	0.107603066	0.1326108	0.08456056	0.12320846	0.09308675	0.11669388	0.09875418								GARW	2035-10-01
