date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model	analysis_date
2044-10-06	north	29	1.1071823	1.1318145	1.0862868	1.1232312	1.0939587	1.1152958	1.1003176	GARW	2045-10-01
2044-10-07	north	29	1.1073008	1.1319597	1.0865579	1.12331	1.0944765	1.1153953	1.100198	GARW	2045-10-01
2044-10-08	north	29	1.1076925	1.1317005	1.0868838	1.1230606	1.0944996	1.1156323	1.1002206	GARW	2045-10-01
2044-10-09	north	29	1.1078242	1.131458	1.0873322	1.1230803	1.0949689	1.1156855	1.1001008	GARW	2045-10-01
2044-10-10	north	29	1.108074	1.1315125	1.0879471	1.1231487	1.0947552	1.1160648	1.1001601	GARW	2045-10-01
2044-10-11	north	29	1.1083949	1.1312747	1.0883659	1.1233718	1.0951197	1.1160069	1.1001593	GARW	2045-10-01
2044-10-12	north	29	1.1085498	1.1313959	1.0886284	1.1229591	1.0953816	1.1160164	1.1001097	GARW	2045-10-01
2044-10-13	north	29	1.1085589	1.1318789	1.0887821	1.1230211	1.0955235	1.1160223	1.1000528	GARW	2045-10-01
2044-10-14	north	29	1.1086235	1.1321654	1.0889266	1.1230699	1.0955741	1.1163185	1.100372	GARW	2045-10-01
2044-10-15	north	29	1.1087575	1.1323687	1.0889392	1.1233253	1.0955749	1.1165385	1.1004554	GARW	2045-10-01
2044-10-16	north	29	1.1089618	1.1328211	1.0891017	1.1235309	1.0956063	1.1164441	1.1004845	GARW	2045-10-01
2044-10-17	north	29	1.1089666	1.133121	1.0890801	1.1237898	1.0955024	1.1164804	1.1007491	GARW	2045-10-01
2044-10-18	north	29	1.1088891	1.1330618	1.0891631	1.1241597	1.0954162	1.1167363	1.1008437	GARW	2045-10-01
2044-10-19	north	29	1.1089585	1.1332647	1.0892756	1.1243106	1.0953138	1.1169584	1.1011136	GARW	2045-10-01
2044-10-20	north	29	1.1090035	1.1337336	1.0894039	1.1246438	1.0953995	1.1170902	1.1012714	GARW	2045-10-01
2044-10-21	north	29	1.1091199	1.1341377	1.0896795	1.1249903	1.0956906	1.1172905	1.1015829	GARW	2045-10-01
2044-10-22	north	29	1.1092014	1.1342478	1.0900875	1.1252314	1.0957141	1.1175132	1.1018882	GARW	2045-10-01
2044-10-23	north	29	1.109319	1.134349	1.09011	1.1254966	1.0956782	1.1176468	1.1019992	GARW	2045-10-01
2044-10-24	north	29	1.1094434	1.1343176	1.0898728	1.1257302	1.0956402	1.1179757	1.1022868	GARW	2045-10-01
