date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2047-04-05	north	24	1.0781605	1.0941323	1.0603373	1.0892116	1.0670054	1.0846404	1.0724887	2047-04-05	north	24	1.0781605	1.0941323	1.0603373	1.0892116	1.0670054	1.0846404	1.0724887	2047-04-05	north	24	nan	nan	nan	nan	nan	nan	nan	2047-04-05	north	24	nan	nan	nan	nan	nan	nan	nan	GARW	2048-04-01
2047-04-06	north	24	1.0783223	1.0945987	1.0611107	1.0890857	1.066929	1.0847921	1.0726306	2047-04-06	north	24	1.0783223	1.0945987	1.0611107	1.0890857	1.066929	1.0847921	1.0726306	2047-04-06	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2047-04-06	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2048-04-01
2047-04-07	north	24	1.0783701	1.0946139	1.0614179	1.0889317	1.0668482	1.0849118	1.0723598	2047-04-07	north	24	1.0783701	1.0946139	1.0614179	1.0889317	1.0668482	1.0849118	1.0723598	2047-04-07	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2047-04-07	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2048-04-01
2047-04-08	north	24	1.078495	1.0945249	1.0614911	1.0890775	1.0669719	1.0850383	1.072537	2047-04-08	north	24	1.078495	1.0945249	1.0614911	1.0890775	1.0669719	1.0850383	1.072537	2047-04-08	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2047-04-08	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2048-04-01
2047-04-09	north	24	1.0786597	1.0947562	1.0613766	1.0892606	1.0667571	1.0850575	1.0726281	2047-04-09	north	24	1.0786597	1.0947562	1.0613766	1.0892606	1.0667571	1.0850575	1.0726281	2047-04-09	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2047-04-09	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2048-04-01
2047-04-10	north	24	1.078761	1.0950595	1.0612928	1.0893399	1.0667171	1.0850819	1.072657	2047-04-10	north	24	1.078761	1.0950595	1.0612928	1.0893399	1.0667171	1.0850819	1.072657	2047-04-10	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2047-04-10	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2048-04-01
2047-04-11	north	24	1.078809	1.0953525	1.0616018	1.0898595	1.06665	1.0851411	1.0728436	2047-04-11	north	24	1.078809	1.0953525	1.0616018	1.0898595	1.06665	1.0851411	1.0728436	2047-04-11	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2047-04-11	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2048-04-01
2047-04-12	north	24	1.078918	1.0957463	1.0615125	1.0898757	1.0665153	1.0853744	1.0727842	2047-04-12	north	24	1.078918	1.0957463	1.0615125	1.0898757	1.0665153	1.0853744	1.0727842	2047-04-12	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2047-04-12	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2048-04-01
2047-04-13	north	24	1.0790076	1.0963339	1.0616024	1.090127	1.0663581	1.0853179	1.0727009	2047-04-13	north	24	1.0790076	1.0963339	1.0616024	1.090127	1.0663581	1.0853179	1.0727009	2047-04-13	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2047-04-13	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2048-04-01
2047-04-14	north	24	1.0791804	1.0966445	1.0616292	1.0905147	1.0662649	1.0855247	1.0724492	2047-04-14	north	24	1.0791804	1.0966445	1.0616292	1.0905147	1.0662649	1.0855247	1.0724492	2047-04-14	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2047-04-14	north	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2048-04-01
