date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model
2024-12-29	south	20	0.91186386	0.94057786	0.8846797	0.9296994	0.8934273	0.92149043	0.90148425	GARW
2024-12-30	south	20	0.9112324	0.9391805	0.8848312	0.9283846	0.8935744	0.9202561	0.9010755	GARW
2024-12-31	south	20	0.9108443	0.93760616	0.8837937	0.92783606	0.89342624	0.91897357	0.9006398	GARW
2025-01-01	south	20	0.9098088	0.93596315	0.8828134	0.9270902	0.8930971	0.91785306	0.90021336	GARW
2025-01-02	south	20	0.9092643	0.9348926	0.8825289	0.92649466	0.8923516	0.9171127	0.90002155	GARW
2025-01-03	south	20	0.90853465	0.93443316	0.88219476	0.9259958	0.8916815	0.9167672	0.89904445	GARW
2025-01-04	south	20	0.9077631	0.93392855	0.8816575	0.9253967	0.8899573	0.9161996	0.8986989	GARW
2025-01-05	south	20	0.9070554	0.933121	0.8807479	0.92478263	0.88885766	0.9158139	0.8978019	GARW
2025-01-06	south	20	0.9068792	0.9324634	0.88011	0.923891	0.8883314	0.9151211	0.8976235	GARW
2025-01-07	south	20	0.9065255	0.93246555	0.8792442	0.92350364	0.88826174	0.9148011	0.89706385	GARW
2025-01-08	south	20	0.9061842	0.93256104	0.87844014	0.92303413	0.8879192	0.91443664	0.89629275	GARW
2025-01-09	south	20	0.9057372	0.9320869	0.8775545	0.92250407	0.88744676	0.91421413	0.89607465	GARW
2025-01-10	south	20	0.9053315	0.93131286	0.87714475	0.9224112	0.88691586	0.9140004	0.89546335	GARW
2025-01-11	south	20	0.9051229	0.930713	0.8768104	0.9224539	0.88647735	0.91378284	0.8951717	GARW
2025-01-12	south	20	0.9045243	0.9305133	0.87592334	0.9218438	0.88567466	0.91321903	0.8948344	GARW
2025-01-13	south	20	0.9043077	0.9299469	0.8757223	0.92138296	0.8854545	0.9129535	0.8944054	GARW
2025-01-14	south	20	0.90399265	0.9292777	0.8756793	0.92077523	0.885271	0.9125772	0.89400816	GARW
2025-01-15	south	20	0.9035037	0.9292515	0.87570626	0.9207056	0.8852978	0.9123979	0.89367855	GARW
2025-01-16	south	20	0.9030607	0.92898875	0.8756054	0.9208923	0.8847614	0.9122026	0.89332116	GARW
2025-01-17	south	20	0.9027982	0.92881626	0.8757182	0.9211759	0.8842536	0.9120524	0.8935035	GARW
