date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2030-04-01	south	2	0.98385197	1.0002662	0.9678148	0.9955151	0.97293085	0.9901333	0.97799546	2030-04-01	south	2	0.98385197	1.0002662	0.9678148	0.9955151	0.97293085	0.9901333	0.97799546	2030-04-01	south	2	nan	nan	nan	nan	nan	nan	nan	2030-04-01	south	2	nan	nan	nan	nan	nan	nan	nan	GARW	2031-04-01
2030-04-02	south	2	0.9839522	1.0004506	0.96783036	0.9954124	0.9729996	0.9899254	0.978027	2030-04-02	south	2	0.9839522	1.0004506	0.96783036	0.9954124	0.9729996	0.9899254	0.978027	2030-04-02	south	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2030-04-02	south	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2031-04-01
2030-04-03	south	2	0.98390967	1.0004969	0.9678338	0.99536973	0.9730717	0.9901207	0.9779289	2030-04-03	south	2	0.98390967	1.0004969	0.9678338	0.99536973	0.9730717	0.9901207	0.9779289	2030-04-03	south	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2030-04-03	south	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2031-04-01
2030-04-04	south	2	0.9837176	1.0002997	0.96768856	0.99527705	0.97301185	0.9901397	0.97767276	2030-04-04	south	2	0.9837176	1.0002997	0.96768856	0.99527705	0.97301185	0.9901397	0.97767276	2030-04-04	south	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2030-04-04	south	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2031-04-01
2030-04-05	south	2	0.98378295	1.0001146	0.9677303	0.9950572	0.9728588	0.99015236	0.9774548	2030-04-05	south	2	0.98378295	1.0001146	0.9677303	0.9950572	0.9728588	0.99015236	0.9774548	2030-04-05	south	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2030-04-05	south	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2031-04-01
2030-04-06	south	2	0.9838667	1.0001111	0.9678078	0.99524194	0.9728202	0.9901558	0.97741	2030-04-06	south	2	0.9838667	1.0001111	0.9678078	0.99524194	0.9728202	0.9901558	0.97741	2030-04-06	south	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2030-04-06	south	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2031-04-01
2030-04-07	south	2	0.9838968	1.0000863	0.9679182	0.99530846	0.9727772	0.9901117	0.977551	2030-04-07	south	2	0.9838968	1.0000863	0.9679182	0.99530846	0.9727772	0.9901117	0.977551	2030-04-07	south	2	9.428274	9.738971	9.051248	9.637007	9.186964	9.540733	9.303316	2030-04-07	south	2	9.428274	9.738971	9.051248	9.637007	9.186964	9.540733	9.303316	GARW	2031-04-01
2030-04-08	south	2	0.9839477	1.000194	0.96799296	0.9953502	0.9726846	0.9901649	0.9776567	2030-04-08	south	2	0.9839477	1.000194	0.96799296	0.9953502	0.9726846	0.9901649	0.9776567	2030-04-08	south	2	14.731297	14.731298	14.731297	14.7312975	14.731297	14.7312975	14.731297	2030-04-08	south	2	14.731297	14.731298	14.731297	14.7312975	14.731297	14.7312975	14.731297	GARW	2031-04-01
2030-04-09	south	2	0.9838939	1.000429	0.96803206	0.995174	0.9725206	0.9901444	0.97774374	2030-04-09	south	2	0.9838939	1.000429	0.96803206	0.995174	0.9725206	0.9901444	0.97774374	2030-04-09	south	2	2.8106384	2.8106387	2.8106377	2.8106387	2.810638	2.8106384	2.810638	2030-04-09	south	2	2.8106384	2.8106387	2.8106377	2.8106387	2.810638	2.8106384	2.810638	GARW	2031-04-01
2030-04-10	south	2	0.9840219	1.0002574	0.96798545	0.9951393	0.9724233	0.9901234	0.97781307	2030-04-10	south	2	0.9840219	1.0002574	0.96798545	0.9951393	0.9724233	0.9901234	0.97781307	2030-04-10	south	2	0.77358586	0.7736311	0.7735424	0.7736167	0.7735548	0.773603	0.773569	2030-04-10	south	2	0.77358586	0.7736311	0.7735424	0.7736167	0.7735548	0.773603	0.773569	GARW	2031-04-01
