date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model	analysis_date
2033-10-02	south	9	0.9011682	0.91675514	0.88621956	0.9120992	0.8909878	0.90698457	0.8957689	GARW	2034-10-01
2033-10-03	south	9	0.90045583	0.91518545	0.8864964	0.9107169	0.8909918	0.90599513	0.8953324	GARW	2034-10-01
2033-10-04	south	9	0.89972836	0.9137542	0.88614887	0.9092991	0.89057153	0.9046056	0.89464295	GARW	2034-10-01
2033-10-05	south	9	0.8988174	0.91211385	0.8857733	0.90788174	0.8901171	0.9034044	0.8939724	GARW	2034-10-01
2033-10-06	south	9	0.897621	0.9103354	0.8854355	0.906624	0.88942695	0.9026692	0.89310867	GARW	2034-10-01
2033-10-07	south	9	0.896477	0.9087749	0.8845927	0.90512276	0.88863	0.9013383	0.89214134	GARW	2034-10-01
2033-10-08	south	9	0.89537287	0.9071588	0.88368124	0.90383095	0.8877721	0.8998699	0.8912697	GARW	2034-10-01
2033-10-09	south	9	0.89423156	0.9056094	0.88247067	0.9020048	0.8865074	0.89843893	0.8901998	GARW	2034-10-01
2033-10-10	south	9	0.8927361	0.903823	0.88162136	0.90016115	0.885439	0.8967711	0.8888932	GARW	2034-10-01
2033-10-11	south	9	0.89125276	0.9019303	0.8802364	0.8983101	0.8840314	0.8950825	0.8873499	GARW	2034-10-01
2033-10-12	south	9	0.88965666	0.9000598	0.87889165	0.8965945	0.882567	0.89332604	0.8857223	GARW	2034-10-01
2033-10-13	south	9	0.8879644	0.8981002	0.8777657	0.894791	0.88077605	0.8916129	0.8841395	GARW	2034-10-01
2033-10-14	south	9	0.88607574	0.89605534	0.876274	0.89292675	0.87927026	0.8897771	0.8826463	GARW	2034-10-01
2033-10-15	south	9	0.8843024	0.8940002	0.87443733	0.89111406	0.8777825	0.8878715	0.8809276	GARW	2034-10-01
2033-10-16	south	9	0.88253194	0.8918892	0.8728027	0.889031	0.8760341	0.88612854	0.87924516	GARW	2034-10-01
2033-10-17	south	9	0.880599	0.8897321	0.87099487	0.88700444	0.874374	0.884005	0.87745374	GARW	2034-10-01
2033-10-18	south	9	0.8784246	0.88763684	0.8692809	0.88481295	0.87264	0.88195896	0.87560916	GARW	2034-10-01
2033-10-19	south	9	0.8765142	0.8854213	0.8675419	0.8825727	0.8706886	0.8799015	0.8735927	GARW	2034-10-01
2033-10-20	south	9	0.8743757	0.8831283	0.865825	0.880371	0.86868536	0.8776216	0.8714996	GARW	2034-10-01
2033-10-21	south	9	0.87220025	0.8808588	0.8640697	0.87816113	0.8668656	0.8753889	0.86938363	GARW	2034-10-01
2033-10-22	south	9	0.8702024	0.878493	0.86218596	0.87592244	0.864969	0.87320125	0.86740553	GARW	2034-10-01
2033-10-23	south	9	0.8680486	0.8761357	0.8603208	0.8738214	0.8629148	0.8711413	0.865312	GARW	2034-10-01
2033-10-24	south	9	0.8660027	0.8737225	0.8584415	0.8715183	0.86095005	0.8688806	0.86334544	GARW	2034-10-01
2033-10-25	south	9	0.8638549	0.8713116	0.8563835	0.8691998	0.8590583	0.86669004	0.8612133	GARW	2034-10-01
2033-10-26	south	9	0.8616767	0.86913544	0.85445935	0.86691666	0.85709727	0.8644551	0.85904974	GARW	2034-10-01
2033-10-27	south	9	0.859462	0.8668412	0.85246086	0.8644729	0.85500026	0.86221385	0.85691833	GARW	2034-10-01
2033-10-28	south	9	0.8572299	0.86470073	0.8504928	0.86213374	0.8529401	0.85993546	0.8548174	GARW	2034-10-01
2033-10-29	south	9	0.85507965	0.8625165	0.84839505	0.8599983	0.8508174	0.8577729	0.8526377	GARW	2034-10-01
2033-10-30	south	9	0.85294056	0.8603256	0.8461738	0.8578615	0.8486907	0.8555221	0.85052526	GARW	2034-10-01
2033-10-31	south	9	0.8508254	0.858104	0.84415436	0.85573226	0.84653914	0.853281	0.8484494	GARW	2034-10-01
2033-11-01	south	9	0.8487884	0.85591835	0.8420143	0.8534843	0.8443822	0.8511198	0.8464452	GARW	2034-10-01
2033-11-02	south	9	0.84664786	0.85374594	0.8399859	0.85142344	0.842303	0.848995	0.844419	GARW	2034-10-01
2033-11-03	south	9	0.8446882	0.8516028	0.8379956	0.8494496	0.8402224	0.8469461	0.84240884	GARW	2034-10-01
2033-11-04	south	9	0.8427069	0.849648	0.836148	0.84744304	0.83820045	0.8449608	0.8404031	GARW	2034-10-01
2033-11-05	south	9	0.8407339	0.8475673	0.8340441	0.84546065	0.836126	0.8430698	0.83846796	GARW	2034-10-01
2033-11-06	south	9	0.8387401	0.84552807	0.8321284	0.84348226	0.8342252	0.8410874	0.8364955	GARW	2034-10-01
2033-11-07	south	9	0.8369436	0.84356433	0.8304001	0.8416055	0.8323586	0.83929646	0.8345951	GARW	2034-10-01
2033-11-08	south	9	0.83516693	0.8418196	0.8284091	0.83971137	0.83044726	0.8374812	0.8327323	GARW	2034-10-01
2033-11-09	south	9	0.8334323	0.8401319	0.82632047	0.837829	0.8287179	0.83574224	0.8308632	GARW	2034-10-01
2033-11-10	south	9	0.831813	0.83857274	0.82470506	0.836223	0.8268967	0.83411735	0.82911766	GARW	2034-10-01
2033-11-11	south	9	0.8301794	0.83707744	0.82310426	0.8346043	0.8252648	0.83260006	0.82746786	GARW	2034-10-01
2033-11-12	south	9	0.8286438	0.8356141	0.8214174	0.8332835	0.82343817	0.831182	0.8258892	GARW	2034-10-01
2033-11-13	south	9	0.8272265	0.83421177	0.81993335	0.8319162	0.8218217	0.82972884	0.82438195	GARW	2034-10-01
2033-11-14	south	9	0.82576466	0.83284235	0.81850284	0.83044153	0.8202879	0.82840556	0.8229426	GARW	2034-10-01
