date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2037-04-01	tropics	17	0.9115206	0.9493597	0.87492645	0.9387081	0.8863132	0.9261622	0.89893985	2037-04-01	tropics	17	0.9115206	0.9493597	0.87492645	0.9387081	0.8863132	0.9261622	0.89893985	2037-04-01	tropics	17	nan	nan	nan	nan	nan	nan	nan	2037-04-01	tropics	17	nan	nan	nan	nan	nan	nan	nan	GARW	2038-04-01
2037-04-02	tropics	17	0.9117674	0.9495469	0.87471	0.9385936	0.88652784	0.9261052	0.8991376	2037-04-02	tropics	17	0.9117674	0.9495469	0.87471	0.9385936	0.88652784	0.9261052	0.8991376	2037-04-02	tropics	17	0.09842801	0.09908292	0.09779425	0.09889867	0.09799163	0.09868148	0.098210305	2037-04-02	tropics	17	0.09842801	0.09908292	0.09779425	0.09889867	0.09799163	0.09868148	0.098210305	GARW	2038-04-01
2037-04-03	tropics	17	0.9118748	0.9493975	0.8745041	0.9386431	0.8866378	0.92611027	0.89932066	2037-04-03	tropics	17	0.9118748	0.9493975	0.8745041	0.9386431	0.8866378	0.92611027	0.89932066	2037-04-03	tropics	17	0.06724274	0.07678245	0.057903748	0.07410656	0.06082232	0.070940346	0.064040184	2037-04-03	tropics	17	0.06724274	0.07678245	0.057903748	0.07410656	0.06082232	0.070940346	0.064040184	GARW	2038-04-01
2037-04-04	tropics	17	0.91201496	0.9491689	0.8745705	0.9386299	0.88667864	0.92608327	0.8991114	2037-04-04	tropics	17	0.91201496	0.9491689	0.8745705	0.9386299	0.88667864	0.92608327	0.8991114	2037-04-04	tropics	17	0.055555344	0.067135856	0.043831784	0.06381766	0.047602773	0.059994727	0.051591277	2037-04-04	tropics	17	0.055555344	0.067135856	0.043831784	0.06381766	0.047602773	0.059994727	0.051591277	GARW	2038-04-01
2037-04-05	tropics	17	0.91191363	0.9489557	0.87476385	0.93862945	0.886922	0.9260993	0.8990813	2037-04-05	tropics	17	0.91191363	0.9489557	0.87476385	0.93862945	0.886922	0.9260993	0.8990813	2037-04-05	tropics	17	0.06227362	0.06833702	0.055960417	0.06667001	0.058055855	0.0646148	0.060124636	2037-04-05	tropics	17	0.06227362	0.06833702	0.055960417	0.06667001	0.058055855	0.0646148	0.060124636	GARW	2038-04-01
2037-04-06	tropics	17	0.91183174	0.94875747	0.8749472	0.93855774	0.8870426	0.9262084	0.89918184	2037-04-06	tropics	17	0.91183174	0.94875747	0.8749472	0.93855774	0.8870426	0.9262084	0.89918184	2037-04-06	tropics	17	0.052382648	0.05783079	0.046850514	0.056311	0.048665334	0.054497182	0.0504573	2037-04-06	tropics	17	0.052382648	0.05783079	0.046850514	0.056311	0.048665334	0.054497182	0.0504573	GARW	2038-04-01
2037-04-07	tropics	17	0.9119121	0.94857764	0.8751209	0.938384	0.88715607	0.92602056	0.8990334	2037-04-07	tropics	17	0.9119121	0.94857764	0.8751209	0.938384	0.88715607	0.92602056	0.8990334	2037-04-07	tropics	17	-0.042631507	-0.032226283	-0.053291142	-0.035093784	-0.049769737	-0.038595796	-0.0462538	2037-04-07	tropics	17	-0.042631507	-0.032226283	-0.053291142	-0.035093784	-0.049769737	-0.038595796	-0.0462538	GARW	2038-04-01
2037-04-08	tropics	17	0.9119073	0.9484287	0.8752851	0.9383226	0.8872586	0.9258942	0.898843	2037-04-08	tropics	17	0.9119073	0.9484287	0.8752851	0.9383226	0.8872586	0.9258942	0.898843	2037-04-08	tropics	17	-0.07144892	-0.058158595	-0.08532102	-0.061773874	-0.08070097	-0.06620744	-0.07612097	2037-04-08	tropics	17	-0.07144892	-0.058158595	-0.08532102	-0.061773874	-0.08070097	-0.06620744	-0.07612097	GARW	2038-04-01
2037-04-09	tropics	17	0.9118258	0.94845974	0.875428	0.9382884	0.88724697	0.925725	0.89886796	2037-04-09	tropics	17	0.9118258	0.94845974	0.875428	0.9382884	0.88724697	0.925725	0.89886796	2037-04-09	tropics	17	-0.0109241605	-0.0008141816	-0.021530723	-0.0035713436	-0.018007135	-0.006995827	-0.014648378	2037-04-09	tropics	17	-0.0109241605	-0.0008141816	-0.021530723	-0.0035713436	-0.018007135	-0.006995827	-0.014648378	GARW	2038-04-01
2037-04-10	tropics	17	0.91178155	0.9484988	0.87546116	0.93818897	0.88747364	0.9256413	0.89896	2037-04-10	tropics	17	0.91178155	0.9484988	0.87546116	0.93818897	0.88747364	0.9256413	0.89896	2037-04-10	tropics	17	-0.0059077144	0.0029758662	-0.0150259435	0.00052680925	-0.012010479	-0.0025229454	-0.00912416	2037-04-10	tropics	17	-0.0059077144	0.0029758662	-0.0150259435	0.00052680925	-0.012010479	-0.0025229454	-0.00912416	GARW	2038-04-01
