date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model	analysis_date
2051-10-07	tropics	14	0.9404634	0.9606707	0.9185863	0.9538811	0.9249679	0.9485448	0.931308	GARW	2052-10-01
2051-10-08	tropics	14	0.9415134	0.9614756	0.91967714	0.95449966	0.9259428	0.94877243	0.9329908	GARW	2052-10-01
2051-10-09	tropics	14	0.9420342	0.9619555	0.92046106	0.9555375	0.9277692	0.9498353	0.9334738	GARW	2052-10-01
2051-10-10	tropics	14	0.9428685	0.963651	0.9218816	0.9566273	0.92891103	0.9506805	0.93451995	GARW	2052-10-01
2051-10-11	tropics	14	0.94367015	0.96492296	0.922601	0.9578995	0.92966896	0.9515871	0.9351742	GARW	2052-10-01
2051-10-12	tropics	14	0.9444729	0.9671301	0.9235911	0.9594918	0.9301985	0.9528934	0.9356457	GARW	2052-10-01
2051-10-13	tropics	14	0.9450387	0.9694517	0.92403656	0.96094596	0.9309764	0.9541189	0.9364803	GARW	2052-10-01
2051-10-14	tropics	14	0.94572866	0.9706799	0.9241525	0.9617163	0.93123674	0.9550663	0.9372698	GARW	2052-10-01
2051-10-15	tropics	14	0.9467749	0.97224873	0.92429507	0.96298087	0.9316956	0.95565724	0.9376872	GARW	2052-10-01
2051-10-16	tropics	14	0.9473655	0.97406113	0.9242147	0.96408635	0.93188053	0.9567181	0.9379077	GARW	2052-10-01
2051-10-17	tropics	14	0.9482064	0.97538	0.92479175	0.96508867	0.93237853	0.9577162	0.9385311	GARW	2052-10-01
2051-10-18	tropics	14	0.9489602	0.97611386	0.9246755	0.9659895	0.9325006	0.95836926	0.9391099	GARW	2052-10-01
2051-10-19	tropics	14	0.9495026	0.97682333	0.9247135	0.96700984	0.9327381	0.95925736	0.9397304	GARW	2052-10-01
2051-10-20	tropics	14	0.95003676	0.97757965	0.9247441	0.96852005	0.9330665	0.959623	0.94033754	GARW	2052-10-01
2051-10-21	tropics	14	0.9506075	0.9782009	0.92447543	0.9693833	0.9330881	0.9599856	0.9410309	GARW	2052-10-01
2051-10-22	tropics	14	0.9510515	0.9793664	0.9244485	0.96992403	0.9335349	0.96040314	0.94150376	GARW	2052-10-01
2051-10-23	tropics	14	0.9515247	0.980548	0.9245	0.9705728	0.9337506	0.9610009	0.9419805	GARW	2052-10-01
2051-10-24	tropics	14	0.9518335	0.98130876	0.92508036	0.97143084	0.9343632	0.9616314	0.9424633	GARW	2052-10-01
2051-10-25	tropics	14	0.95251584	0.98217434	0.9254702	0.97210836	0.9350307	0.9622309	0.94313383	GARW	2052-10-01
2051-10-26	tropics	14	0.952767	0.9825658	0.92590797	0.9729829	0.93540365	0.9627065	0.94391423	GARW	2052-10-01
2051-10-27	tropics	14	0.9533256	0.9831202	0.9264355	0.97306186	0.935837	0.9630409	0.94418263	GARW	2052-10-01
2051-10-28	tropics	14	0.95392096	0.98336875	0.9270015	0.97315335	0.9360708	0.9635532	0.9445501	GARW	2052-10-01
2051-10-29	tropics	14	0.95430005	0.98354954	0.9272947	0.9735435	0.9364151	0.9639728	0.9450035	GARW	2052-10-01
2051-10-30	tropics	14	0.9547464	0.98388326	0.92743134	0.97375566	0.93682176	0.96418804	0.94532347	GARW	2052-10-01
