date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2053-04-06	north	23	0.9906058	0.99448526	0.98182684	0.9934794	0.9863116	0.9921741	0.98858804								MLR	2054-04-01
2053-04-07	north	23	0.9903521	0.9943245	0.9813885	0.99329376	0.9859625	0.9919583	0.98829335								MLR	2054-04-01
2053-04-08	north	23	0.9900917	0.9941592	0.9809396	0.993103	0.98560476	0.99173653	0.98799115								MLR	2054-04-01
2053-04-09	north	23	0.9898243	0.9939891	0.98048025	0.99290687	0.9852379	0.99150884	0.98768127								MLR	2054-04-01
2053-04-10	north	23	0.98954976	0.99381405	0.9800099	0.99270517	0.98486197	0.99127483	0.98736346								MLR	2054-04-01
2053-04-11	north	23	0.9892716	0.99363416	0.97952825	0.99249774	0.9844766	0.9910345	0.9870376								MLR	2054-04-01
2053-04-12	north	23	0.9889871	0.99345374	0.9790351	0.9922845	0.9840815	0.9907875	0.9867034								MLR	2054-04-01
2053-04-13	north	23	0.988695	0.993265	0.9785304	0.9920652	0.9836767	0.9905334	0.9863607								MLR	2054-04-01
2053-04-14	north	23	0.98839545	0.9930701	0.97801375	0.99183947	0.9832616	0.99027175	0.9860098								MLR	2054-04-01
2053-04-15	north	23	0.988088	0.9928697	0.977485	0.99160737	0.98283607	0.990003	0.98564976								MLR	2054-04-01
2053-04-16	north	23	0.9877717	0.9926635	0.9769439	0.99136865	0.98240006	0.989729	0.98527694								MLR	2054-04-01
2053-04-17	north	23	0.98744607	0.9924514	0.97639	0.9911233	0.9819531	0.9894457	0.98489577								MLR	2054-04-01
2053-04-18	north	23	0.9871118	0.9922332	0.9758232	0.99087095	0.981495	0.98915493	0.9845049								MLR	2054-04-01
2053-04-19	north	23	0.9867687	0.9920093	0.97524315	0.99061155	0.9810256	0.988856	0.98410404								MLR	2054-04-01
2053-04-20	north	23	0.9864189	0.9917789	0.9746494	0.99034756	0.9805444	0.98854905	0.98369306								MLR	2054-04-01
2053-04-21	north	23	0.98606145	0.991542	0.97404194	0.9900795	0.9800514	0.9882337	0.98327154								MLR	2054-04-01
2053-04-22	north	23	0.98569477	0.9912983	0.9734204	0.98980397	0.97954595	0.9879098	0.9828394								MLR	2054-04-01
2053-04-23	north	23	0.98531854	0.9910477	0.9727842	0.98951334	0.97902817	0.98757696	0.98239696								MLR	2054-04-01
2053-04-24	north	23	0.9849326	0.99078983	0.9721333	0.9892138	0.97849846	0.9872347	0.9819419								MLR	2054-04-01
2053-04-25	north	23	0.98453504	0.99052465	0.9714672	0.98890585	0.9779561	0.98688257	0.98147786								MLR	2054-04-01
2053-04-26	north	23	0.9841269	0.9902519	0.97078574	0.9885891	0.9774004	0.98652065	0.9810108								MLR	2054-04-01
2053-04-27	north	23	0.98370814	0.9899714	0.9700885	0.9882682	0.97683114	0.98614895	0.98052096								MLR	2054-04-01
2053-04-28	north	23	0.98327863	0.9896829	0.96937513	0.9879417	0.9762478	0.98576665	0.9800159								MLR	2054-04-01
2053-04-29	north	23	0.98283786	0.9893862	0.9686453	0.98760563	0.97565013	0.98537374	0.9794913								MLR	2054-04-01
2053-04-30	north	23	0.98238575	0.9890811	0.96789867	0.98726016	0.97503775	0.9849701	0.9789532								MLR	2054-04-01
2053-05-01	north	23	0.9819219	0.98876727	0.96713483	0.98690534	0.9744105	0.98455554	0.97840124								MLR	2054-04-01
2053-05-02	north	23	0.981442	0.9884445	0.9663534	0.98654073	0.9737679	0.9841317	0.97783524								MLR	2054-04-01
2053-05-03	north	23	0.9809465	0.98811257	0.9655541	0.9861661	0.9731095	0.98369986	0.9772547								MLR	2054-04-01
2053-05-04	north	23	0.98043805	0.98777115	0.9647366	0.98578125	0.9724351	0.9832535	0.9766599								MLR	2054-04-01
2053-05-05	north	23	0.97991633	0.98742014	0.9639003	0.98538584	0.9717481	0.9828008	0.97605246								MLR	2054-04-01
2053-05-06	north	23	0.979381	0.9870592	0.963045	0.98497957	0.9710579	0.98233426	0.9754311								MLR	2054-04-01
2053-05-07	north	23	0.97883177	0.9866879	0.9621702	0.98456204	0.97035116	0.9818553	0.97480106								MLR	2054-04-01
2053-05-08	north	23	0.97826815	0.9863063	0.96127546	0.9841333	0.96962774	0.9813636	0.9741627								MLR	2054-04-01
2053-05-09	north	23	0.97768986	0.98591375	0.96036047	0.98369277	0.96888727	0.9808588	0.9735013								MLR	2054-04-01
2053-05-10	north	23	0.97709656	0.98551023	0.9594248	0.98324025	0.9681293	0.98033845	0.9728217								MLR	2054-04-01
2053-05-11	north	23	0.9764879	0.98509526	0.95846796	0.9827708	0.9673536	0.9798038	0.97212994								MLR	2054-04-01
2053-05-12	north	23	0.97586346	0.9846685	0.95748955	0.98228776	0.9665595	0.97925496	0.9714113								MLR	2054-04-01
2053-05-13	north	23	0.9752212	0.9842298	0.95648926	0.9817915	0.9657469	0.97869146	0.97067475								MLR	2054-04-01
2053-05-14	north	23	0.97455585	0.9837787	0.9554664	0.98128164	0.9649087	0.978113	0.9699198								MLR	2054-04-01
2053-05-15	north	23	0.97387314	0.9833149	0.95442057	0.9807578	0.96403533	0.97753066	0.969146								MLR	2054-04-01
2053-05-16	north	23	0.97317255	0.98283815	0.9533515	0.9802195	0.963141	0.9769325	0.9683531								MLR	2054-04-01
2053-05-17	north	23	0.9724537	0.982342	0.95225865	0.9796664	0.9622253	0.97631013	0.967543								MLR	2054-04-01
2053-05-18	north	23	0.97171617	0.981828	0.9511415	0.9791054	0.96128786	0.97566843	0.9667162								MLR	2054-04-01
2053-05-19	north	23	0.9709724	0.98130363	0.9499995	0.97852916	0.960328	0.9750097	0.96586895								MLR	2054-04-01
2053-05-20	north	23	0.97021306	0.9807645	0.94883215	0.9779374	0.95934546	0.97434103	0.965001								MLR	2054-04-01
2053-05-21	north	23	0.9694345	0.9802099	0.9476392	0.97732973	0.9583396	0.97366095	0.9641118								MLR	2054-04-01
2053-05-22	north	23	0.9686363	0.9796399	0.94641995	0.9767057	0.9573099	0.9729633	0.9632007								MLR	2054-04-01
2053-05-23	north	23	0.9678179	0.97905374	0.94517404	0.9760648	0.9562559	0.972237	0.9622676								MLR	2054-04-01
2053-05-24	north	23	0.9669789	0.978451	0.94390076	0.9754068	0.9551771	0.9714749	0.9613117								MLR	2054-04-01
2053-05-25	north	23	0.966118	0.97783136	0.9425997	0.97473115	0.95407313	0.97069234	0.9603325								MLR	2054-04-01
2053-05-26	north	23	0.9652195	0.9771944	0.9412705	0.97403854	0.9529432	0.96988916	0.9593297								MLR	2054-04-01
2053-05-27	north	23	0.9642981	0.9765395	0.93991226	0.97332776	0.9517841	0.96907806	0.95830256								MLR	2054-04-01
2053-05-28	north	23	0.9633533	0.97586256	0.9385248	0.9725981	0.9505815	0.9682468	0.95725065								MLR	2054-04-01
2053-05-29	north	23	0.9623749	0.9751626	0.93710744	0.9718491	0.94935054	0.96739954	0.95617354								MLR	2054-04-01
2053-05-30	north	23	0.9613818	0.974443	0.9356596	0.9710801	0.9480906	0.96653235	0.95507044								MLR	2054-04-01
2053-05-31	north	23	0.9603722	0.9737031	0.9341808	0.9702908	0.9468011	0.96564305	0.95394176								MLR	2054-04-01
2053-06-01	north	23	0.95932794	0.9729423	0.9326704	0.96948063	0.94548136	0.96473086	0.95279145								MLR	2054-04-01
2053-06-02	north	23	0.9582572	0.9721601	0.93112797	0.9686491	0.94413084	0.9637946	0.9516111								MLR	2054-04-01
2053-06-03	north	23	0.9571713	0.9713559	0.9295528	0.9677956	0.94274884	0.9628308	0.950383								MLR	2054-04-01
2053-06-04	north	23	0.95606303	0.97052926	0.9279445	0.9669197	0.94133484	0.96183765	0.9491255								MLR	2054-04-01
2053-06-05	north	23	0.95492744	0.9696794	0.9263023	0.9660209	0.9398881	0.96081895	0.9478378								MLR	2054-04-01
2053-06-06	north	23	0.9537711	0.9688064	0.9246257	0.96509844	0.9384081	0.95977134	0.9465194								MLR	2054-04-01
2053-06-07	north	23	0.9525926	0.96790916	0.9229142	0.9641519	0.93689394	0.95867896	0.94516957								MLR	2054-04-01
2053-06-08	north	23	0.95138454	0.96698713	0.92116714	0.96318066	0.93534535	0.9575584	0.9437929								MLR	2054-04-01
2053-06-09	north	23	0.9501341	0.96603954	0.9193838	0.9621841	0.9337613	0.95640874	0.94241834								MLR	2054-04-01
2053-06-10	north	23	0.9488531	0.9650656	0.9175639	0.96116173	0.93214124	0.95523477	0.9410122								MLR	2054-04-01
2053-06-11	north	23	0.94754106	0.9640648	0.91570663	0.96011287	0.9304846	0.9540418	0.939574								MLR	2054-04-01
2053-06-12	north	23	0.9461973	0.9630364	0.9138114	0.9590369	0.9287905	0.9528185	0.938103								MLR	2054-04-01
2053-06-13	north	23	0.9448327	0.9619797	0.9118777	0.95793307	0.9270584	0.9515643	0.93657434								MLR	2054-04-01
2053-06-14	north	23	0.9434469	0.960894	0.90990496	0.9568009	0.92528754	0.9502786	0.93499905								MLR	2054-04-01
2053-06-15	north	23	0.9420205	0.95977867	0.9078924	0.9556383	0.9234815	0.94896054	0.9334								MLR	2054-04-01
2053-06-16	north	23	0.94054663	0.9586328	0.9058396	0.95444393	0.9216543	0.9476094	0.93178004								MLR	2054-04-01
2053-06-17	north	23	0.93903774	0.95747304	0.9037459	0.95321125	0.91978717	0.94622463	0.9301301								MLR	2054-04-01
2053-06-18	north	23	0.93749595	0.95629627	0.9016106	0.9519702	0.9178795	0.9448053	0.9284443								MLR	2054-04-01
2053-06-19	north	23	0.9359099	0.9550885	0.8994334	0.950688	0.9159363	0.94335085	0.9267283								MLR	2054-04-01
2053-06-20	north	23	0.9342937	0.95384884	0.89721334	0.94937336	0.9139519	0.94185305	0.92498887								MLR	2054-04-01
2053-06-21	north	23	0.9326675	0.95257676	0.8949501	0.9480234	0.9119251	0.94031495	0.92322487								MLR	2054-04-01
2053-06-22	north	23	0.9309751	0.9512714	0.892643	0.9466363	0.9098713	0.93874145	0.92139244								MLR	2054-04-01
2053-06-23	north	23	0.9292308	0.94993204	0.89029133	0.94519544	0.90778434	0.93713486	0.9195029								MLR	2054-04-01
2053-06-24	north	23	0.92744577	0.9485578	0.8878947	0.9437096	0.90565413	0.9354633	0.9175725								MLR	2054-04-01
2053-06-25	north	23	0.9256195	0.9471479	0.88545245	0.9421858	0.90347993	0.9337591	0.91559994								MLR	2054-04-01
2053-06-26	north	23	0.92374647	0.94570166	0.88296396	0.9406484	0.9012611	0.9320163	0.91360253								MLR	2054-04-01
2053-06-27	north	23	0.92185533	0.94422084	0.88039446	0.93907076	0.89899695	0.9302312	0.911535								MLR	2054-04-01
2053-06-28	north	23	0.91992563	0.94271266	0.87777364	0.93741477	0.89668685	0.9284028	0.90939546								MLR	2054-04-01
2053-06-29	north	23	0.91797155	0.9411662	0.8751035	0.935699	0.89433	0.9265303	0.90723085								MLR	2054-04-01
2053-06-30	north	23	0.9160033	0.9395623	0.87238353	0.933957	0.8919261	0.92461276	0.90503								MLR	2054-04-01
2053-07-01	north	23	0.91396177	0.9379162	0.8696131	0.93218786	0.8894741	0.922671	0.9027878								MLR	2054-04-01
2053-07-02	north	23	0.911816	0.93627125	0.8667917	0.9303748	0.8869735	0.92070675	0.9004803								MLR	2054-04-01
2053-07-03	north	23	0.9095609	0.93458676	0.86391884	0.928517	0.8844238	0.9186681	0.8981218								MLR	2054-04-01
2053-07-04	north	23	0.90725255	0.932838	0.8609939	0.9266123	0.8818242	0.9165799	0.8957138								MLR	2054-04-01
2053-07-05	north	23	0.90490544	0.931046	0.85801655	0.92465615	0.8791741	0.91447496	0.8931873								MLR	2054-04-01
2053-07-06	north	23	0.9025445	0.92920977	0.8549861	0.922652	0.8764778	0.9123431	0.8905954								MLR	2054-04-01
2053-07-07	north	23	0.90014493	0.9273285	0.85190207	0.9205993	0.87373173	0.9101504	0.88798046								MLR	2054-04-01
2053-07-08	north	23	0.8977078	0.92540115	0.8487641	0.9184969	0.8709337	0.9079083	0.885344								MLR	2054-04-01
2053-07-09	north	23	0.89524007	0.92342705	0.84557164	0.91634387	0.868083	0.9055706	0.88268816								MLR	2054-04-01
2053-07-10	north	23	0.89271986	0.9214051	0.8423244	0.9141393	0.865179	0.903191	0.87997925								MLR	2054-04-01
2053-07-11	north	23	0.8901465	0.9193343	0.8390218	0.91188216	0.8621198	0.9007579	0.877232								MLR	2054-04-01
2053-07-12	north	23	0.8875192	0.917214	0.8356635	0.90956914	0.8589793	0.89827055	0.87443167								MLR	2054-04-01
2053-07-13	north	23	0.88483727	0.915043	0.8322491	0.90719914	0.8557792	0.89570785	0.8715767								MLR	2054-04-01
2053-07-14	north	23	0.8820997	0.91282046	0.8287784	0.9047737	0.8526133	0.8931164	0.86866665								MLR	2054-04-01
2053-07-15	north	23	0.8792969	0.9105455	0.8252509	0.9022855	0.8494358	0.8905439	0.8657008								MLR	2054-04-01
2053-07-16	north	23	0.87641776	0.9082172	0.8216664	0.89968294	0.8462021	0.88785547	0.8626785								MLR	2054-04-01
2053-07-17	north	23	0.8734575	0.9058345	0.8180245	0.89701885	0.84291184	0.8850581	0.85959935								MLR	2054-04-01
2053-07-18	north	23	0.8704263	0.9033965	0.8143251	0.8942923	0.83956456	0.88220036	0.8564625								MLR	2054-04-01
2053-07-19	north	23	0.8673334	0.9009024	0.8105679	0.89150226	0.8360273	0.87928134	0.8532676								MLR	2054-04-01
2053-07-20	north	23	0.86421907	0.898351	0.8067527	0.88864785	0.83243847	0.8763	0.850014								MLR	2054-04-01
2053-07-21	north	23	0.8610611	0.8957416	0.8028793	0.8857279	0.8287872	0.8732556	0.84670126								MLR	2054-04-01
2053-07-22	north	23	0.857784	0.8930732	0.79894763	0.8827408	0.825073	0.8701674	0.84332883								MLR	2054-04-01
2053-07-23	north	23	0.8544358	0.8903448	0.7949576	0.8796839	0.82131493	0.8670703	0.8398962								MLR	2054-04-01
