date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model
2038-10-17	tropics	0	0.97337806	0.99882686	0.4196512	0.99685264	0.7965695	0.9908054	0.92024225								MLR
2038-10-18	tropics	0	0.9729599	0.9987962	0.41924635	0.9967814	0.7949892	0.99065036	0.9197604								MLR
2038-10-19	tropics	0	0.97260535	0.99876606	0.4188002	0.99670833	0.7933999	0.9904926	0.9192758								MLR
2038-10-20	tropics	0	0.9723556	0.9987414	0.41832644	0.9966332	0.7918014	0.9903241	0.9187909								MLR
2038-10-21	tropics	0	0.9720865	0.998712	0.4178531	0.9965549	0.7901939	0.9901625	0.9181939								MLR
2038-10-22	tropics	0	0.9717691	0.9986822	0.41738027	0.99647474	0.7885772	0.9899826	0.9175227								MLR
2038-10-23	tropics	0	0.97153497	0.9986526	0.41690797	0.99641603	0.7869514	0.9898033	0.91684616								MLR
2038-10-24	tropics	0	0.9713262	0.9986222	0.4164361	0.99633723	0.7853425	0.9896203	0.9161717								MLR
2038-10-25	tropics	0	0.9710736	0.9985908	0.4159648	0.99624217	0.7838743	0.9894204	0.9158007								MLR
2038-10-26	tropics	0	0.9708103	0.99855864	0.415494	0.9961775	0.7823976	0.98921275	0.9149064								MLR
2038-10-27	tropics	0	0.9705447	0.9985257	0.41502368	0.9961145	0.78091264	0.9889968	0.9136345								MLR
2038-10-28	tropics	0	0.97015476	0.99849176	0.41455394	0.9960505	0.7794193	0.9888106	0.9123453								MLR
2038-10-29	tropics	0	0.9697175	0.9984569	0.41408467	0.99598527	0.778351	0.9886438	0.9111478								MLR
2038-10-30	tropics	0	0.96927404	0.99842113	0.41361597	0.99591905	0.77836895	0.98848134	0.9104217								MLR
2038-10-31	tropics	0	0.9688242	0.99838436	0.4131478	0.9958517	0.77838594	0.9883087	0.90967935								MLR
2038-11-01	tropics	0	0.96836805	0.99834657	0.41268018	0.9957668	0.77840185	0.988119	0.9088497								MLR
2038-11-02	tropics	0	0.96780807	0.9983077	0.41221315	0.99567837	0.7780061	0.98793596	0.9078059								MLR
2038-11-03	tropics	0	0.96719086	0.9982678	0.41174662	0.9955881	0.77646977	0.9878159	0.9067509								MLR
2038-11-04	tropics	0	0.96660334	0.9982164	0.41128066	0.9955117	0.77492595	0.9876206	0.9058926								MLR
2038-11-05	tropics	0	0.96622694	0.9981688	0.4108153	0.9954398	0.7733745	0.98747003	0.9050384								MLR
2038-11-06	tropics	0	0.96584576	0.9981199	0.4103505	0.99536675	0.7718156	0.98734784	0.90417695								MLR
2038-11-07	tropics	0	0.96546006	0.99806964	0.40988627	0.99529254	0.7702491	0.9870579	0.9033082								MLR
2038-11-08	tropics	0	0.9648633	0.99801797	0.40942264	0.9952198	0.768675	0.9867918	0.9024321								MLR
2038-11-09	tropics	0	0.96419454	0.9979597	0.4089596	0.9951469	0.7661356	0.98658746	0.90154856								MLR
2038-11-10	tropics	0	0.9635809	0.99789655	0.40849715	0.9950728	0.7635446	0.98641175	0.90065753								MLR
2038-11-11	tropics	0	0.9629441	0.9978314	0.4080353	0.99499744	0.7609337	0.98623276	0.8999193								MLR
2038-11-12	tropics	0	0.96241826	0.997764	0.40757406	0.9949211	0.75830275	0.986024	0.89865553								MLR
2038-11-13	tropics	0	0.9619495	0.9976944	0.40711346	0.99484354	0.75565195	0.98579395	0.89732885								MLR
2038-11-14	tropics	0	0.96160996	0.9976231	0.40665343	0.9947648	0.75298125	0.98547614	0.895986								MLR
2038-11-15	tropics	0	0.9611573	0.99754936	0.40619406	0.9946848	0.7502908	0.9851354	0.8953309								MLR
2038-11-16	tropics	0	0.9606617	0.9974731	0.4057353	0.9946037	0.7475806	0.98484725	0.8948699								MLR
2038-11-17	tropics	0	0.9602206	0.9973944	0.4052772	0.9945213	0.7448508	0.9845674	0.89413524								MLR
