variant	date	location	median_R	R_lower_95	R_upper_95	R_lower_80	R_upper_80	R_lower_50	R_upper_50	model	analysis_date
29	2045-05-07	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-08	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-09	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-10	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-11	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-12	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-13	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-14	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-15	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-16	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-17	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-18	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-19	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-20	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-21	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-22	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-23	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-24	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-25	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-26	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-27	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-28	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-29	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-30	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-05-31	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-06-01	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-06-02	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-06-03	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-06-04	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-06-05	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-06-06	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-06-07	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-06-08	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-06-09	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
29	2045-06-10	south	114.01142	0.7276011750102046	12343636.674999954	1.0	569219.5500000009	1.0	15840.46435546875	MLR	2046-04-01
