variant	date	location	median_R	R_lower_95	R_upper_95	R_lower_80	R_upper_80	R_lower_50	R_upper_50	model	analysis_date
13	2042-04-06	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-07	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-08	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-09	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-10	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-11	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-12	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-13	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-14	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-15	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-16	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
13	2042-04-17	tropics	95430.7	1.4370052872436645e-05	1654822022.4000008	3.750284995476249e-05	278398611.2	1.0	2664672.625	MLR	2043-04-01
