country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
north	6	2041-04-01	2041-13	13.0	2041-04-01	0.08843537414965986	13.018588334323557	0.11449224077171763	1436	126.99319727891157	164.41085774818652					
north	6	2041-04-08	2041-14	12.0	2041-04-08	0.07692307692307693	11.910493323188012	0.07687039473085945	1266	97.38461538461539	97.31791972926807		0.05414915	FGA	2042-04-01	0.1290613475748613
north	6	2041-04-15	2041-15	3.0	2041-04-15	0.03125	3.172728017748552	0.04803231419686538	1069	33.40625	51.34654387644909		-0.020976543	FGA	2042-04-01	0.07036424460493404
north	6	2041-04-22	2041-16	7.0	2041-04-22	0.09090909090909091	6.842363068020799	0.02943513511067666	873	79.36363636363636	25.696872951620723		-0.029047728	FGA	2042-04-01	0.06984203191652885
north	6	2041-04-29	2041-17	5.0	2041-04-29	0.06578947368421052	5.031952934719015	0.020779757499187427	695	45.723684210526315	14.441931461935262		-0.03583789	FGA	2042-04-01	0.046481171027470666
north	6	2041-05-06	2041-18	1.0	2041-05-06	0.023255813953488372	1.091734877152997	0.020660194567632264	535	12.441860465116278	11.053204093683261		-0.042774677	FGA	2042-04-01	0.004572457984306409
north	6	2041-05-13	2041-19	3.0	2041-05-13	0.0625	2.869979205555693	0.02716402013054388	400	25.0	10.865608052217551		-0.049170494	FGA	2042-04-01	0.04672509789852432
north	6	2041-05-20	2041-20	1.0	2041-05-20	0.02702702702702703	1.0980290999678868	0.03837369820978867	296	8.0	11.358614670097447		-0.053913713	FGA	2042-04-01	0.06025283890720863
north	6	2041-05-27	2041-21	0.0	2041-05-27	0.0	-0.06128364334262413	0.05266252894487745	216	0.0	11.375106252093529			FGA	2042-04-01	0.05728288397640588
north	6	2041-06-03	2041-22	0.0	2041-06-03	0.0	0.06163922126903314	0.06880882615268666	156	0.0	10.734176879819119			FGA	2042-04-01	0.05069612377783419
north	6	2041-06-10	2041-23	0.0	2041-06-10	0.0	-0.07424581172129918	0.08600158335287442	112	0.0	9.632177335521934			FGA	2042-04-01	0.04347493105647189
north	6	2041-06-17	2041-24	0.0	2041-06-17	0.0	0.05722494252977567	0.10362312268325172	80	0.0	8.289849814660137			FGA	2042-04-01	0.03595933972283949
north	6	2041-06-24	2041-25	1.0	2041-06-24	0.08333333333333333	0.939245089316239	0.12156915567496519	56	4.666666666666666	6.807872717798051		-0.054309547	FGA	2042-04-01	0.026173524511985277
north	6	2041-07-01	2041-26	1.0	2041-07-01	0.3333333333333333	1.1674049975391902	0.13967230618175783	39	13.0	5.447219941088555		-0.050075352	FGA	2042-04-01	0.018221877836476406
north	6	2041-07-08	2041-27	1.0	2041-07-08	0.5	0.7400794531582351	0.15469775632252483	29	14.5	4.48623493335322		-0.044569075	FGA	2042-04-01	0.016841707727498642
north	6	2041-07-15	2041-28	0.0	2041-07-15	0.0	0.15555930244143695	0.1600088327424174	22	0.0	3.5201943203331827			FGA	2042-04-01	0.0037135499511253556
north	6	2041-08-12	2041-32	0.0	2041-08-12	0.0	-0.07314204236911191	0.10058886652411324	10	0.0	1.0058886652411323			FGA	2042-04-01	0.029652094210991627
north	6	2041-08-19	2041-33	0.0	2041-08-19	0.0	0.040821409244602716	0.08950541798466592	10	0.0	0.8950541798466592			FGA	2042-04-01	0.0054134927452328795
north	6	2041-08-26	2041-34	0.0	2041-08-26	0.0	0.041479892781070754	0.08342505223568457	9	0.0	0.7508254701211611			FGA	2042-04-01	0.016963593924459057
