country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
tropics	4	2046-10-01	2046-39	0.0	2046-10-01	0.0	-0.00017240546906085002	0.0	7	0.0	0.0					
tropics	4	2046-10-22	2046-42	0.0	2046-10-22	0.0	0.012942190462921888	0.0057455391111430046	10	0.0	0.05745539111143005			FGA	2047-10-01	
tropics	4	2046-10-29	2046-43	2.0	2046-10-29	1.0	1.9181921238129982	0.9630782613309337	11	11.0	10.59386087464027		0.13724345	FGA	2047-10-01	0.6080452799427236
tropics	4	2046-11-05	2046-44	0.0	2046-11-05	0.0	0.21714263606352097	0.06364904768900968	12	0.0	0.7637885722681161			FGA	2047-10-01	0.442869604936037
tropics	4	2046-11-12	2046-45	0.0	2046-11-12	0.0	-0.2972976717102994	0.0	13	0.0	0.0			FGA	2047-10-01	
tropics	4	2046-11-19	2046-46	0.0	2046-11-19	0.0	0.2214319645134004	0.06282228357983664	14	0.0	0.879511970117713			FGA	2047-10-01	
tropics	4	2046-11-26	2046-47	1.0	2046-11-26	0.5	0.9133343024491565	0.179516540320329	15	7.5	2.692748104804935		0.0034325123	FGA	2047-10-01	0.1564175415845916
tropics	4	2046-12-03	2046-48	0.0	2046-12-03	0.0	0.0072349682031297435	0.24858493686585206	16	0.0	3.977358989853633			FGA	2047-10-01	0.05228401658757308
tropics	4	2046-12-10	2046-49	0.0	2046-12-10	0.0	0.02577772655402688	0.2634740059245145	18	0.0	4.742532106641261			FGA	2047-10-01	0.021694832505560195
tropics	4	2046-12-17	2046-50	5.0	2046-12-17	0.7142857142857143	4.958250000747256	0.23827022073427723	19	13.571428571428571	4.527134193951268		0.0034460425	FGA	2047-10-01	0.010086339893149008
tropics	4	2046-12-24	2046-51	0.0	2046-12-24	0.0	0.044263297633853727	0.2664491364663349	20	0.0	5.328982729326698			FGA	2047-10-01	0.01984573775578786
tropics	4	2046-12-31	2046-52	3.0	2046-12-31	0.6	2.964758880815801	0.47784246575434247	22	13.2	10.512534246595534		0.0034507513	FGA	2047-10-01	0.09360752306730566
tropics	4	2047-01-07	2047-01	1.0	2047-01-07	0.25	1.0177906769153566	0.3781792138156983	23	5.75	8.69812191776106		0.0034533143	FGA	2047-10-01	0.030519193180122858
tropics	4	2047-01-14	2047-02	2.0	2047-01-14	0.6666666666666666	2.0008577401355705	0.5720063736156076	25	16.666666666666664	14.30015934039019		0.0034604073	FGA	2047-10-01	0.06756295685045725
tropics	4	2047-01-28	2047-04	3.0	2047-01-28	0.75	2.94545683276384	0.7548595157290483	27	20.25	20.381206924684303		0.0034735799	FGA	2047-10-01	0.02183660347051643
tropics	4	2047-02-04	2047-05	0.0	2047-02-04	0.0	0.15870852026614848	0.10141415035205215	29	0.0	2.9410103602095123			FGA	2047-10-01	0.28002215673248465
