country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
north	2	2028-09-25	2028-39	0.0	2028-09-25	0.0	0.005750128108667714	0.0								
north	2	2028-10-02	2028-40	0.0	2028-10-02	0.0	0.002249253786110594	0.0	35.0	0.0	0.0			GARW	2029-10-01	
north	2	2028-10-09	2028-41	0.0	2028-10-09	0.0	-0.00038462438482816616	0.0	54.0	0.0	0.0			GARW	2029-10-01	
north	2	2028-10-16	2028-42	0.0	2028-10-16	0.0	-0.0022368174200231724	0.002113606561701662	69.0	0.0	0.14583885275741468			GARW	2029-10-01	
north	2	2028-10-23	2028-43	0.0	2028-10-23	0.0	-0.0033926363353490334	0.008430291626331925	91.0	0.0	0.7671565379962052			GARW	2029-10-01	0.23716980113005884
north	2	2028-10-30	2028-44	0.0	2028-10-30	0.0	-0.003937392146680355	0.012887284391806407	91.0	0.0	1.172742879654383			GARW	2029-10-01	0.06062996484172437
north	2	2028-11-06	2028-45	0.0	2028-11-06	0.0	-0.003956395869891746	0.01577606858826452	119.0	0.0	1.877352162003478			GARW	2029-10-01	0.06721671612864277
north	2	2028-11-13	2028-46	0.0	2028-11-13	0.0	-0.0035349585208578112	0.017319467181573917	162.0	0.0	2.8057536834149746			GARW	2029-10-01	0.05740140515844933
north	2	2028-11-20	2028-47	0.0	2028-11-20	0.0	-0.0027583911154531616	0.017692988882820084	322.0	0.0	5.697142420268067			GARW	2029-10-01	0.10118464623320245
north	2	2028-11-27	2028-48	0.0	2028-11-27	0.0	-0.0017120046695524047	0.017039955684986768	458.0	0.0	7.80429970372394			GARW	2029-10-01	0.04495858664690514
north	2	2028-12-04	2028-49	0.0	2028-12-04	0.0	-0.00048111019903014315	0.015482738221906305	650.0	0.0	10.063779844239098			GARW	2029-10-01	0.03632399975183777
north	2	2028-12-11	2028-50	0.0	2028-12-11	0.0	0.0008489812802390125	0.01313152570901244	650.0	0.0	8.535491710858086			GARW	2029-10-01	0.02352997977791795
north	2	2028-12-18	2028-51	0.0	2028-12-18	0.0	0.0021929587523804484	0.01009151432388467	916.0	0.0	9.243827120678358			GARW	2029-10-01	0.01138900353557323
north	2	2028-12-25	2028-52	0.0	2028-12-25	0.0	0.00346551120151957	0.006469046449349575	1281.0	0.0	8.286848501616806			GARW	2029-10-01	0.015612321457289064
north	2	2029-01-01	2029-00	0.0	2029-01-01	0.0	0.00458132761178176	0.0023769825473867593	1755.0	0.0	4.171604370663762			GARW	2029-10-01	0.09805271960939597
north	2	2029-01-08	2029-01	0.0	2029-01-08	0.0	0.005455096967292417	0.0	2873.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-01-15	2029-02	0.0	2029-01-15	0.0	0.00600150825217693	0.0	2873.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-01-22	2029-03	0.0	2029-01-22	0.0	0.006135250450560694	0.0	3331.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-01-29	2029-04	0.0	2029-01-29	0.0	0.0057710125465691	0.0	3573.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-02-05	2029-05	0.0	2029-02-05	0.0	0.00482348352432754	0.0	3553.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-02-12	2029-06	0.0	2029-02-12	0.0	0.0032073523679614063	0.0	3273.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-02-19	2029-07	0.0	2029-02-19	0.0	0.000837308061596093	0.0	2276.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-02-26	2029-08	0.0	2029-02-26	0.0	-0.0023020904679409305	0.0	2276.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-03-05	2029-09	0.0	2029-03-05	0.0	-0.0059468045230139256	0.0	1758.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-03-12	2029-10	0.0	2029-03-12	0.0	-0.00976292546328506	0.0	1305.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-03-19	2029-11	0.0	2029-03-19	0.0	-0.01341654464841651	0.0	941.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-03-26	2029-12	0.0	2029-03-26	0.0	-0.01657375343807045	0.0	659.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-04-02	2029-13	0.0	2029-04-02	0.0	-0.01890064319190907	0.0	450.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-04-09	2029-14	0.0	2029-04-09	0.0	-0.019947502763051548	0.0	303.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-04-16	2029-15	0.0	2029-04-16	0.0	-0.018801410978445152	0.0	199.0	0.0	0.0			GARW	2029-10-01	
north	2	2029-04-23	2029-16	0.0	2029-04-23	0.0	-0.01443364415849414	0.006882448423292602	125.0	0.0	0.8603060529115752			GARW	2029-10-01	
north	2	2029-04-30	2029-17	0.0	2029-04-30	0.0	-0.005815478623602804	0.017905037460571486	78.0	0.0	1.3965929219245758			GARW	2029-10-01	0.06921467441503941
north	2	2029-05-07	2029-18	0.0	2029-05-07	0.0	0.0080818093058246	0.03002749416031927	48.0	0.0	1.441319719695325			GARW	2029-10-01	0.004503360364840082
north	2	2029-05-14	2029-19	0.0	2029-05-14	0.0	0.02800248947112669	0.04367458278755194	30.0	0.0	1.310237483626558			GARW	2029-10-01	0.013621537128642178
north	2	2029-05-21	2029-20	0.0	2029-05-21	0.0	0.05355301636061369	0.06336911480038361	17.0	0.0	1.0772749516065214			GARW	2029-10-01	0.027967678061561713
north	2	2029-05-28	2029-21	0.0	2029-05-28	0.0	0.08392089876234467	0.10013609679329968	11.0	0.0	1.1014970647262965			GARW	2029-10-01	0.0031765089852602213
north	2	2029-06-04	2029-22	0.0	2029-06-04	0.0	0.11784438699460582	0.16005688106025612	7.0	0.0	1.1203981674217929			GARW	2029-10-01	0.0024305580423159417
north	2	2029-07-23	2029-29	1.0	2029-07-23	1.0	0.3723553976594599	0.6276208669623264	2.0	2.0	1.2552417339246529		0.13400906	GARW	2029-10-01	0.13168979383770468
north	2	2029-08-20	2029-33	0.0	2029-08-20	0.0	0.5974637442364382	0.4726128015606916	7.0	0.0	3.308289610924841			GARW	2029-10-01	0.021699327830996026
north	2	2029-09-03	2029-35	1.0	2029-09-03	1.0	0.9475053708245111	0.6657653289931094	8.0	8.0	5.326122631944875		0.018934667	GARW	2029-10-01	0.015079060878532394
north	2	2029-09-10	2029-36	1.0	2029-09-10	1.0	1.2278207619585402	0.9777683445897349	9.0	9.0	8.799915101307615		0.021348298	GARW	2029-10-01	0.05038292508329037
north	2	2029-09-17	2029-37	2.0	2029-09-17	1.0	1.595822083186265	1.0	10.0	10.0	10.0		0.02289921	GARW	2029-10-01	0.004635921552128112
north	2	2029-09-24	2029-38	2.0	2029-09-24	1.0	2.064605997246985	0.9635166369785572	11.0	11.0	10.598683006764128		0.023304582	GARW	2029-10-01	0.014998202605703304
north	5	2028-09-25	2028-39	1.0	2028-09-25	0.3333333333333333	1.0204683171869395	0.10788008953735151								
north	5	2028-10-02	2028-40	0.0	2028-10-02	0.0	-0.08791445723262442	0.14212134588764946	35.0	0.0	4.974247106067732			GARW	2029-10-01	
north	5	2028-10-09	2028-41	0.0	2028-10-09	0.0	0.15003173662176159	0.17432925791331033	54.0	0.0	9.413779927318759			GARW	2029-10-01	0.04563635883442562
north	5	2028-10-16	2028-42	1.0	2028-10-16	0.125	0.8659418140380133	0.20463104144756147	69.0	8.625	14.11954185988174		0.04682517	GARW	2029-10-01	0.011087004259899745
north	5	2028-10-23	2028-43	2.0	2028-10-23	0.25	2.0828255101604833	0.23277175320253424	91.0	22.75	21.182229541430615		0.048372626	GARW	2029-10-01	0.00957063337642134
north	5	2028-10-30	2028-44	4.0	2028-10-30	0.3076923076923077	3.9349016938398313	0.2603132723706047	91.0	28.0	23.688507785725026		0.049577355	GARW	2029-10-01	0.0336020084297447
north	5	2028-11-06	2028-45	3.0	2028-11-06	0.2727272727272727	3.067349836346448	0.28758512913185175	119.0	32.45454545454545	34.22263036669036		0.050298452	GARW	2029-10-01	0.002258277269171445
north	5	2028-11-13	2028-46	14.0	2028-11-13	0.5185185185185185	13.945528203553966	0.31483718193930676	162.0	84.0	51.003623474167696	0.057001363835422945	0.05064249	GARW	2029-10-01	0.006358873835422947
north	5	2028-11-20	2028-47	11.0	2028-11-20	0.3793103448275862	11.025234708700554	0.34225612683329065	322.0	122.13793103448275	110.20647284031959	0.1100655647840346	0.050550938	GARW	2029-10-01	0.05951462678403461
