variant,pivot_date,model,location,mae,normalized_mae,max_r_data,correlation,sign_disagreement_rate,overestimation_rate,n_points,total_sequences,total_smoothed_sequences,mean_variant_frequency,mean_smoothed_variant_frequency,max_variant_frequency,max_smoothed_variant_frequency
12,2026-10-01,FGA,north,0.0024052414944512462,0.07235810273736341,0.03324080377261269,0.9914215533240702,0.0,0.6666666666666666,15,263.0,262.38256056034385,1.0,0.996496853652076,1.0,0.9980787489488432
12,2027-04-01,FGA,north,0.004345753234307798,0.10303914181774346,0.042175751443995955,0.9813999138746021,0.05,0.5,20,915.0,915.4751076304385,0.5825028298705431,0.57652763466872,1.0,0.9989787197333305
16,2027-04-01,FGA,north,0.003499884633738513,0.06184232090556044,0.05659368184262029,0.9973843595579313,0.0,0.6153846153846154,13,1303.0,1302.858671608617,0.5537652094374788,0.5580403942540678,0.6857142857142857,0.6753957001595103
20,2027-04-01,FGA,north,0.004917570268558232,0.11042836674964364,0.044531766730798825,0.9996699492333201,0.0,1.0,7,122.0,121.7552559065384,0.07337595687985009,0.07260625780503628,0.10552763819095477,0.09523965690752202
12,2027-10-01,FGA,north,0.002704720936040941,0.05079751199301984,0.053245145872746695,0.999075156600696,0.05,0.65,20,976.0,975.9629366635721,0.35716763253036876,0.33286427925314277,0.6024096385542169,0.5050152610855737
16,2027-10-01,FGA,north,0.004438617680236669,0.07744701608073258,0.0573116680907338,0.998395211390739,0.047619047619047616,0.8571428571428571,21,1719.0,1719.023240269658,0.5971096126310785,0.5816798486145037,0.9090909090909091,0.6144348925239305
20,2027-10-01,FGA,north,0.009620664887042869,0.12382610229694307,0.07769496663935918,0.9930368158974581,0.0,0.0,10,166.0,165.7994042932487,0.08365354453551506,0.10286108494040536,0.12264150943396226,0.17289234059940436
12,2028-04-01,FGA,north,0.006472405605450123,0.11848552477002457,0.05462612937751502,0.9930033821623645,0.0,0.0,4,67.0,66.93663129901377,0.22371736994248467,0.23018561779396288,0.25862068965517243,0.24131005888172044
16,2028-04-01,FGA,north,0.0048459075935643895,0.08571799948085367,0.05653313916462542,0.9908206661617012,0.0,1.0,6,236.0,236.2652641942901,0.6911225435744243,0.600849316854421,0.9090909090909091,0.614004184507316
20,2028-04-01,FGA,north,0.002821713294204206,0.1824524912812212,0.015465468705795793,,0.0,0.0,1,13.0,12.8232125974391,0.12264150943396226,0.12841677270961915,0.12264150943396226,0.12841677270961915
5,2029-04-01,FGA,north,0.015345024530118753,0.14320735408174068,0.10715248967842836,0.8800342512327366,0.05,0.5,20,2317.0,2316.895729969321,0.5606764620226554,0.5379426420978367,0.74,0.7769841986974371
20,2029-04-01,FGA,north,0.013089364313177492,0.21118593312483533,0.06198028495316572,0.7924271078174814,0.1875,0.1875,16,606.0,606.0039254951594,0.16330063722161012,0.14793362148399503,0.2608695652173913,0.21481519244015276
27,2029-04-01,FGA,north,0.020788589076434962,0.2150674902453621,0.09666076938322046,0.8935479737186522,0.1111111111111111,0.5555555555555556,18,1070.0,1070.0261935525837,0.29048190430806026,0.3110113848544677,0.4827586206896552,0.43182214357938015
5,2029-10-01,FGA,north,0.013943002327407757,0.12579307148663077,0.1108407813135369,0.9154104421175822,0.043478260869565216,0.17391304347826086,23,2372.0,2371.9236079178586,0.5858934117922756,0.5767641068477302,0.8125,0.7304354894939681
20,2029-10-01,FGA,north,0.017172247134865037,0.2501190848003192,0.06865628485956751,0.8113210324584921,0.1875,0.1875,16,606.0,605.8670149941017,0.16330063722161012,0.16049296720683287,0.2608695652173913,0.17977216513693645
27,2029-10-01,FGA,north,0.015604479725490802,0.17161461846036347,0.09092745050209608,0.8614858101771516,0.1111111111111111,0.2222222222222222,18,1070.0,1070.0198770567831,0.29048190430806026,0.2742487392691928,0.4827586206896552,0.4362097158734266
2,2030-04-01,FGA,north,0.005071798315091357,0.19164854691640568,0.026464058281138975,0.9780292819487657,0.18181818181818182,0.36363636363636365,11,227.0,227.00585929612427,0.9866666666666667,0.9627415312710007,1.0,0.9776853912724923
5,2030-04-01,FGA,north,0.04602478136366276,0.7738705583811232,0.059473487995128034,-1.0,0.0,0.0,2,32.0,31.549569466179918,0.7716346153846154,0.7524714317145789,0.8125,0.7540190995365795
2,2030-10-01,FGA,north,0.0017621263793928714,0.06423378347845252,0.027433015524984356,0.9932386205256996,0.10526315789473684,0.3157894736842105,19,355.0,354.74005437928776,0.9922807017543859,0.9746923820981952,1.0,0.9941435963403812
2,2031-04-01,FGA,north,0.03921784820351825,0.1688352246972418,0.23228475144238628,-0.4233339888803473,0.125,0.25,8,126.0,125.51016850622966,0.7760746606334842,0.7561479990385656,1.0,0.9869703927723176
8,2031-04-01,FGA,north,0.006910923291827472,0.09153771064624396,0.07549810065204035,0.9750205096248921,0.0,0.1111111111111111,9,1112.0,1112.0713028594062,0.8988991191865069,0.8412942093737288,0.9715447154471545,0.9947981178827294
2,2031-10-01,FGA,north,0.010115967236648113,0.28353723882566617,0.03567773770579726,0.9999789808379773,0.0,0.0,3,48.0,46.365217688449206,0.08442360819559121,0.13180978386301845,0.1085972850678733,0.17852714350893253
8,2031-10-01,FGA,north,0.003321303007152952,0.04672425367940082,0.07108306169943608,0.9983510545957781,0.0,0.08695652173913043,23,2999.0,2999.1591642142457,0.9527565066085203,0.9178159448733316,1.0,1.0
8,2032-04-01,FGA,north,0.0046708376813208215,0.09590544057273956,0.04870253088278366,0.9981615318344531,0.08333333333333333,0.6666666666666666,12,1301.0,1301.1958952317661,0.9883682878141796,0.9791594378235698,1.0,0.9878492064490834
15,2032-04-01,FGA,north,0.04494338513947978,0.7688727830863994,0.05845360393571042,,0.0,0.0,10,504.0,504.09301249052623,0.9602928463439857,0.8951432682674605,1.0,0.9995617791969378
15,2032-10-01,FGA,north,0.015929004827443142,0.2935494097043896,0.05426345378614109,0.9552783293104976,0.30434782608695654,0.4782608695652174,23,1494.0,1494.1580108303249,0.9817248978037552,0.9566257362743684,1.0,1.0
9,2033-04-01,FGA,north,0.015110760787910887,0.45741361516939966,0.03303522301651369,0.9158228317674749,0.0,1.0,4,54.0,53.073593089849396,0.3320165713618859,0.3119959408936846,0.3684210526315789,0.3699694656918154
15,2033-04-01,FGA,north,0.007725263270922559,0.21633617499844948,0.035709530645893724,0.8997734006881468,0.13043478260869565,0.6086956521739131,23,1000.0,999.0155320601867,0.8923051697336063,0.8871140175299144,1.0,0.9959503604491723
9,2033-10-01,FGA,north,0.0030856837746441553,0.09412165316950195,0.03278399465728895,0.9943987796504805,0.0625,0.0625,16,264.0,263.4266903906256,0.6183213518220341,0.5754036415415369,1.0,0.8501255747507966
15,2033-10-01,FGA,north,0.005198749242959371,0.1958197450190781,0.02654864677948015,0.9881689748021276,0.0,0.0,18,328.0,326.87757436483105,0.662889574684333,0.6464254927941542,1.0,0.9521856867192214
9,2034-04-01,FGA,north,0.1552543408592127,2.4280093874267674,0.06394305625966012,0.36767161504726875,0.5,1.0,30,1527.0,1526.94067389656,0.5595600879278771,0.5576932221960095,1.0,0.8740526605077201
15,2034-04-01,FGA,north,0.17588324012207243,6.5652164050279636,0.02679016642732027,0.9358729794506886,1.0,1.0,4,51.0,50.55279971821023,0.37070074106364426,0.352901538167255,0.41935483870967744,0.4062169328362869
25,2034-04-01,FGA,north,0.17052247155278952,3.1965142067374424,0.05334638312990173,0.8442902146134327,0.2777777777777778,1.0,18,2057.0,2056.948205748632,0.5630737804085784,0.5475152783568206,0.8034188034188035,0.8227694999081424
9,2034-10-01,FGA,north,0.0017817529843200109,0.0325005761702667,0.05482219684308414,0.9985089571890995,0.0,0.2857142857142857,21,1369.0,1368.9057274199777,0.45312554693880597,0.44648287522687435,0.8076923076923077,0.7384814527651324
25,2034-10-01,FGA,north,0.0014058820040090912,0.02492409793089097,0.056406535069284836,0.9996854258500327,0.0,0.041666666666666664,24,2232.0,2231.9596387623633,0.625298681689333,0.6297029684818755,0.9230769230769231,0.8517393952027059
17,2036-04-01,FGA,north,0.025853983215409593,0.7150311810604485,0.036157840245604485,,0.0,0.0,8,192.0,191.71585216111163,0.4076367475144649,0.4061996364879394,0.47435897435897434,0.4140582990969833
22,2036-04-01,FGA,north,0.016796934859176233,1.0,0.016796934859176233,,0.0,1.0,1,15.0,14.878972570060869,0.16666666666666666,0.09539681766348451,0.16666666666666666,0.09539681766348451
28,2036-04-01,FGA,north,0.19532266481334237,3.8115955872267593,0.051244330712287144,-0.9789947357089803,0.0,1.0,6,147.0,146.74299162163942,0.35963075571771225,0.34783315503460327,0.4222222222222222,0.45204174548107584
17,2036-10-01,FGA,north,0.012873720971202669,0.37577401754574125,0.03425920997753819,0.9572117615761375,0.2222222222222222,0.7777777777777778,18,419.0,419.0924966429898,0.34662889243264594,0.34692490433328976,0.47435897435897434,0.40262285794271696
22,2036-10-01,FGA,north,0.0048225163137432855,0.5802151749079199,0.008311599769014346,1.0,0.5,0.5,2,25.0,24.94901177727001,0.1527777777777778,0.14283612928810713,0.16666666666666666,0.17066560284490861
28,2036-10-01,FGA,north,0.012704259668089616,0.26931323484819397,0.04717280112598526,0.9617090309029701,0.19047619047619047,0.8571428571428571,21,659.0,658.8574444733183,0.5561583516778382,0.532127792275046,0.875,0.7256107935247649
6,2037-04-01,FGA,north,0.01046330533367617,0.2815653831712314,0.03716119224540115,0.995427882697453,0.3333333333333333,0.6666666666666666,12,311.0,311.032592191004,0.20396111584148555,0.19501904909777493,0.2833333333333333,0.24067493555544947
17,2037-04-01,FGA,north,0.008699834429090902,0.2400169865298078,0.03624674467784165,0.9523649026375706,0.16,0.48,25,905.0,904.6481348003925,0.3590426832982097,0.3486703102501302,0.4772727272727273,0.4477773548767029
28,2037-04-01,FGA,north,0.0076411433863094345,0.2520933676669283,0.03031076722496362,0.8601715693327777,0.20588235294117646,0.5,34,1188.0,1187.802572886218,0.5287999089296355,0.5177880698169742,0.875,0.7004849598553137
6,2037-10-01,FGA,north,0.0015107976404334523,0.040221003766622535,0.037562405185103565,0.9979451536759967,0.0,0.125,16,385.0,384.45149610461976,0.23325011428975204,0.21843898053206015,0.375,0.2788190634785826
17,2037-10-01,FGA,north,0.003062220391114931,0.07419338875073786,0.0412734940764446,0.9988241727450561,0.0,0.0,23,853.0,852.8540340612864,0.39830923787030653,0.3971728234602294,0.5454545454545454,0.5099071237147095
28,2037-10-01,FGA,north,0.003125870917074285,0.059737037943021404,0.052327183012586174,0.9962051126740941,0.0,0.375,24,823.0,822.5808221990617,0.43021942443602157,0.42078387170992076,0.7777777777777778,0.5764905835193211
6,2038-04-01,FGA,north,0.007658395548211346,0.17680521949458777,0.04331543814206107,1.0,0.0,1.0,2,30.0,29.830078518094147,0.3178294573643411,0.2931086004098718,0.3333333333333333,0.2965499236877265
17,2038-04-01,FGA,north,0.0025092797129490302,0.07230358316546731,0.034704776763366266,0.8984633270525093,0.0,0.25,4,59.0,57.941299799261365,0.43333912262871177,0.44372732679310495,0.5454545454545454,0.48982005450349364
28,2038-04-01,FGA,north,0.007633991299010462,0.15880238293072638,0.04807227170098954,,0.0,0.0,1,18.0,16.985652865664708,0.35294117647058826,0.253533606263013,0.35294117647058826,0.253533606263013
6,2041-04-01,FGA,north,0.015768649727293013,0.4211794883145103,0.03743926322337421,0.9704056557989178,0.375,0.625,8,109.0,108.69747274486869,0.1095891091311172,0.11984926769608183,0.21568627450980393,0.1872272951336472
13,2041-04-01,FGA,north,0.008152920316345237,0.16058246343494698,0.05077092567861895,0.9615215383863149,0.07142857142857142,0.42857142857142855,14,1280.0,1279.9202977529792,0.8558055848251339,0.8448398078006998,0.9459459459459459,0.9339736687576264
6,2041-10-01,FGA,north,0.0018593611223884196,0.0475761089679779,0.039081824107135406,0.9991571965717017,0.0,0.1,10,134.0,132.6184769837878,0.10420713241216743,0.13977277051867815,0.21568627450980393,0.21272502208230368
13,2041-10-01,FGA,north,0.0013952368727798694,0.0272684071056848,0.05116679046826305,0.9984603952739759,0.0,0.11538461538461539,26,1981.0,1980.6452488419657,0.8996561941697452,0.8730603134059348,1.0,0.9621016793771435
13,2042-04-01,FGA,north,0.007947868285379663,0.15511940959271103,0.051237097319078044,0.9666460499044013,0.0,0.1,10,424.0,423.9634347499487,0.9581944033022675,0.9215953222007451,1.0,0.9364251945495471
10,2043-04-01,FGA,north,0.0016554301421804044,0.028162512867419484,0.05878133638051634,0.999207197783781,0.0,0.35,20,1914.0,1913.6394413723729,0.552377521164524,0.5292401024385066,0.9333333333333333,0.7602001102910702
19,2043-04-01,FGA,north,0.0012218886236150034,0.019332295639425456,0.06320452813286881,0.9994335869879705,0.0625,0.375,16,2062.0,2062.138241633028,0.5084059261887279,0.5085889012540172,0.7403846153846154,0.7213555702467735
10,2043-10-01,FGA,north,0.0017453048563226923,0.027559759686228515,0.06332801432934167,0.9990093131220792,0.0,0.2727272727272727,22,1941.0,1940.676513142375,0.5226688997772536,0.5118374839340519,0.9333333333333333,0.762404972193073
19,2043-10-01,FGA,north,0.0018609049334563801,0.028740179265719992,0.06474924586416846,0.9992830871619177,0.045454545454545456,0.5,22,2228.0,2228.218739998087,0.5562313974724044,0.5566634503619061,0.8888888888888888,0.8090800369826313
4,2046-04-01,FGA,north,0.007357805901735606,0.10154144349867567,0.07246111191861841,0.9973295393511836,0.041666666666666664,0.4583333333333333,24,5841.0,5840.928637458475,0.978486144256938,0.9650449901536726,1.0,0.9991521114755456
29,2046-04-01,FGA,north,0.033119645401084974,1.797464566832563,0.01842575704256991,0.9916909697109725,0.25,0.0,4,51.0,49.99057876443316,0.9833333333333334,0.9869040998331581,1.0,1.0
4,2046-10-01,FGA,north,0.003723356585321881,0.05471866511829586,0.06804545719952022,0.9960753526204135,0.045454545454545456,0.45454545454545453,22,5818.0,5817.8365673934695,0.9900168526759004,0.985141867578498,1.0,0.9990957431411075
11,2049-04-01,FGA,north,0.007003078880593885,0.1676542966018778,0.041770947852436055,0.9159092759073819,0.0,0.625,8,298.0,296.71395866924337,0.9287953149803896,0.9055940136686954,1.0,0.9972097485789339
11,2049-10-01,FGA,north,0.003233332042827538,0.07928529146830514,0.040780981982264465,0.9823119987417049,0.034482758620689655,0.5517241379310345,29,1005.0,1003.9177448353939,0.9581530356537807,0.932580988433899,1.0,0.9851501007479834
3,2050-04-01,FGA,north,0.006495389675199819,0.13177466894426068,0.049291641005353624,0.997464562615534,0.05555555555555555,0.5555555555555556,18,2600.0,2600.022357377066,0.62333830740303,0.6206578064482825,0.8402061855670103,0.9120831560753819
11,2050-04-01,FGA,north,0.012479977037174721,0.11452779219610192,0.10896898296795676,0.8102495495205796,0.06976744186046512,0.27906976744186046,43,1899.0,1898.4782561126365,0.6896021544369506,0.6822340175783875,1.0,0.9852742477391012
3,2050-10-01,FGA,north,0.0018884772888043502,0.03023131842724781,0.06246757955161643,0.9991286481944416,0.0,0.5384615384615384,26,2818.0,2817.989137911778,0.6780911891744587,0.6824631543517655,0.9333333333333333,0.9150149265458936
11,2050-10-01,FGA,north,0.00215273784701595,0.02869792201997606,0.0750137186071337,0.9994041446521815,0.0,0.5416666666666666,24,1313.0,1311.397023528474,0.4394936426603622,0.43241823117524875,0.8888888888888888,0.8208534432763219
3,2051-04-01,FGA,north,0.0026624109260311225,0.042503453453965424,0.06263987299090232,0.9483725365437159,0.0,0.6,5,84.0,84.11897664607764,0.8827705627705628,0.8483968635903357,0.9333333333333333,0.8829157658957931
1,2052-04-01,FGA,north,0.008618541050870598,0.12934746352908685,0.066630924300518,0.9983485858270349,0.14285714285714285,1.0,7,152.0,152.33565463702442,0.04461515412152324,0.040739451258613536,0.06578947368421052,0.05325190769106043
14,2052-04-01,FGA,north,0.019162529562773162,0.08093534715213659,0.23676341965584932,0.9323245765269215,0.058823529411764705,0.23529411764705882,17,832.0,831.8193440714475,0.43509173903881615,0.4063940832345353,0.9411764705882353,0.7147299788344772
18,2052-04-01,FGA,north,0.0033418565564661573,0.04630859765752384,0.07216492672010766,0.9950959537720108,0.0,0.46153846153846156,13,3609.0,3609.3693569748075,0.7085515614963834,0.6548451681517563,0.9066666666666666,0.9467480923089395
1,2052-10-01,FGA,north,0.02109007789411759,0.13916073630216938,0.15155192804041537,0.9674479566923756,0.1111111111111111,0.0,9,178.0,177.9250694534149,0.05950331719480647,0.07509289680563652,0.10476190476190476,0.13454098676828208
14,2052-10-01,FGA,north,0.010278598895189657,0.13268181367207674,0.07746803130527916,0.9819493117123753,0.05555555555555555,0.16666666666666666,18,845.0,844.1239656210244,0.41394182606106694,0.39182603702464264,0.9411764705882353,0.6568189149488688
18,2052-10-01,FGA,north,0.00566031671859964,0.08080311049689581,0.07005072804489489,0.9984190981632189,0.0,0.6666666666666666,21,4200.0,4199.819445474064,0.7771994595884286,0.699318285747379,1.0,0.8075490426278186
18,2053-04-01,FGA,north,0.010388029389288025,0.1414704840494161,0.0734289520467001,-0.1466158103922754,0.0,0.8333333333333334,6,238.0,237.32122038989894,0.8900678376477131,0.8340992130932628,1.0,0.926308035600131
23,2053-04-01,FGA,north,0.012747847107885409,0.34006544309476816,0.03748645258357782,0.9891285678774469,0.0,0.8888888888888888,9,279.0,278.73832056305105,0.9895224171539962,0.9675458500770036,1.0,0.9996306412673341
23,2053-10-01,FGA,north,0.0021805841262444,0.05860255604615146,0.03720971017931569,0.9941114226224577,0.0,0.3,20,581.0,580.7973101041459,0.9864287700959716,0.984612087900168,1.0,0.9984976179708291
7,2054-04-01,FGA,north,0.010616536143017045,0.17313122617063328,0.06132074714559975,0.9982144373053603,0.045454545454545456,0.5,22,3871.0,3870.86854640986,0.9331306487189029,0.9336436813497765,0.9903225806451613,1.0
23,2054-04-01,FGA,north,0.02126080187345078,0.3739754819892143,0.05685079075334665,0.05854410517994102,0.16666666666666666,0.25,12,265.0,264.67405654581506,0.7614383335619134,0.7634754019296907,1.0,1.0
7,2054-10-01,FGA,north,0.0019189639022149758,0.029940204078237238,0.06409321383383025,0.9990985182762517,0.0,0.52,25,3941.0,3940.9100407487113,0.9382978280154919,0.9401289084209526,1.0,1.0
23,2054-10-01,FGA,north,0.006272805299561084,0.22191955222045723,0.02826612273140139,0.9920107499568831,0.2,0.8,5,60.0,58.59758238844515,0.07882515963129642,0.06274433986591912,0.1896551724137931,0.11140889958078627
12,2027-04-01,FGA,south,0.0015387178941982053,0.05218998771044834,0.029483009322306408,0.9961449596448003,0.0,0.42105263157894735,19,390.0,389.60622087176205,0.8614862897226053,0.8372850656210418,1.0,0.9078273979387983
12,2027-10-01,FGA,south,0.005704521379771128,0.19660302464118418,0.02901543040948797,0.9559095445759324,0.04,0.4,25,527.0,526.799457849169,0.38413861429674584,0.3606921621710192,0.9166666666666666,0.8386453317249853
16,2027-10-01,FGA,south,0.00371578558959106,0.08312880593611129,0.04469913344414968,0.9991458832268394,0.05,0.7,20,1897.0,1896.980311719584,0.6200019779768002,0.6132055947422608,0.7727272727272727,0.6398856252324845
20,2027-10-01,FGA,south,0.004712174241352804,0.09826572709248192,0.04795338497742944,0.999451315429899,0.0,0.9333333333333333,15,807.0,806.8983982524438,0.26833092100657846,0.2738247899266353,0.33668341708542715,0.3215984045953807
12,2028-04-01,FGA,south,0.0031745904264609444,0.0735782717267853,0.04314575963742394,0.9992688614351756,0.0,0.25,16,367.0,366.9734094993839,0.1323809905376636,0.10922787547947263,0.23728813559322035,0.1535119838578664
16,2028-04-01,FGA,south,0.002953803986458244,0.05259819694886747,0.05615789433485219,0.9967308708765047,0.041666666666666664,0.5416666666666666,24,2003.0,2002.8700130969041,0.6132414980048103,0.6230134470836546,0.7727272727272727,0.6723951030416092
20,2028-04-01,FGA,south,0.0022913052317099737,0.05090409580697901,0.04501219784746345,0.9994819547273036,0.05555555555555555,0.6666666666666666,18,876.0,875.9209173117797,0.28806959072903227,0.27099541874541244,0.45348837209302323,0.374979455308452
16,2028-10-01,FGA,south,0.014319070927740336,0.2592976770539392,0.05522251911559423,1.0,0.0,0.0,2,36.0,36.34475455405039,0.6002331002331003,0.5764879178898344,0.6363636363636364,0.5793427269836894
20,2028-10-01,FGA,south,0.0028075590149332155,0.07416993347092356,0.037853060985066786,,0.0,0.0,1,14.0,13.608656809291773,0.358974358974359,0.3507000222365471,0.358974358974359,0.3507000222365471
27,2028-10-01,FGA,south,0.023314779722461737,0.5060574531115518,0.04607140864956768,1.0,0.5,0.5,2,27.0,26.33021491007692,0.7740384615384616,0.6305282638369233,0.9230769230769231,0.6353951316890927
27,2029-04-01,FGA,south,0.007312290439880092,0.16910716807021636,0.043240570599845284,0.8702176801596904,0.2,0.2,5,64.0,62.65962377610192,0.6768772893772894,0.5793894909059517,0.9230769230769231,0.6026226431965
2,2029-10-01,FGA,south,0.014308637981358332,0.21556868287794495,0.0663762369854989,0.9998030838103378,0.16666666666666666,0.4166666666666667,12,1131.0,1131.0120211128935,0.3613787936030682,0.3671283068040916,0.6982248520710059,0.6526906217963755
5,2029-10-01,FGA,south,0.01441369130438485,0.19800168644270658,0.07279580069918026,0.9571227467947903,0.13043478260869565,0.34782608695652173,23,2259.0,2258.7754553751993,0.6930420687235229,0.6917088323612254,0.9166666666666666,0.8651181950784204
20,2029-10-01,FGA,south,0.010173758538496076,0.28021009522181517,0.03630760886913263,0.9993908709802823,0.1,0.2,10,188.0,187.992246792859,0.0687009621808266,0.06338066731483998,0.09933774834437085,0.08150871992100271
27,2029-10-01,FGA,south,0.024816090856468916,1.0781042716187026,0.02301826595975655,-0.7669679050972105,0.5,0.25,4,50.0,49.999471309742894,0.4723970530835285,0.3769722299250752,0.6875,0.5046093779895952
2,2030-04-01,FGA,south,0.012586416480199984,0.20034782962505834,0.0628228242040599,0.977131501493029,0.09523809523809523,0.5238095238095238,21,1520.0,1520.0382034927147,0.539500809176155,0.5183987796165491,0.9166666666666666,0.8468296033998371
5,2030-04-01,FGA,south,0.01975329377591473,0.3307845382660071,0.05971649666415096,0.8999573476531866,0.25925925925925924,0.0,27,2330.0,2330.1132332173934,0.6169638509928688,0.6204017833557729,0.9166666666666666,0.8813384587795446
20,2030-04-01,FGA,south,0.013324285948307186,0.3602354737741935,0.03698771197824691,0.9790594517956205,0.4166666666666667,0.0,12,216.0,215.74942085454344,0.07544018685456662,0.07071074605359175,0.13043478260869565,0.08116133602129978
27,2030-04-01,FGA,south,0.046732777476970744,2.1218995155194693,0.022024029476970748,,1.0,0.0,1,13.0,12.941646310581172,0.05327868852459016,0.04960015627126095,0.05327868852459016,0.04960015627126095
2,2030-10-01,FGA,south,0.005582984638073174,0.1160754879397173,0.048097877830784085,0.4479570918820971,0.0,0.14285714285714285,7,195.0,194.7656563074056,0.7890244620635439,0.7874599173296961,0.9166666666666666,0.8302915139301582
5,2030-10-01,FGA,south,0.016535755666499802,0.32981468898767496,0.05013650458460247,1.0,0.0,0.0,2,31.0,30.98344581660922,0.20644300419367137,0.146785915511275,0.23255813953488372,0.1521581848029685
8,2031-10-01,FGA,south,0.0031219260206820114,0.05160358408716777,0.06049824011077438,0.996176588621816,0.0,0.391304347826087,23,4476.0,4475.967093601105,0.9926624698320469,0.982066702268014,1.0,1.0
8,2032-04-01,FGA,south,0.0025866919726779767,0.040010664737494754,0.06465006241833164,0.9988593157937982,0.0,0.2,25,4502.0,4501.971700170238,0.9896131086091192,0.9862249622155672,1.0,0.9999345925825057
9,2033-10-01,FGA,south,0.03781679938071516,0.699846905038757,0.05403581713149234,-0.913691879801028,0.07142857142857142,1.0,14,1698.0,1697.7040575963406,0.957213503632239,0.9716137423730945,0.9900990099009901,0.9989814479228087
9,2034-04-01,FGA,south,0.01855983755141572,0.31300476526914167,0.05929570284802781,0.9097662893971975,0.04,0.52,25,2566.0,2565.9223678987933,0.9724839126915822,0.9591160702607838,1.0,0.9971828818075779
9,2034-10-01,FGA,south,0.005521957401739033,0.09004297268363298,0.06132580075005402,0.9736619445447763,0.0,0.4444444444444444,9,488.0,488.02233411106135,0.9929702759891439,0.9542829047111111,1.0,0.9942057964367387
