strain,umap_x,umap_y
257eb400,15.126706,-21.370235
3efb165d,16.11851,-19.39645
6b141244,15.040022,-21.495071
28ecc71f,15.005119,-21.467886
fe3066d,14.967616,-21.423998
40f54507,14.997578,-21.41489
12312fc0,14.823074,-21.432474
117d9c06,15.019314,-21.434664
20632973,15.193879,-20.927595
283d342c,15.014216,-21.28687
57e5ce31,15.011428,-21.392616
34e65483,15.200154,-21.353281
5cf4123,14.865552,-21.342712
2f31bb47,14.844553,-21.275562
5213ce49,14.97206,-21.374735
51da3036,14.90377,-21.494091
b4a6f85,15.0681095,-21.620516
2c339b8b,14.947969,-21.409027
49ebc631,14.967392,-21.307316
2fb4111b,15.105957,-21.474756
3617e366,14.98438,-21.47195
2a900e53,15.169727,-21.58508
7232956e,14.988257,-21.536116
885b4b9,15.177471,-21.527996
15901667,15.1116085,-21.344782
2e605d03,15.090693,-21.674978
7ae52e19,15.108537,-21.492039
248d16db,14.916535,-21.343288
4dc2057e,15.082868,-21.49353
6047daa3,15.003791,-21.281965
4b153584,14.859126,-21.395027
4b6442af,15.108258,-21.262331
3a67631,15.085536,-21.420872
f69b029,14.923804,-21.465769
3d448b2f,14.984004,-21.491364
4a840024,14.941968,-21.620419
6234f4b9,14.692482,-21.539595
214eea38,15.163105,-21.609058
5b8e43b,14.921432,-21.317709
20fef060,14.87158,-21.30028
737c3c3e,15.118732,-21.288525
26520bb0,14.69493,-21.34247
3a09065,15.047836,-21.378902
35a1286f,14.864096,-21.286669
3248b173,14.876359,-21.318317
5a45f4d6,15.377143,-20.626633
7bbeebc,14.789407,-21.479399
3fdf4a81,15.090979,-21.380392
13d86246,16.841122,-21.297161
304823dc,15.028423,-21.332106
6dcd94aa,16.516241,-21.207758
767405a7,15.164161,-21.614414
239f6c1,16.88217,-21.276207
6338e772,16.698664,-21.247223
67ae404a,16.76477,-21.224789
576c71ea,15.07493,-21.624971
705591c6,14.873325,-21.595814
33858ff,15.065062,-21.451298
7f304ba4,15.63334,-20.3364
3a23fb3c,14.807455,-21.66922
1a611fa0,15.1559725,-21.529802
452f96ed,14.802822,-21.692717
5a147ddd,14.822576,-21.475153
520df321,15.024894,-21.294182
7dd02ef8,15.061963,-21.406054
6a142f57,15.1442585,-21.547112
276dbc6,14.812874,-21.545727
2582353c,14.967639,-21.725996
25a4820,15.166886,-21.619265
1c39dae7,14.907059,-21.599707
50b213a0,14.759028,-21.68684
307d8c35,14.911657,-21.731188
5d4e312f,14.912365,-21.59894
674f1f8f,14.664753,-21.698536
3cb57e2,14.882714,-21.692432
432081aa,14.77876,-21.27455
2c4e9e21,14.7987385,-21.66483
491f3642,15.122053,-21.576824
602453b,15.039649,-21.547173
63568448,14.761573,-21.711521
687565a5,16.8214,-21.273413
4bf79a1a,14.98141,-21.452408
4850bc45,16.851667,-21.356539
5ca1ed47,15.115093,-21.680584
409a7cf4,16.864817,-21.340889
45463168,16.446037,-21.195194
17fc6057,14.851346,-21.618301
8715d3d,16.308836,-21.324509
16aa8dc9,16.32361,-21.321583
60598e71,16.974768,-21.25855
1b619fd9,16.332247,-18.968296
bc668f9,15.996352,-19.952675
b085b65,16.008507,-19.87081
581eafcc,16.12202,-19.998188
17fbf3a9,16.091887,-19.950117
7c0683c1,16.10147,-19.936842
2a7fc80b,16.037758,-19.952942
30c33d63,16.023844,-19.98133
74d2a0a5,16.006372,-19.831844
66948d1e,16.099411,-20.036404
43d19bae,16.000156,-19.90193
3516ffae,16.019228,-19.920784
3d68802a,16.05751,-19.888063
59d44859,16.175737,-19.884983
5709640c,16.11537,-19.887867
1503bac2,16.068333,-19.994366
5d865d41,16.116228,-19.903288
76f3f876,16.077892,-19.925787
4a29fa1f,16.62995,-21.048223
325d9ad7,15.959696,-19.94238
1697ce25,14.908184,-21.335398
6c09884a,16.725252,-21.261528
6ef3eb61,16.82365,-21.255404
341ce204,16.797306,-21.371511
91b3f48,16.855446,-21.40148
41288c26,16.819712,-21.430859
24a13d04,16.755314,-21.330065
1c69ca6e,16.714045,-21.196564
47abb902,16.765858,-21.225794
7da7f5b,16.732046,-21.357641
68e1acde,16.010857,-20.005728
53d2b507,16.20313,-21.250097
2cdbe213,16.62327,-21.17074
74d64587,16.595833,-21.099451
755ef3f2,15.986616,-21.3082
392360cd,16.604485,-21.091295
1111c7ef,16.498861,-21.153496
1b7370a0,16.690397,-21.102423
5a9d4279,16.638006,-21.135897
7f4a6426,16.471783,-21.239693
1e0b518b,16.463682,-21.184044
78d1ddb0,16.357323,-21.16917
74e9e08a,16.225245,-21.292742
6f725d9b,16.876364,-21.339647
58a64c74,16.578176,-21.258741
6820e2c,16.473543,-21.2441
66ff053d,16.372425,-21.39138
22774cbb,16.425417,-21.258518
6eb2247a,16.916855,-21.418287
564d9a7f,20.639256,-10.395189
792dc90e,16.449474,-18.642298
4d8634a8,16.462934,-18.59862
30a35956,16.37029,-18.61473
51cc66f5,16.417465,-18.603207
7eae04fa,16.426905,-18.623968
2560a91e,16.42568,-18.65122
764cc50e,16.535637,-18.704556
3d021fa2,16.373137,-18.720194
7bcb76f0,16.40626,-18.673609
2fb56b04,20.33844,-10.416071
6bd66fde,16.507627,-18.569542
4437c188,15.823241,-20.306053
69919021,15.507677,-20.72816
be583f3,16.548298,-18.537342
57417c33,15.864783,-20.307953
72b570b0,32.13625,-5.988873
188d0528,16.628147,-18.570782
17bbeab5,16.141842,-18.324526
3f252ed4,16.063375,-18.746899
538f5ae,16.087675,-18.375053
60ec9f59,12.758837,-12.624091
54d2bc81,12.865149,-12.719344
a4a1d36,12.839282,-12.707641
3655e75c,12.818837,-12.699108
733ef576,12.745481,-12.604348
2a01f61d,12.79316,-12.638197
1c568417,5.019766,-10.198179
5b302dbd,12.692381,-12.562373
59804ba6,12.721172,-12.559848
29296322,12.808074,-12.678476
4c8a5e2b,12.018821,-11.366992
2b908052,11.979496,-11.375344
73029c,12.799609,-12.698073
7376f92d,20.288454,-10.1745205
5affa761,32.104218,-6.0749135
60aee23e,16.193226,-18.571842
32c6a3b2,21.021706,-10.091183
4fdb17ea,20.633215,-10.314292
596310b2,20.414661,-10.131252
4a3e1811,20.69077,-10.013906
6a835de1,20.536604,-10.027827
2d89b5d1,20.486933,-10.20651
1d2927a2,20.72433,-10.280164
bb04827,20.596064,-10.506393
5c80a1a0,20.780535,-9.982896
13b57555,20.812748,-10.007869
5243a981,20.647064,-10.288971
70299885,20.511383,-10.155819
1064416b,20.657593,-10.565707
1acf6aaf,20.776602,-10.390635
78bfc437,20.930292,-9.949096
252a047c,20.694817,-10.297855
25533d5e,20.475527,-10.440476
242aa94b,20.497984,-10.575922
a66a1eb,20.42084,-10.158047
44f6834c,20.8525,-10.65215
2afab2c3,20.400797,-10.121329
53999e59,20.351988,-10.012678
3a403332,20.922184,-10.165249
54412424,20.850754,-10.22243
6dac13d0,20.465145,-10.225228
6d9800ed,20.558231,-10.400786
1c942be,20.911617,-10.174371
667453df,20.916317,-10.445412
701a5352,20.301249,-10.517103
6eec2e9e,20.69832,-10.449688
6147b7fb,20.311989,-10.168719
26e3ee42,20.527117,-10.022819
30088ffb,20.465324,-10.338835
5f2a5e98,20.520266,-10.453937
1dc76084,20.546947,-10.5781765
10223c79,20.66564,-9.898141
768cb5fe,20.317877,-10.191028
109c6447,20.624077,-10.085327
3356db2e,20.711855,-10.068224
57f3415b,20.595522,-9.895805
4a1d0f3c,20.583654,-10.453321
4c80ef2e,20.379208,-10.413519
3f245e6a,20.72978,-10.027698
1165089e,20.57374,-10.363927
3d02080f,20.317463,-10.252724
2980cad5,20.937138,-10.397475
190716a0,20.441124,-10.008539
49c9c1a4,20.411722,-9.98659
f9fe4cb,20.38012,-10.030452
2bfede8e,20.321861,-10.257359
142a843f,20.451029,-10.346802
aef6b94,20.650785,-10.423384
2dbe9ce6,20.615025,-10.055621
7bff4811,20.467606,-9.94998
7b1fc4ae,20.547003,-10.401272
1c146f74,20.62512,-10.052213
1adecec1,20.401138,-10.089974
4986e210,20.496317,-9.936048
45d77219,20.417486,-10.085316
2037899b,20.802017,-10.391423
53736d7f,20.427368,-10.264025
4eb52991,20.554754,-10.378092
6d7b51a8,20.627598,-10.4945545
5e622a9d,20.64297,-9.920343
15ea2ae5,20.885902,-10.473183
90cad5b,20.69767,-10.123896
7e922975,20.481842,-9.995554
3ef0b8d5,20.80851,-9.99869
850c20,20.522337,-9.813108
a2455ab,20.70076,-9.950609
ecc2fde,20.580355,-9.858604
48552e75,20.513494,-10.345442
3af83190,20.93942,-9.96961
3953a93c,20.817486,-9.982589
386b1ba9,20.578022,-10.115585
6afaee67,20.787739,-10.34264
72bf73ac,20.946386,-10.101105
14e7208e,20.93386,-9.887834
5ee6fc40,20.966463,-10.434686
108f98d6,20.612038,-10.184406
491d9bae,20.853048,-9.923888
3c62fb9f,20.690762,-10.453975
2f76f660,20.537409,-10.101395
243180bd,20.387312,-10.089269
52818c2b,20.425291,-10.115176
547a02a3,20.858469,-9.93852
1d39da0,20.84226,-9.858258
7de60e92,20.670414,-9.9084015
d8da4e0,20.961473,-10.012961
